Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[10] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[6] Number of Jobs Started,[12] Number of Jobs Started,[16] Number of Jobs Started,[5] Number of Jobs Started,[22] Number of Jobs Started,[64] Number of Jobs Started,[24] Number of Jobs Started,[20] Number of Jobs Started,[32] Number of Jobs Started,[9] Number of Jobs Started,[60] Number of Jobs Started,[25] Number of Jobs Started,[15] Number of Jobs Started,[7] Number of Jobs Started,[18] Number of Jobs Started,[72] Number of Jobs Started,[30] Number of Jobs Started,[11] Number of Jobs Started,[40] Number of Jobs Started,[48] Number of Jobs Started,[36] Number of Jobs Started,[50] Number of Jobs Started,[43] Number of Jobs Started,[14] Number of Jobs Started,[13] Number of Jobs Started,[17] Number of Jobs Started,[42] Number of Jobs Started,[70] Number of Jobs Started,[21] Number of Jobs Started,[62] Number of Jobs Started,[34] Number of Jobs Started,[35] Number of Jobs Started,[45] Number of Jobs Started,[26] Number of Jobs Started,[54] Number of Jobs Started,[28] Number of Jobs Started,[38] Number of Jobs Started,[56] Number of Jobs Started,[46] Number of Jobs Started,[33] Number of Jobs Started,[27] Number of Jobs Started,[19] Number of Jobs Started,[31] Number of Jobs Started,[65] Number of Jobs Started,[23] Number of Jobs Started,[41] Number of Jobs Started,[63] Number of Jobs Started,[44] Number of Jobs Started,[52] Number of Jobs Started,[53] Number of Jobs Started,[49] Number of Jobs Started,[55] Number of Jobs Started,[37] Number of Jobs Started,[39] Number of Jobs Started,[61] Number of Jobs Started,[29] Number of Jobs Started,[47] Number of Jobs Started,[67] Number of Jobs Started,[68] Number of Jobs Started,[66] Number of Jobs Started,[57] Number of Jobs Started,[58] Number of Jobs Started,[59] Number of Jobs Started
2016-02-01,592,369,7,110,118,18,21,28,26,2,0,0,4,15,0,3,0,8,0,0,1,10,0,2,10,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,566,262,21,40,41,18,20,26,16,4,1,1,4,4,1,3,0,20,0,0,0,3,0,0,3,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2016-02-03,738,1008,61,70,23,19,16,2,15,6,4,0,4,4,0,23,0,6,6,14,2,6,1,0,3,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,5827,673,69,69,51,8,8,73,15,31,0,2,3,5,0,35,0,0,7,0,0,2,0,1,9,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,1011,1304,73,37,32,9,10,22,12,10,7,0,1,5,1,8,0,0,30,6,2,12,0,1,9,0,0,3,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,271,109,23,29,25,16,21,13,3,5,11,0,0,3,0,10,0,0,7,16,0,6,0,0,0,0,0,1,17,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,155,86,12,57,4,6,20,4,3,0,0,0,1,24,0,1,0,0,10,3,0,7,0,1,0,2,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,40,127,11,37,13,2,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,206,90,3,44,3,7,9,15,0,1,2,0,0,2,0,0,0,0,0,2,0,2,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,686,305,19,52,48,29,7,10,3,29,8,0,3,6,3,2,0,26,6,2,4,13,4,11,15,1,2,3,10,2,3,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,572,823,12,32,21,6,11,97,3,16,2,0,5,4,0,2,0,0,4,0,6,2,0,0,2,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,896,885,18,41,14,48,0,13,6,6,0,1,2,8,0,6,0,1,7,0,4,3,1,0,3,0,0,1,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,393,540,9,29,12,14,5,16,3,1,0,1,1,4,4,0,1,0,1,0,6,1,1,0,12,1,0,0,1,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
