title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[3] Number of Jobs Started","[10] Number of Jobs Started","[6] Number of Jobs Started","[12] Number of Jobs Started","[16] Number of Jobs Started","[5] Number of Jobs Started","[20] Number of Jobs Started","[7] Number of Jobs Started","[32] Number of Jobs Started","[24] Number of Jobs Started","[40] Number of Jobs Started","[72] Number of Jobs Started","[18] Number of Jobs Started","[9] Number of Jobs Started","[15] Number of Jobs Started","[30] Number of Jobs Started","[64] Number of Jobs Started","[25] Number of Jobs Started","[11] Number of Jobs Started","[42] Number of Jobs Started","[22] Number of Jobs Started","[14] Number of Jobs Started","[48] Number of Jobs Started","[21] Number of Jobs Started","[36] Number of Jobs Started","[50] Number of Jobs Started","[17] Number of Jobs Started","[13] Number of Jobs Started","[60] Number of Jobs Started","[70] Number of Jobs Started","[26] Number of Jobs Started","[19] Number of Jobs Started","[54] Number of Jobs Started","[43] Number of Jobs Started","[71] Number of Jobs Started","[33] Number of Jobs Started","[56] Number of Jobs Started","[28] Number of Jobs Started","[29] Number of Jobs Started","[51] Number of Jobs Started","[65] Number of Jobs Started","[35] Number of Jobs Started","[27] Number of Jobs Started","[55] Number of Jobs Started","[41] Number of Jobs Started","[58] Number of Jobs Started","[52] Number of Jobs Started","[67] Number of Jobs Started","[44] Number of Jobs Started","[45] Number of Jobs Started","[34] Number of Jobs Started","[49] Number of Jobs Started","[68] Number of Jobs Started","[23] Number of Jobs Started","[31] Number of Jobs Started","[38] Number of Jobs Started","[46] Number of Jobs Started","[37] Number of Jobs Started","[39] Number of Jobs Started","[57] Number of Jobs Started","[63] Number of Jobs Started","[66] Number of Jobs Started"
2015-08-01,1270,75,46,15,2,18,29,7,6,0,2,0,2,0,2,1,0,0,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,687,123,42,13,9,17,3,2,3,2,2,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,1103,249,110,90,65,51,12,10,6,3,8,1,3,2,4,7,0,3,0,3,4,0,0,0,0,0,4,0,2,0,0,0,3,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-08-04,644,234,74,35,46,88,1,17,3,12,12,2,1,0,1,6,0,4,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,1008,266,44,45,30,80,10,15,43,3,2,0,1,0,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,869,242,58,29,12,41,27,11,22,0,8,0,0,0,6,2,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,988,173,41,27,77,48,15,3,20,0,1,0,1,0,9,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,852,89,58,19,25,3,12,12,10,1,6,0,2,0,6,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,1477,130,61,16,32,14,10,9,7,1,6,0,9,1,4,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,2013,348,106,34,45,12,12,11,9,3,6,0,1,0,9,5,14,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,1327,258,63,16,37,7,8,11,19,11,19,0,1,1,25,1,0,2,0,2,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,21310,204,24,16,28,10,10,4,27,5,7,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,7223,183,103,17,51,8,39,18,21,10,9,0,10,3,0,2,19,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,2065,77,67,28,46,42,15,8,10,5,6,1,3,1,0,1,2,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,860,66,54,20,37,7,17,2,16,6,6,19,3,2,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,551,152,91,25,38,22,47,2,13,13,1,6,4,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,1307,435,168,45,95,20,60,7,20,29,0,0,1,3,13,11,0,0,0,1,0,1,1,0,0,0,0,1,0,5,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,2792,158,143,31,53,24,34,10,12,15,0,11,12,0,0,6,1,0,0,1,6,1,0,0,0,0,0,7,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,9285,421,161,37,48,19,99,18,14,15,8,1,3,0,4,6,2,1,8,1,0,0,1,0,0,0,8,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,2176,292,203,22,29,13,53,7,15,6,10,0,0,0,3,8,2,1,10,1,0,0,0,2,1,0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-08-21,1213,274,197,37,25,4,33,7,13,1,12,1,0,1,0,3,0,5,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,1122,176,164,30,11,3,7,12,6,2,7,0,0,4,1,0,4,16,2,8,0,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,797,162,133,11,7,0,35,16,6,6,6,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,1730,333,75,55,13,4,72,13,18,35,0,9,1,3,1,4,8,6,6,14,0,1,0,0,0,5,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,1304,847,84,27,17,1,11,24,4,16,3,13,2,6,4,7,1,0,1,7,0,1,0,0,3,1,0,0,1,0,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,3555,260,87,39,11,23,2,9,41,9,8,5,7,7,0,3,0,3,4,46,3,1,0,0,2,2,1,3,0,7,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,18394,217,70,75,17,5,66,17,24,35,27,0,7,8,9,3,0,4,0,0,0,1,1,0,0,6,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
