title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[16] Number of Jobs Started","[3] Number of Jobs Started","[64] Number of Jobs Started","[6] Number of Jobs Started","[9] Number of Jobs Started","[5] Number of Jobs Started","[32] Number of Jobs Started","[10] Number of Jobs Started","[20] Number of Jobs Started","[12] Number of Jobs Started","[31] Number of Jobs Started","[256] Number of Jobs Started","[7] Number of Jobs Started","[40] Number of Jobs Started","[128] Number of Jobs Started","[36] Number of Jobs Started","[30] Number of Jobs Started","[15] Number of Jobs Started","[181] Number of Jobs Started","[66] Number of Jobs Started","[24] Number of Jobs Started","[48] Number of Jobs Started","[14] Number of Jobs Started","[13] Number of Jobs Started","[25] Number of Jobs Started","[11] Number of Jobs Started","[100] Number of Jobs Started","[50] Number of Jobs Started","[60] Number of Jobs Started","[18] Number of Jobs Started","[136] Number of Jobs Started","[45] Number of Jobs Started","[192] Number of Jobs Started","[96] Number of Jobs Started","[80] Number of Jobs Started","[200] Number of Jobs Started","[125] Number of Jobs Started","[17] Number of Jobs Started","[63] Number of Jobs Started","[150] Number of Jobs Started","[250] Number of Jobs Started","[144] Number of Jobs Started","[26] Number of Jobs Started","[1024] Number of Jobs Started","[39] Number of Jobs Started","[22] Number of Jobs Started","[160] Number of Jobs Started","[106] Number of Jobs Started","[120] Number of Jobs Started","[512] Number of Jobs Started","[21] Number of Jobs Started","[132] Number of Jobs Started","[27] Number of Jobs Started","[61] Number of Jobs Started","[240] Number of Jobs Started","[90] Number of Jobs Started","[35] Number of Jobs Started","[51] Number of Jobs Started","[54] Number of Jobs Started","[101] Number of Jobs Started","[224] Number of Jobs Started","[162] Number of Jobs Started","[28] Number of Jobs Started","[75] Number of Jobs Started","[135] Number of Jobs Started","[52] Number of Jobs Started","[72] Number of Jobs Started","[183] Number of Jobs Started","[104] Number of Jobs Started","[49] Number of Jobs Started","[204] Number of Jobs Started","[216] Number of Jobs Started","[44] Number of Jobs Started","[105] Number of Jobs Started","[19] Number of Jobs Started","[169] Number of Jobs Started","[76] Number of Jobs Started","[34] Number of Jobs Started","[375] Number of Jobs Started","[41] Number of Jobs Started","[251] Number of Jobs Started","[153] Number of Jobs Started","[77] Number of Jobs Started","[130] Number of Jobs Started","[180] Number of Jobs Started","[23] Number of Jobs Started","[156] Number of Jobs Started","[70] Number of Jobs Started","[384] Number of Jobs Started","[42] Number of Jobs Started","[460] Number of Jobs Started","[252] Number of Jobs Started","[81] Number of Jobs Started","[151] Number of Jobs Started","[170] Number of Jobs Started","[171] Number of Jobs Started","[2048] Number of Jobs Started","[38] Number of Jobs Started","[108] Number of Jobs Started","[112] Number of Jobs Started","[208] Number of Jobs Started","[65] Number of Jobs Started","[29] Number of Jobs Started","[73] Number of Jobs Started","[225] Number of Jobs Started","[123] Number of Jobs Started","[202] Number of Jobs Started","[139] Number of Jobs Started","[211] Number of Jobs Started","[400] Number of Jobs Started","[69] Number of Jobs Started","[312] Number of Jobs Started","[345] Number of Jobs Started","[84] Number of Jobs Started","[94] Number of Jobs Started","[196] Number of Jobs Started","[88] Number of Jobs Started","[113] Number of Jobs Started","[127] Number of Jobs Started","[210] Number of Jobs Started","[220] Number of Jobs Started","[4096] Number of Jobs Started","[47] Number of Jobs Started","[58] Number of Jobs Started","[500] Number of Jobs Started","[33] Number of Jobs Started","[102] Number of Jobs Started","[114] Number of Jobs Started","[121] Number of Jobs Started","[140] Number of Jobs Started","[161] Number of Jobs Started","[255] Number of Jobs Started","[37] Number of Jobs Started","[56] Number of Jobs Started","[78] Number of Jobs Started","[99] Number of Jobs Started","[155] Number of Jobs Started","[245] Number of Jobs Started","[1000] Number of Jobs Started","[55] Number of Jobs Started","[201] Number of Jobs Started","[165] Number of Jobs Started","[168] Number of Jobs Started","[67] Number of Jobs Started","[85] Number of Jobs Started","[93] Number of Jobs Started","[110] Number of Jobs Started","[116] Number of Jobs Started","[117] Number of Jobs Started","[142] Number of Jobs Started","[372] Number of Jobs Started","[768] Number of Jobs Started","[2400] Number of Jobs Started","[53] Number of Jobs Started","[68] Number of Jobs Started","[124] Number of Jobs Started","[187] Number of Jobs Started","[203] Number of Jobs Started","[205] Number of Jobs Started","[213] Number of Jobs Started","[253] Number of Jobs Started","[274] Number of Jobs Started","[518] Number of Jobs Started","[3000] Number of Jobs Started","[43] Number of Jobs Started","[46] Number of Jobs Started","[57] Number of Jobs Started","[91] Number of Jobs Started","[111] Number of Jobs Started","[133] Number of Jobs Started","[149] Number of Jobs Started","[185] Number of Jobs Started","[190] Number of Jobs Started","[197] Number of Jobs Started","[236] Number of Jobs Started","[241] Number of Jobs Started","[243] Number of Jobs Started","[300] Number of Jobs Started","[450] Number of Jobs Started","[3200] Number of Jobs Started","[3500] Number of Jobs Started","[5625] Number of Jobs Started","[62] Number of Jobs Started","[71] Number of Jobs Started","[95] Number of Jobs Started","[118] Number of Jobs Started","[129] Number of Jobs Started","[138] Number of Jobs Started","[164] Number of Jobs Started","[188] Number of Jobs Started","[195] Number of Jobs Started","[234] Number of Jobs Started","[341] Number of Jobs Started","[350] Number of Jobs Started","[689] Number of Jobs Started","[700] Number of Jobs Started","[720] Number of Jobs Started","[861] Number of Jobs Started"
2013-02-01,5110,96,290,123,70,19,115,45,3,2,21,42,12,66,0,4,0,8,14,1,3,12,8,0,3,0,4,0,3,17,1,21,1,0,0,2,0,0,3,8,0,0,0,2,0,0,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,6722,84,158,44,44,4,106,28,1,2,10,59,6,13,0,0,0,15,3,0,2,1,11,0,8,0,0,2,0,0,1,8,0,2,0,0,0,0,4,6,0,8,0,0,0,0,4,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,8102,119,307,26,20,9,64,3,1,18,5,4,2,4,0,15,16,15,0,0,0,0,5,0,1,1,0,0,0,0,0,6,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,8975,228,493,127,131,102,30,49,1,4,20,46,12,12,0,13,0,7,1,0,1,12,2,0,5,2,5,0,8,4,2,0,0,0,0,7,2,0,1,0,0,6,1,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,7442,195,540,112,158,63,41,44,0,3,41,17,11,43,0,13,3,10,6,0,4,9,6,0,12,0,6,0,4,0,0,4,0,0,1,8,2,0,3,0,0,5,1,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2013-02-06,7370,177,517,58,224,244,72,45,1,10,18,14,6,22,0,23,0,28,14,0,9,23,1,0,32,3,5,2,4,0,0,0,0,7,0,6,8,1,10,0,0,4,2,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,7015,1580,442,156,196,34,62,25,4,5,24,23,20,40,0,20,17,6,7,0,22,28,11,0,9,0,2,8,15,2,4,3,0,4,0,4,4,10,5,0,0,3,7,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,5643,3116,219,114,138,42,57,21,4,9,6,21,9,33,0,32,6,14,1,0,3,67,18,0,8,1,2,7,3,5,0,1,0,3,0,1,0,0,4,0,0,6,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,4,0,0,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,5319,221,115,98,91,20,101,15,0,25,17,8,1,12,0,10,0,7,2,0,2,21,32,0,1,3,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,3566,436,740,26,99,126,92,10,0,15,48,7,5,7,0,7,0,4,12,0,2,42,11,0,6,2,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
