title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[16] Number of Jobs Started","[4] Number of Jobs Started","[32] Number of Jobs Started","[8] Number of Jobs Started","[6] Number of Jobs Started","[3] Number of Jobs Started","[64] Number of Jobs Started","[5] Number of Jobs Started","[10] Number of Jobs Started","[7] Number of Jobs Started","[36] Number of Jobs Started","[12] Number of Jobs Started","[20] Number of Jobs Started","[256] Number of Jobs Started","[128] Number of Jobs Started","[15] Number of Jobs Started","[11] Number of Jobs Started","[9] Number of Jobs Started","[31] Number of Jobs Started","[13] Number of Jobs Started","[48] Number of Jobs Started","[24] Number of Jobs Started","[30] Number of Jobs Started","[61] Number of Jobs Started","[25] Number of Jobs Started","[100] Number of Jobs Started","[60] Number of Jobs Started","[40] Number of Jobs Started","[150] Number of Jobs Started","[50] Number of Jobs Started","[14] Number of Jobs Started","[18] Number of Jobs Started","[240] Number of Jobs Started","[512] Number of Jobs Started","[183] Number of Jobs Started","[181] Number of Jobs Started","[384] Number of Jobs Started","[45] Number of Jobs Started","[66] Number of Jobs Started","[90] Number of Jobs Started","[80] Number of Jobs Started","[120] Number of Jobs Started","[96] Number of Jobs Started","[22] Number of Jobs Started","[250] Number of Jobs Started","[28] Number of Jobs Started","[63] Number of Jobs Started","[19] Number of Jobs Started","[42] Number of Jobs Started","[17] Number of Jobs Started","[212] Number of Jobs Started","[106] Number of Jobs Started","[35] Number of Jobs Started","[26] Number of Jobs Started","[72] Number of Jobs Started","[54] Number of Jobs Started","[1024] Number of Jobs Started","[125] Number of Jobs Started","[81] Number of Jobs Started","[75] Number of Jobs Started","[248] Number of Jobs Started","[62] Number of Jobs Started","[226] Number of Jobs Started","[99] Number of Jobs Started","[49] Number of Jobs Started","[38] Number of Jobs Started","[135] Number of Jobs Started","[144] Number of Jobs Started","[33] Number of Jobs Started","[375] Number of Jobs Started","[192] Number of Jobs Started","[34] Number of Jobs Started","[110] Number of Jobs Started","[39] Number of Jobs Started","[122] Number of Jobs Started","[220] Number of Jobs Started","[252] Number of Jobs Started","[160] Number of Jobs Started","[162] Number of Jobs Started","[117] Number of Jobs Started","[51] Number of Jobs Started","[27] Number of Jobs Started","[200] Number of Jobs Started","[21] Number of Jobs Started","[23] Number of Jobs Started","[204] Number of Jobs Started","[78] Number of Jobs Started","[57] Number of Jobs Started","[84] Number of Jobs Started","[56] Number of Jobs Started","[216] Number of Jobs Started","[52] Number of Jobs Started","[112] Number of Jobs Started","[148] Number of Jobs Started","[46] Number of Jobs Started","[180] Number of Jobs Started","[29] Number of Jobs Started","[76] Number of Jobs Started","[44] Number of Jobs Started","[65] Number of Jobs Started","[225] Number of Jobs Started","[70] Number of Jobs Started","[140] Number of Jobs Started","[43] Number of Jobs Started","[188] Number of Jobs Started","[101] Number of Jobs Started","[2048] Number of Jobs Started","[157] Number of Jobs Started","[108] Number of Jobs Started","[174] Number of Jobs Started","[82] Number of Jobs Started","[224] Number of Jobs Started","[105] Number of Jobs Started","[139] Number of Jobs Started","[37] Number of Jobs Started","[41] Number of Jobs Started","[47] Number of Jobs Started","[98] Number of Jobs Started","[500] Number of Jobs Started","[121] Number of Jobs Started","[124] Number of Jobs Started","[210] Number of Jobs Started","[705] Number of Jobs Started","[152] Number of Jobs Started","[171] Number of Jobs Started","[55] Number of Jobs Started","[68] Number of Jobs Started","[93] Number of Jobs Started","[129] Number of Jobs Started","[136] Number of Jobs Started","[147] Number of Jobs Started","[400] Number of Jobs Started","[83] Number of Jobs Started","[255] Number of Jobs Started","[86] Number of Jobs Started","[114] Number of Jobs Started","[126] Number of Jobs Started","[138] Number of Jobs Started","[169] Number of Jobs Started","[2000] Number of Jobs Started","[87] Number of Jobs Started","[153] Number of Jobs Started","[243] Number of Jobs Started","[58] Number of Jobs Started","[59] Number of Jobs Started","[69] Number of Jobs Started","[92] Number of Jobs Started","[94] Number of Jobs Started","[113] Number of Jobs Started","[161] Number of Jobs Started","[196] Number of Jobs Started","[640] Number of Jobs Started","[111] Number of Jobs Started","[146] Number of Jobs Started","[155] Number of Jobs Started","[170] Number of Jobs Started","[195] Number of Jobs Started","[207] Number of Jobs Started","[53] Number of Jobs Started","[71] Number of Jobs Started","[102] Number of Jobs Started","[119] Number of Jobs Started","[131] Number of Jobs Started","[132] Number of Jobs Started","[142] Number of Jobs Started","[175] Number of Jobs Started","[176] Number of Jobs Started","[197] Number of Jobs Started","[211] Number of Jobs Started","[233] Number of Jobs Started","[234] Number of Jobs Started","[768] Number of Jobs Started","[800] Number of Jobs Started","[88] Number of Jobs Started","[97] Number of Jobs Started","[103] Number of Jobs Started","[107] Number of Jobs Started","[115] Number of Jobs Started","[123] Number of Jobs Started","[127] Number of Jobs Started","[130] Number of Jobs Started","[133] Number of Jobs Started","[145] Number of Jobs Started","[159] Number of Jobs Started","[163] Number of Jobs Started","[168] Number of Jobs Started","[173] Number of Jobs Started","[187] Number of Jobs Started","[191] Number of Jobs Started","[194] Number of Jobs Started","[203] Number of Jobs Started","[209] Number of Jobs Started","[218] Number of Jobs Started","[237] Number of Jobs Started","[241] Number of Jobs Started","[320] Number of Jobs Started","[350] Number of Jobs Started","[625] Number of Jobs Started","[864] Number of Jobs Started"
2013-08-01,12169,616,2499,887,66,226,295,372,68,98,35,6,0,34,22,5,12,10,4,8,32,4,9,0,24,0,1,1,7,1,7,0,12,21,0,1,0,0,0,2,0,0,0,3,2,2,4,0,0,1,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,8458,555,2993,1094,65,259,272,395,43,146,54,5,0,47,23,9,30,8,1,4,62,6,24,7,42,51,0,0,1,1,2,0,3,7,0,0,0,0,0,1,0,0,0,1,3,0,5,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,12442,295,759,749,48,293,329,563,26,6,38,2,5,15,41,27,19,4,4,7,12,7,5,0,13,11,1,8,2,0,6,0,0,21,0,14,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,7193,2687,952,1137,6,260,312,571,25,36,97,4,1,18,38,21,16,9,91,1,21,3,3,0,29,0,1,28,3,0,15,0,0,35,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,3830,908,862,959,63,178,251,466,29,10,31,14,0,10,24,22,25,3,14,15,17,1,0,0,13,0,1,2,0,0,0,0,0,4,0,4,0,8,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,262,62,238,325,8,35,90,150,3,0,0,0,0,3,11,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,2302,1251,165,302,39,213,39,124,42,12,54,13,51,35,24,29,29,17,25,18,2,13,0,0,20,0,7,3,1,3,2,3,1,3,0,1,0,0,0,9,0,0,0,0,2,0,3,0,0,0,0,1,0,2,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,1403,812,72,152,51,116,17,152,27,7,53,1,82,10,5,13,20,7,13,2,1,0,1,2,12,0,0,4,3,3,0,2,1,6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,1213,1150,157,499,32,106,116,154,27,15,47,13,72,22,64,16,13,23,26,25,1,6,0,1,15,0,2,2,10,9,0,8,7,12,0,25,0,0,0,2,0,0,2,0,0,0,0,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,767,478,274,399,22,155,225,195,29,15,59,8,0,4,2,7,9,8,1,2,2,0,0,6,12,0,4,2,9,5,0,1,6,7,0,17,0,0,0,1,0,0,5,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
