Day,[16] Number of Jobs Started,[32] Number of Jobs Started,[64] Number of Jobs Started,[128] Number of Jobs Started,[256] Number of Jobs Started,[48] Number of Jobs Started,[96] Number of Jobs Started,[80] Number of Jobs Started,[144] Number of Jobs Started,[160] Number of Jobs Started,[112] Number of Jobs Started
2011-01-21,2,0,10,0,0,0,1,0,0,0,0
2011-01-22,0,0,11,1,0,0,1,0,0,0,0
2011-01-23,0,0,9,1,0,0,0,0,0,0,0
2011-01-24,24,5,10,1,0,0,0,0,0,0,0
2011-01-25,7,3,0,0,0,0,2,0,0,2,0
2011-01-26,35,9,10,11,4,0,3,0,0,0,0
2011-01-27,115,22,8,22,1,4,2,0,1,0,1
2011-01-28,279,58,54,44,40,1,0,1,1,0,0
2011-01-29,74,0,5,2,0,0,0,0,0,0,0
2011-01-30,19,1,2,2,0,1,0,2,0,0,0
2011-01-31,39,37,3,4,0,3,0,5,1,0,0
