Day,[16] Number of Jobs Started,[32] Number of Jobs Started,[128] Number of Jobs Started,[64] Number of Jobs Started,[256] Number of Jobs Started,[48] Number of Jobs Started,[96] Number of Jobs Started,[512] Number of Jobs Started,[80] Number of Jobs Started,[160] Number of Jobs Started,[8] Number of Jobs Started,[144] Number of Jobs Started,[576] Number of Jobs Started,[112] Number of Jobs Started,[320] Number of Jobs Started,[192] Number of Jobs Started,[1024] Number of Jobs Started,[176] Number of Jobs Started,[208] Number of Jobs Started,[240] Number of Jobs Started,[544] Number of Jobs Started,[432] Number of Jobs Started,[384] Number of Jobs Started,[224] Number of Jobs Started,[272] Number of Jobs Started,[304] Number of Jobs Started,[416] Number of Jobs Started,[288] Number of Jobs Started,[480] Number of Jobs Started,[768] Number of Jobs Started,[368] Number of Jobs Started,[640] Number of Jobs Started,[1968] Number of Jobs Started,[464] Number of Jobs Started,[528] Number of Jobs Started,[704] Number of Jobs Started,[800] Number of Jobs Started,[896] Number of Jobs Started,[1008] Number of Jobs Started,[1440] Number of Jobs Started
2013-02-01,66,17,5,28,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,40,11,7,4,1,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,35,10,5,6,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,91,48,17,11,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,72,40,7,14,1,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,63,37,17,17,1,7,1,2,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,44,20,8,10,4,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,56,70,8,4,2,4,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,40,33,5,6,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,37,64,23,17,1,1,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
