Day,[16] Number of Jobs Started,[64] Number of Jobs Started,[32] Number of Jobs Started,[384] Number of Jobs Started,[768] Number of Jobs Started,[96] Number of Jobs Started,[128] Number of Jobs Started,[48] Number of Jobs Started,[192] Number of Jobs Started,[256] Number of Jobs Started,[512] Number of Jobs Started,[112] Number of Jobs Started,[1024] Number of Jobs Started
2015-08-01,6,5,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,17,34,3,0,2,0,0,1,0,0,0,1,0
2015-08-03,21,15,5,0,3,0,2,0,0,0,0,0,0
2015-08-04,37,9,1,1,0,0,0,0,0,0,0,0,0
2015-08-05,104,5,1,0,0,1,0,0,1,0,2,0,0
2015-08-06,57,3,4,0,1,0,0,0,1,0,0,0,0
2015-08-07,87,4,12,0,0,0,2,0,0,0,0,0,0
2015-08-08,9,2,0,15,2,0,0,0,0,0,0,0,0
2015-08-09,5,3,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,66,1,7,4,2,2,2,0,0,0,0,0,0
2015-08-11,68,2,3,4,0,1,0,0,0,2,0,0,0
2015-08-12,77,0,1,0,1,0,0,0,0,0,0,0,0
2015-08-13,48,4,2,6,0,2,0,3,0,0,0,0,0
2015-08-14,42,0,0,3,0,0,0,0,0,0,0,0,0
2015-08-15,6,0,0,0,0,0,0,0,0,0,0,0,0
