Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[5] Number of Jobs Started,[64] Number of Jobs Started,[16] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[32] Number of Jobs Started,[9] Number of Jobs Started,[12] Number of Jobs Started,[6] Number of Jobs Started,[25] Number of Jobs Started,[10] Number of Jobs Started,[11] Number of Jobs Started,[35] Number of Jobs Started,[20] Number of Jobs Started,[40] Number of Jobs Started,[18] Number of Jobs Started,[128] Number of Jobs Started,[15] Number of Jobs Started,[96] Number of Jobs Started,[24] Number of Jobs Started,[48] Number of Jobs Started,[19] Number of Jobs Started,[21] Number of Jobs Started,[23] Number of Jobs Started,[36] Number of Jobs Started,[41] Number of Jobs Started,[14] Number of Jobs Started,[98] Number of Jobs Started,[7] Number of Jobs Started,[30] Number of Jobs Started,[31] Number of Jobs Started,[45] Number of Jobs Started,[60] Number of Jobs Started,[100] Number of Jobs Started,[38] Number of Jobs Started,[91] Number of Jobs Started,[33] Number of Jobs Started,[22] Number of Jobs Started,[106] Number of Jobs Started,[108] Number of Jobs Started,[13] Number of Jobs Started,[69] Number of Jobs Started,[93] Number of Jobs Started,[44] Number of Jobs Started,[28] Number of Jobs Started,[57] Number of Jobs Started,[62] Number of Jobs Started,[110] Number of Jobs Started,[112] Number of Jobs Started,[26] Number of Jobs Started,[43] Number of Jobs Started,[72] Number of Jobs Started,[104] Number of Jobs Started
2013-02-01,289,19,6,0,7,4,2,0,20,1,2,2,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,269,1,1,0,9,0,1,1,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,279,2,12,0,11,5,0,2,19,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,873,23,1,11,21,3,1,4,7,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,831,52,15,0,18,2,1,8,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,945,62,60,0,10,1,2,12,3,7,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,345,17,79,0,14,4,1,2,3,5,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2013-02-08,534,41,16,0,22,6,5,2,9,1,1,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,264,10,24,3,18,4,1,8,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,134,1,1,0,23,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,334,13,122,0,15,7,3,0,6,14,0,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-12,251,10,66,0,13,0,1,0,3,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,924,26,55,0,7,13,2,10,3,5,0,1,0,0,20,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-14,1160,50,57,0,18,1,0,0,1,2,0,0,0,5,1,0,0,0,0,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
