Day,[1] Number of Jobs Started,[4] Number of Jobs Started,[2] Number of Jobs Started,[8] Number of Jobs Started,[16] Number of Jobs Started,[3] Number of Jobs Started,[32] Number of Jobs Started,[6] Number of Jobs Started,[5] Number of Jobs Started,[64] Number of Jobs Started,[20] Number of Jobs Started,[12] Number of Jobs Started,[10] Number of Jobs Started,[9] Number of Jobs Started,[60] Number of Jobs Started,[24] Number of Jobs Started,[38] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[15] Number of Jobs Started,[43] Number of Jobs Started,[75] Number of Jobs Started,[7] Number of Jobs Started,[30] Number of Jobs Started,[128] Number of Jobs Started,[80] Number of Jobs Started,[14] Number of Jobs Started,[17] Number of Jobs Started,[28] Number of Jobs Started,[26] Number of Jobs Started,[63] Number of Jobs Started,[48] Number of Jobs Started,[37] Number of Jobs Started,[40] Number of Jobs Started,[50] Number of Jobs Started,[96] Number of Jobs Started,[11] Number of Jobs Started,[22] Number of Jobs Started,[25] Number of Jobs Started,[45] Number of Jobs Started,[35] Number of Jobs Started,[102] Number of Jobs Started,[23] Number of Jobs Started,[81] Number of Jobs Started,[13] Number of Jobs Started,[21] Number of Jobs Started,[74] Number of Jobs Started,[78] Number of Jobs Started,[33] Number of Jobs Started,[49] Number of Jobs Started,[72] Number of Jobs Started,[120] Number of Jobs Started,[36] Number of Jobs Started,[56] Number of Jobs Started,[100] Number of Jobs Started,[52] Number of Jobs Started,[73] Number of Jobs Started,[90] Number of Jobs Started,[27] Number of Jobs Started,[31] Number of Jobs Started,[42] Number of Jobs Started,[44] Number of Jobs Started,[58] Number of Jobs Started,[61] Number of Jobs Started,[71] Number of Jobs Started,[84] Number of Jobs Started
2014-02-01,342,51,1,17,0,0,2,0,0,1,0,3,2,0,3,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,472,35,61,4,1,1,2,1,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,762,60,42,9,7,5,1,2,0,3,3,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,1052,60,38,14,6,9,1,1,0,6,1,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,1639,84,57,13,0,8,1,1,0,8,0,3,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,2094,48,31,9,11,3,4,0,0,13,2,2,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2479,54,98,68,4,3,10,2,0,7,3,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,406,72,49,11,7,8,17,1,1,5,0,2,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,598,119,23,12,8,10,0,0,2,1,1,8,15,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,589,18,48,16,1,1,4,0,0,1,1,4,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
