Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[32] Number of Jobs Started,[16] Number of Jobs Started,[5] Number of Jobs Started,[6] Number of Jobs Started,[17] Number of Jobs Started,[64] Number of Jobs Started,[12] Number of Jobs Started,[7] Number of Jobs Started,[30] Number of Jobs Started,[28] Number of Jobs Started,[10] Number of Jobs Started,[9] Number of Jobs Started,[20] Number of Jobs Started,[40] Number of Jobs Started,[128] Number of Jobs Started,[14] Number of Jobs Started,[19] Number of Jobs Started,[60] Number of Jobs Started,[25] Number of Jobs Started,[22] Number of Jobs Started,[24] Number of Jobs Started,[13] Number of Jobs Started,[11] Number of Jobs Started,[43] Number of Jobs Started,[96] Number of Jobs Started,[42] Number of Jobs Started,[26] Number of Jobs Started,[50] Number of Jobs Started,[18] Number of Jobs Started,[36] Number of Jobs Started,[38] Number of Jobs Started,[48] Number of Jobs Started,[44] Number of Jobs Started,[33] Number of Jobs Started,[15] Number of Jobs Started,[49] Number of Jobs Started,[52] Number of Jobs Started,[94] Number of Jobs Started,[256] Number of Jobs Started,[27] Number of Jobs Started,[31] Number of Jobs Started,[34] Number of Jobs Started,[74] Number of Jobs Started,[126] Number of Jobs Started,[41] Number of Jobs Started,[46] Number of Jobs Started,[100] Number of Jobs Started,[39] Number of Jobs Started,[54] Number of Jobs Started,[55] Number of Jobs Started,[86] Number of Jobs Started,[93] Number of Jobs Started,[29] Number of Jobs Started,[35] Number of Jobs Started,[51] Number of Jobs Started,[53] Number of Jobs Started,[56] Number of Jobs Started,[65] Number of Jobs Started,[68] Number of Jobs Started,[76] Number of Jobs Started,[103] Number of Jobs Started,[112] Number of Jobs Started
2014-08-01,1506,38,32,63,0,0,6,10,0,2,4,1,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,472,43,50,35,5,0,1,7,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,391,49,33,37,7,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,766,75,54,55,9,0,2,12,3,2,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,1267,65,45,25,33,0,2,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,1317,86,64,76,22,0,0,1,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,1631,63,55,103,4,2,11,2,5,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,993,54,52,35,5,1,4,0,3,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,510,60,65,42,1,0,15,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,348,66,59,66,8,0,6,0,2,8,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
