Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[16] Number of Jobs Started,[4] Number of Jobs Started,[5] Number of Jobs Started,[8] Number of Jobs Started,[64] Number of Jobs Started,[3] Number of Jobs Started,[9] Number of Jobs Started,[6] Number of Jobs Started,[32] Number of Jobs Started,[7] Number of Jobs Started,[10] Number of Jobs Started,[24] Number of Jobs Started,[48] Number of Jobs Started,[18] Number of Jobs Started,[30] Number of Jobs Started,[12] Number of Jobs Started,[17] Number of Jobs Started,[37] Number of Jobs Started,[256] Number of Jobs Started,[128] Number of Jobs Started,[100] Number of Jobs Started,[13] Number of Jobs Started,[20] Number of Jobs Started,[25] Number of Jobs Started,[15] Number of Jobs Started,[40] Number of Jobs Started,[74] Number of Jobs Started,[80] Number of Jobs Started,[11] Number of Jobs Started,[14] Number of Jobs Started,[36] Number of Jobs Started,[82] Number of Jobs Started,[27] Number of Jobs Started,[50] Number of Jobs Started,[181] Number of Jobs Started,[244] Number of Jobs Started,[60] Number of Jobs Started,[157] Number of Jobs Started,[1024] Number of Jobs Started,[192] Number of Jobs Started,[512] Number of Jobs Started,[240] Number of Jobs Started,[19] Number of Jobs Started,[21] Number of Jobs Started,[125] Number of Jobs Started,[216] Number of Jobs Started,[28] Number of Jobs Started,[45] Number of Jobs Started,[62] Number of Jobs Started,[63] Number of Jobs Started,[250] Number of Jobs Started,[31] Number of Jobs Started,[34] Number of Jobs Started,[33] Number of Jobs Started,[144] Number of Jobs Started,[38] Number of Jobs Started,[57] Number of Jobs Started,[26] Number of Jobs Started,[72] Number of Jobs Started,[96] Number of Jobs Started,[22] Number of Jobs Started,[23] Number of Jobs Started,[135] Number of Jobs Started,[81] Number of Jobs Started,[120] Number of Jobs Started,[122] Number of Jobs Started,[127] Number of Jobs Started,[109] Number of Jobs Started,[252] Number of Jobs Started,[160] Number of Jobs Started,[77] Number of Jobs Started,[108] Number of Jobs Started,[148] Number of Jobs Started,[29] Number of Jobs Started,[75] Number of Jobs Started,[35] Number of Jobs Started,[43] Number of Jobs Started,[180] Number of Jobs Started,[68] Number of Jobs Started,[92] Number of Jobs Started,[200] Number of Jobs Started,[183] Number of Jobs Started,[46] Number of Jobs Started,[61] Number of Jobs Started,[84] Number of Jobs Started,[54] Number of Jobs Started,[56] Number of Jobs Started,[90] Number of Jobs Started,[65] Number of Jobs Started,[44] Number of Jobs Started,[42] Number of Jobs Started,[110] Number of Jobs Started,[119] Number of Jobs Started,[121] Number of Jobs Started,[150] Number of Jobs Started,[220] Number of Jobs Started,[140] Number of Jobs Started,[241] Number of Jobs Started,[49] Number of Jobs Started,[70] Number of Jobs Started,[196] Number of Jobs Started,[41] Number of Jobs Started,[85] Number of Jobs Started,[98] Number of Jobs Started,[500] Number of Jobs Started,[47] Number of Jobs Started,[162] Number of Jobs Started,[224] Number of Jobs Started,[52] Number of Jobs Started,[168] Number of Jobs Started,[768] Number of Jobs Started,[102] Number of Jobs Started,[219] Number of Jobs Started,[225] Number of Jobs Started,[2048] Number of Jobs Started,[55] Number of Jobs Started,[66] Number of Jobs Started,[111] Number of Jobs Started,[129] Number of Jobs Started,[182] Number of Jobs Started,[576] Number of Jobs Started,[39] Number of Jobs Started,[132] Number of Jobs Started,[185] Number of Jobs Started,[361] Number of Jobs Started,[625] Number of Jobs Started,[864] Number of Jobs Started,[138] Number of Jobs Started,[217] Number of Jobs Started,[729] Number of Jobs Started,[95] Number of Jobs Started,[480] Number of Jobs Started,[485] Number of Jobs Started,[130] Number of Jobs Started,[169] Number of Jobs Started,[1000] Number of Jobs Started,[78] Number of Jobs Started,[101] Number of Jobs Started,[126] Number of Jobs Started,[165] Number of Jobs Started,[172] Number of Jobs Started,[282] Number of Jobs Started,[430] Number of Jobs Started,[76] Number of Jobs Started,[124] Number of Jobs Started,[226] Number of Jobs Started,[450] Number of Jobs Started,[107] Number of Jobs Started,[112] Number of Jobs Started,[190] Number of Jobs Started,[210] Number of Jobs Started,[237] Number of Jobs Started,[242] Number of Jobs Started,[420] Number of Jobs Started,[506] Number of Jobs Started,[640] Number of Jobs Started,[51] Number of Jobs Started,[73] Number of Jobs Started,[86] Number of Jobs Started,[104] Number of Jobs Started,[147] Number of Jobs Started,[161] Number of Jobs Started,[187] Number of Jobs Started,[641] Number of Jobs Started,[123] Number of Jobs Started,[136] Number of Jobs Started,[146] Number of Jobs Started,[170] Number of Jobs Started,[218] Number of Jobs Started,[330] Number of Jobs Started,[638] Number of Jobs Started,[53] Number of Jobs Started,[59] Number of Jobs Started,[115] Number of Jobs Started,[156] Number of Jobs Started,[164] Number of Jobs Started,[176] Number of Jobs Started,[248] Number of Jobs Started,[255] Number of Jobs Started,[280] Number of Jobs Started,[300] Number of Jobs Started,[350] Number of Jobs Started,[375] Number of Jobs Started,[384] Number of Jobs Started,[422] Number of Jobs Started,[470] Number of Jobs Started,[827] Number of Jobs Started,[83] Number of Jobs Started,[105] Number of Jobs Started,[113] Number of Jobs Started,[114] Number of Jobs Started,[133] Number of Jobs Started,[154] Number of Jobs Started,[155] Number of Jobs Started,[166] Number of Jobs Started,[194] Number of Jobs Started,[201] Number of Jobs Started,[208] Number of Jobs Started,[211] Number of Jobs Started,[232] Number of Jobs Started,[245] Number of Jobs Started,[288] Number of Jobs Started,[310] Number of Jobs Started,[340] Number of Jobs Started,[400] Number of Jobs Started,[407] Number of Jobs Started,[410] Number of Jobs Started,[435] Number of Jobs Started,[484] Number of Jobs Started,[490] Number of Jobs Started,[67] Number of Jobs Started,[88] Number of Jobs Started,[99] Number of Jobs Started,[143] Number of Jobs Started,[151] Number of Jobs Started,[167] Number of Jobs Started,[188] Number of Jobs Started,[212] Number of Jobs Started,[222] Number of Jobs Started,[243] Number of Jobs Started,[249] Number of Jobs Started,[251] Number of Jobs Started,[259] Number of Jobs Started,[290] Number of Jobs Started,[320] Number of Jobs Started,[321] Number of Jobs Started,[345] Number of Jobs Started,[360] Number of Jobs Started,[370] Number of Jobs Started,[386] Number of Jobs Started,[391] Number of Jobs Started,[437] Number of Jobs Started,[440] Number of Jobs Started,[460] Number of Jobs Started,[481] Number of Jobs Started,[513] Number of Jobs Started,[519] Number of Jobs Started,[900] Number of Jobs Started,[1001] Number of Jobs Started
2014-02-01,8430,172,261,161,79,109,39,60,4,57,51,439,34,4,3,7,0,12,0,0,9,29,16,1,6,12,2,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,9133,502,111,149,13,140,83,46,7,91,26,79,52,10,0,5,4,13,2,0,4,18,15,11,6,22,2,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,3371,401,594,264,10,124,34,61,5,73,45,35,71,6,0,8,4,6,2,0,19,13,14,9,5,7,4,3,0,0,5,0,0,0,0,5,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,2275,298,781,143,20,185,32,106,12,10,27,75,43,4,2,2,2,2,0,0,18,8,13,25,11,6,4,6,0,1,7,0,0,0,2,4,0,0,2,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,3,0,2,0,0,0,4,1,0,0,0,3,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,11,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,4769,535,377,163,22,268,26,109,5,16,37,14,47,2,3,10,5,65,0,1,18,5,14,4,15,12,5,1,0,5,5,0,0,5,0,5,0,0,2,0,0,7,0,0,1,8,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,5002,568,104,177,29,273,26,88,9,41,32,3,14,2,6,7,0,37,1,0,17,7,14,8,14,10,4,2,0,2,2,1,0,0,0,4,0,0,2,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2559,607,130,415,98,399,35,184,18,58,25,22,98,2,0,6,1,32,2,0,10,6,15,4,12,26,25,6,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,7694,462,141,185,58,77,44,26,8,42,26,2,361,0,2,10,1,69,0,0,4,2,15,3,11,18,65,1,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,10526,519,181,184,48,149,29,28,6,18,35,7,605,2,0,4,3,78,0,0,6,1,19,3,12,24,3,0,0,0,1,1,2,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,4235,513,693,405,50,152,26,64,12,75,53,10,20,1,1,8,1,24,0,0,6,5,13,4,7,9,5,18,0,0,0,10,0,0,0,4,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
