Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[5] Number of Jobs Started,[4] Number of Jobs Started,[16] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[6] Number of Jobs Started,[24] Number of Jobs Started,[74] Number of Jobs Started,[32] Number of Jobs Started,[64] Number of Jobs Started,[10] Number of Jobs Started,[9] Number of Jobs Started,[30] Number of Jobs Started,[12] Number of Jobs Started,[7] Number of Jobs Started,[60] Number of Jobs Started,[256] Number of Jobs Started,[20] Number of Jobs Started,[128] Number of Jobs Started,[13] Number of Jobs Started,[14] Number of Jobs Started,[15] Number of Jobs Started,[25] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[40] Number of Jobs Started,[11] Number of Jobs Started,[80] Number of Jobs Started,[48] Number of Jobs Started,[240] Number of Jobs Started,[23] Number of Jobs Started,[36] Number of Jobs Started,[100] Number of Jobs Started,[1024] Number of Jobs Started,[512] Number of Jobs Started,[50] Number of Jobs Started,[21] Number of Jobs Started,[120] Number of Jobs Started,[19] Number of Jobs Started,[216] Number of Jobs Started,[63] Number of Jobs Started,[82] Number of Jobs Started,[96] Number of Jobs Started,[250] Number of Jobs Started,[57] Number of Jobs Started,[22] Number of Jobs Started,[77] Number of Jobs Started,[33] Number of Jobs Started,[34] Number of Jobs Started,[90] Number of Jobs Started,[121] Number of Jobs Started,[38] Number of Jobs Started,[157] Number of Jobs Started,[168] Number of Jobs Started,[160] Number of Jobs Started,[28] Number of Jobs Started,[225] Number of Jobs Started,[93] Number of Jobs Started,[27] Number of Jobs Started,[65] Number of Jobs Started,[68] Number of Jobs Started,[70] Number of Jobs Started,[75] Number of Jobs Started,[98] Number of Jobs Started,[53] Number of Jobs Started,[127] Number of Jobs Started,[150] Number of Jobs Started,[61] Number of Jobs Started,[62] Number of Jobs Started,[45] Number of Jobs Started,[72] Number of Jobs Started,[52] Number of Jobs Started,[102] Number of Jobs Started,[26] Number of Jobs Started,[108] Number of Jobs Started,[29] Number of Jobs Started,[192] Number of Jobs Started,[54] Number of Jobs Started,[43] Number of Jobs Started,[31] Number of Jobs Started,[140] Number of Jobs Started,[42] Number of Jobs Started,[41] Number of Jobs Started,[125] Number of Jobs Started,[144] Number of Jobs Started,[35] Number of Jobs Started,[55] Number of Jobs Started,[76] Number of Jobs Started,[129] Number of Jobs Started,[864] Number of Jobs Started,[147] Number of Jobs Started,[151] Number of Jobs Started,[46] Number of Jobs Started,[252] Number of Jobs Started,[126] Number of Jobs Started,[234] Number of Jobs Started,[118] Number of Jobs Started,[44] Number of Jobs Started,[49] Number of Jobs Started,[56] Number of Jobs Started,[113] Number of Jobs Started,[116] Number of Jobs Started,[37] Number of Jobs Started,[135] Number of Jobs Started,[224] Number of Jobs Started,[680] Number of Jobs Started,[39] Number of Jobs Started,[179] Number of Jobs Started,[47] Number of Jobs Started,[79] Number of Jobs Started,[600] Number of Jobs Started,[78] Number of Jobs Started,[81] Number of Jobs Started,[200] Number of Jobs Started,[640] Number of Jobs Started,[94] Number of Jobs Started,[660] Number of Jobs Started,[85] Number of Jobs Started,[51] Number of Jobs Started,[71] Number of Jobs Started,[320] Number of Jobs Started,[2048] Number of Jobs Started,[153] Number of Jobs Started,[188] Number of Jobs Started,[288] Number of Jobs Started,[780] Number of Jobs Started,[790] Number of Jobs Started,[112] Number of Jobs Started,[500] Number of Jobs Started,[4096] Number of Jobs Started,[101] Number of Jobs Started,[138] Number of Jobs Started,[155] Number of Jobs Started,[176] Number of Jobs Started,[255] Number of Jobs Started,[1000] Number of Jobs Started,[133] Number of Jobs Started,[407] Number of Jobs Started,[650] Number of Jobs Started,[59] Number of Jobs Started,[84] Number of Jobs Started,[86] Number of Jobs Started,[95] Number of Jobs Started,[69] Number of Jobs Started,[114] Number of Jobs Started,[154] Number of Jobs Started,[760] Number of Jobs Started,[810] Number of Jobs Started,[1728] Number of Jobs Started,[117] Number of Jobs Started,[119] Number of Jobs Started,[123] Number of Jobs Started,[132] Number of Jobs Started,[172] Number of Jobs Started,[203] Number of Jobs Started,[207] Number of Jobs Started,[208] Number of Jobs Started,[480] Number of Jobs Started,[529] Number of Jobs Started,[92] Number of Jobs Started,[122] Number of Jobs Started,[124] Number of Jobs Started,[180] Number of Jobs Started,[210] Number of Jobs Started,[384] Number of Jobs Started,[745] Number of Jobs Started,[785] Number of Jobs Started,[800] Number of Jobs Started,[89] Number of Jobs Started,[105] Number of Jobs Started,[107] Number of Jobs Started,[137] Number of Jobs Started,[152] Number of Jobs Started,[162] Number of Jobs Started,[187] Number of Jobs Started,[197] Number of Jobs Started,[204] Number of Jobs Started,[205] Number of Jobs Started,[220] Number of Jobs Started,[235] Number of Jobs Started,[313] Number of Jobs Started,[324] Number of Jobs Started,[473] Number of Jobs Started,[486] Number of Jobs Started,[690] Number of Jobs Started,[700] Number of Jobs Started,[945] Number of Jobs Started,[58] Number of Jobs Started,[66] Number of Jobs Started,[67] Number of Jobs Started,[99] Number of Jobs Started,[104] Number of Jobs Started,[106] Number of Jobs Started,[109] Number of Jobs Started,[183] Number of Jobs Started,[211] Number of Jobs Started,[251] Number of Jobs Started,[375] Number of Jobs Started,[576] Number of Jobs Started,[670] Number of Jobs Started,[720] Number of Jobs Started,[725] Number of Jobs Started,[729] Number of Jobs Started,[740] Number of Jobs Started,[83] Number of Jobs Started,[88] Number of Jobs Started,[103] Number of Jobs Started,[143] Number of Jobs Started,[169] Number of Jobs Started,[171] Number of Jobs Started,[175] Number of Jobs Started,[184] Number of Jobs Started,[189] Number of Jobs Started,[236] Number of Jobs Started,[244] Number of Jobs Started,[248] Number of Jobs Started,[300] Number of Jobs Started,[358] Number of Jobs Started,[620] Number of Jobs Started,[710] Number of Jobs Started,[730] Number of Jobs Started,[750] Number of Jobs Started,[768] Number of Jobs Started,[769] Number of Jobs Started,[960] Number of Jobs Started
2014-08-01,2352,425,1151,210,198,359,196,79,14,0,30,20,103,9,45,15,4,1,4,19,0,61,4,9,8,2,0,8,1,42,2,1,5,2,2,0,0,0,0,0,2,0,0,29,1,5,3,0,2,5,0,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,3719,467,2061,160,106,308,106,36,6,0,21,24,76,11,92,14,7,6,3,8,2,67,2,7,11,6,4,6,0,26,4,1,9,0,3,0,0,0,0,2,0,0,0,22,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,2713,437,309,172,98,281,101,40,1,0,23,22,6,757,95,2,0,0,12,4,0,199,0,0,12,4,13,3,1,22,1,10,33,0,1,0,0,0,0,0,5,0,0,19,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,3236,824,883,226,113,161,24,47,1,0,12,21,70,45,80,2,2,0,0,2,1,32,1,2,16,4,0,1,1,18,5,11,13,0,3,0,0,0,0,0,1,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,568,259,1522,139,96,45,32,75,3,0,22,42,46,32,32,5,9,1,7,5,0,78,0,1,2,6,6,2,1,0,2,0,1,0,1,0,0,0,0,0,5,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,1337,591,186,315,237,206,60,91,4,0,127,39,61,33,144,12,41,0,10,28,21,18,0,3,5,8,5,2,1,1,10,9,4,2,2,0,0,0,0,4,2,0,0,0,0,0,2,1,4,0,4,0,0,0,2,0,1,0,0,0,2,0,2,0,1,0,0,1,0,0,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,1688,368,15,212,227,230,38,96,3,0,40,39,35,21,70,31,8,1,21,28,16,69,7,0,3,4,5,3,0,5,6,7,4,1,0,4,6,0,0,1,7,0,2,0,0,0,0,1,7,0,0,0,2,0,1,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-08-08,1742,569,93,263,210,193,112,59,11,1722,85,29,36,24,54,36,1,2,11,13,8,12,5,9,5,5,5,2,1,5,2,5,3,3,2,9,5,0,0,0,9,0,2,0,0,0,2,1,5,0,0,0,0,0,2,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,1666,600,2583,111,127,203,57,20,10,3004,53,9,92,25,66,19,0,2,7,7,4,104,0,0,55,8,2,0,1,3,4,3,3,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,3963,175,2504,91,135,106,76,15,11,0,32,14,73,17,65,17,0,0,8,5,0,1,0,0,59,4,1,0,2,0,5,2,1,0,0,0,0,0,0,1,8,0,2,0,0,0,0,0,8,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
