Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[6] Number of Jobs Started,[4] Number of Jobs Started,[16] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[32] Number of Jobs Started,[5] Number of Jobs Started,[9] Number of Jobs Started,[10] Number of Jobs Started,[64] Number of Jobs Started,[12] Number of Jobs Started,[7] Number of Jobs Started,[256] Number of Jobs Started,[128] Number of Jobs Started,[17] Number of Jobs Started,[20] Number of Jobs Started,[24] Number of Jobs Started,[15] Number of Jobs Started,[48] Number of Jobs Started,[40] Number of Jobs Started,[42] Number of Jobs Started,[14] Number of Jobs Started,[13] Number of Jobs Started,[11] Number of Jobs Started,[1024] Number of Jobs Started,[36] Number of Jobs Started,[18] Number of Jobs Started,[30] Number of Jobs Started,[121] Number of Jobs Started,[80] Number of Jobs Started,[28] Number of Jobs Started,[100] Number of Jobs Started,[512] Number of Jobs Started,[96] Number of Jobs Started,[50] Number of Jobs Started,[25] Number of Jobs Started,[120] Number of Jobs Started,[217] Number of Jobs Started,[38] Number of Jobs Started,[200] Number of Jobs Started,[72] Number of Jobs Started,[23] Number of Jobs Started,[22] Number of Jobs Started,[34] Number of Jobs Started,[125] Number of Jobs Started,[33] Number of Jobs Started,[126] Number of Jobs Started,[60] Number of Jobs Started,[63] Number of Jobs Started,[160] Number of Jobs Started,[56] Number of Jobs Started,[224] Number of Jobs Started,[26] Number of Jobs Started,[65] Number of Jobs Started,[45] Number of Jobs Started,[142] Number of Jobs Started,[240] Number of Jobs Started,[144] Number of Jobs Started,[216] Number of Jobs Started,[188] Number of Jobs Started,[181] Number of Jobs Started,[19] Number of Jobs Started,[127] Number of Jobs Started,[75] Number of Jobs Started,[70] Number of Jobs Started,[90] Number of Jobs Started,[163] Number of Jobs Started,[35] Number of Jobs Started,[57] Number of Jobs Started,[27] Number of Jobs Started,[66] Number of Jobs Started,[250] Number of Jobs Started,[450] Number of Jobs Started,[21] Number of Jobs Started,[150] Number of Jobs Started,[192] Number of Jobs Started,[102] Number of Jobs Started,[54] Number of Jobs Started,[61] Number of Jobs Started,[179] Number of Jobs Started,[68] Number of Jobs Started,[39] Number of Jobs Started,[58] Number of Jobs Started,[46] Number of Jobs Started,[176] Number of Jobs Started,[62] Number of Jobs Started,[76] Number of Jobs Started,[132] Number of Jobs Started,[213] Number of Jobs Started,[44] Number of Jobs Started,[116] Number of Jobs Started,[52] Number of Jobs Started,[185] Number of Jobs Started,[165] Number of Jobs Started,[29] Number of Jobs Started,[157] Number of Jobs Started,[158] Number of Jobs Started,[480] Number of Jobs Started,[135] Number of Jobs Started,[252] Number of Jobs Started,[31] Number of Jobs Started,[112] Number of Jobs Started,[136] Number of Jobs Started,[37] Number of Jobs Started,[43] Number of Jobs Started,[108] Number of Jobs Started,[238] Number of Jobs Started,[81] Number of Jobs Started,[119] Number of Jobs Started,[49] Number of Jobs Started,[55] Number of Jobs Started,[69] Number of Jobs Started,[77] Number of Jobs Started,[225] Number of Jobs Started,[41] Number of Jobs Started,[140] Number of Jobs Started,[640] Number of Jobs Started,[53] Number of Jobs Started,[168] Number of Jobs Started,[244] Number of Jobs Started,[82] Number of Jobs Started,[98] Number of Jobs Started,[151] Number of Jobs Started,[197] Number of Jobs Started,[864] Number of Jobs Started,[59] Number of Jobs Started,[92] Number of Jobs Started,[99] Number of Jobs Started,[137] Number of Jobs Started,[500] Number of Jobs Started,[800] Number of Jobs Started,[71] Number of Jobs Started,[88] Number of Jobs Started,[175] Number of Jobs Started,[187] Number of Jobs Started,[255] Number of Jobs Started,[300] Number of Jobs Started,[118] Number of Jobs Started,[94] Number of Jobs Started,[122] Number of Jobs Started,[400] Number of Jobs Started,[2000] Number of Jobs Started,[103] Number of Jobs Started,[152] Number of Jobs Started,[242] Number of Jobs Started,[960] Number of Jobs Started,[74] Number of Jobs Started,[78] Number of Jobs Started,[109] Number of Jobs Started,[196] Number of Jobs Started,[208] Number of Jobs Started,[234] Number of Jobs Started,[1728] Number of Jobs Started,[97] Number of Jobs Started,[110] Number of Jobs Started,[149] Number of Jobs Started,[222] Number of Jobs Started,[600] Number of Jobs Started,[648] Number of Jobs Started,[963] Number of Jobs Started,[1000] Number of Jobs Started,[51] Number of Jobs Started,[130] Number of Jobs Started,[138] Number of Jobs Started,[198] Number of Jobs Started,[219] Number of Jobs Started,[47] Number of Jobs Started,[95] Number of Jobs Started,[123] Number of Jobs Started,[172] Number of Jobs Started,[203] Number of Jobs Started,[204] Number of Jobs Started,[220] Number of Jobs Started,[230] Number of Jobs Started,[235] Number of Jobs Started,[251] Number of Jobs Started,[325] Number of Jobs Started,[67] Number of Jobs Started,[73] Number of Jobs Started,[84] Number of Jobs Started,[124] Number of Jobs Started,[133] Number of Jobs Started,[148] Number of Jobs Started,[169] Number of Jobs Started,[183] Number of Jobs Started,[211] Number of Jobs Started,[226] Number of Jobs Started,[384] Number of Jobs Started,[464] Number of Jobs Started,[481] Number of Jobs Started,[544] Number of Jobs Started,[547] Number of Jobs Started,[570] Number of Jobs Started,[576] Number of Jobs Started,[813] Number of Jobs Started,[850] Number of Jobs Started,[1856] Number of Jobs Started,[4000] Number of Jobs Started,[79] Number of Jobs Started,[83] Number of Jobs Started,[85] Number of Jobs Started,[87] Number of Jobs Started,[105] Number of Jobs Started,[107] Number of Jobs Started,[117] Number of Jobs Started,[129] Number of Jobs Started,[139] Number of Jobs Started,[141] Number of Jobs Started,[153] Number of Jobs Started,[154] Number of Jobs Started,[177] Number of Jobs Started,[210] Number of Jobs Started,[229] Number of Jobs Started,[232] Number of Jobs Started,[274] Number of Jobs Started,[321] Number of Jobs Started,[350] Number of Jobs Started,[455] Number of Jobs Started,[475] Number of Jobs Started,[520] Number of Jobs Started,[550] Number of Jobs Started,[768] Number of Jobs Started,[827] Number of Jobs Started,[875] Number of Jobs Started,[896] Number of Jobs Started,[900] Number of Jobs Started,[928] Number of Jobs Started,[2048] Number of Jobs Started,[3712] Number of Jobs Started
2015-02-01,923,1208,16,343,449,135,198,47,42,189,3,21,23,134,11,7,0,5,15,10,17,1,0,10,16,81,6,0,1,15,0,82,2,0,2,8,2,10,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1614,823,39,387,289,241,197,127,22,15,7,54,23,1,32,36,2,18,15,4,7,16,0,5,24,0,17,5,7,3,0,0,1,0,17,17,7,17,8,0,1,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,1740,969,50,429,474,230,636,61,86,31,10,45,35,10,30,33,3,15,15,4,1,16,0,7,16,1,9,7,0,8,0,0,0,0,8,43,9,1,32,0,1,0,0,0,7,1,0,0,12,2,0,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,4,9,0,0,10,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,1880,659,31,261,330,193,445,78,29,13,7,24,19,5,17,25,8,24,22,2,4,7,0,7,29,0,8,2,3,9,0,1,0,0,7,2,1,1,9,0,0,0,0,0,2,3,0,0,11,1,0,0,0,0,0,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,2069,525,43,277,304,173,105,93,32,2,70,20,12,3,62,12,84,13,6,8,3,34,0,2,1,2,20,8,2,3,0,0,3,0,20,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,1524,541,34,412,253,184,79,50,59,14,174,24,4,11,19,17,102,14,6,0,12,10,0,9,4,1,10,7,4,3,0,0,0,0,11,2,9,2,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,934,606,59,200,251,153,74,33,18,51,147,14,7,1,58,4,125,4,16,3,3,6,0,2,2,0,3,3,4,2,0,0,4,1,1,4,2,0,0,0,3,1,0,1,3,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,1732,718,16,331,458,175,52,64,18,19,17,25,23,4,39,23,4,15,12,3,1,2,0,4,3,0,11,1,0,3,0,7,1,0,11,11,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,2338,583,50,386,320,168,66,76,34,14,161,57,2,25,42,30,3,38,1,6,5,11,0,11,3,3,26,16,0,5,0,1,0,1,23,4,3,1,5,0,0,0,1,4,5,7,0,2,28,2,0,0,0,0,4,0,5,0,0,0,0,0,0,5,0,0,0,1,0,1,2,0,4,0,0,0,0,0,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,591,341,8,59,119,45,34,37,26,6,24,18,0,2,6,5,0,1,8,5,2,4,0,6,0,0,5,0,3,0,0,0,2,1,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
