Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[32] Number of Jobs Started,[10] Number of Jobs Started,[16] Number of Jobs Started,[24] Number of Jobs Started,[5] Number of Jobs Started,[6] Number of Jobs Started,[9] Number of Jobs Started,[12] Number of Jobs Started,[7] Number of Jobs Started,[20] Number of Jobs Started,[21] Number of Jobs Started,[13] Number of Jobs Started,[11] Number of Jobs Started,[14] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[15] Number of Jobs Started,[22] Number of Jobs Started,[28] Number of Jobs Started
2014-02-01,326,125,11,14,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,2911,49,12,10,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,2513,98,17,16,9,0,0,1,0,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2014-02-04,917,133,32,4,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,730,257,20,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-02-06,474,315,11,8,3,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
2014-02-07,491,427,12,17,0,0,0,4,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-02-08,473,79,19,4,4,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,491,90,11,14,4,1,5,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2014-02-10,692,183,13,8,3,1,2,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,702,145,18,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,1537,248,21,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
