title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[5] Number of Jobs Submitted","[4] Number of Jobs Submitted","[16] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[74] Number of Jobs Submitted","[24] Number of Jobs Submitted","[6] Number of Jobs Submitted","[32] Number of Jobs Submitted","[64] Number of Jobs Submitted","[10] Number of Jobs Submitted","[9] Number of Jobs Submitted","[12] Number of Jobs Submitted","[30] Number of Jobs Submitted","[7] Number of Jobs Submitted","[256] Number of Jobs Submitted","[128] Number of Jobs Submitted","[60] Number of Jobs Submitted","[13] Number of Jobs Submitted","[20] Number of Jobs Submitted","[14] Number of Jobs Submitted","[15] Number of Jobs Submitted","[25] Number of Jobs Submitted","[18] Number of Jobs Submitted","[17] Number of Jobs Submitted","[80] Number of Jobs Submitted","[11] Number of Jobs Submitted","[48] Number of Jobs Submitted","[40] Number of Jobs Submitted","[23] Number of Jobs Submitted","[36] Number of Jobs Submitted","[240] Number of Jobs Submitted","[100] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[512] Number of Jobs Submitted","[21] Number of Jobs Submitted","[120] Number of Jobs Submitted","[50] Number of Jobs Submitted","[82] Number of Jobs Submitted","[19] Number of Jobs Submitted","[250] Number of Jobs Submitted","[63] Number of Jobs Submitted","[96] Number of Jobs Submitted","[57] Number of Jobs Submitted","[77] Number of Jobs Submitted","[216] Number of Jobs Submitted","[22] Number of Jobs Submitted","[33] Number of Jobs Submitted","[121] Number of Jobs Submitted","[157] Number of Jobs Submitted","[168] Number of Jobs Submitted","[38] Number of Jobs Submitted","[90] Number of Jobs Submitted","[34] Number of Jobs Submitted","[225] Number of Jobs Submitted","[160] Number of Jobs Submitted","[93] Number of Jobs Submitted","[70] Number of Jobs Submitted","[68] Number of Jobs Submitted","[27] Number of Jobs Submitted","[28] Number of Jobs Submitted","[65] Number of Jobs Submitted","[98] Number of Jobs Submitted","[75] Number of Jobs Submitted","[150] Number of Jobs Submitted","[62] Number of Jobs Submitted","[61] Number of Jobs Submitted","[53] Number of Jobs Submitted","[45] Number of Jobs Submitted","[52] Number of Jobs Submitted","[72] Number of Jobs Submitted","[102] Number of Jobs Submitted","[29] Number of Jobs Submitted","[127] Number of Jobs Submitted","[31] Number of Jobs Submitted","[192] Number of Jobs Submitted","[43] Number of Jobs Submitted","[108] Number of Jobs Submitted","[26] Number of Jobs Submitted","[54] Number of Jobs Submitted","[140] Number of Jobs Submitted","[41] Number of Jobs Submitted","[125] Number of Jobs Submitted","[144] Number of Jobs Submitted","[35] Number of Jobs Submitted","[42] Number of Jobs Submitted","[55] Number of Jobs Submitted","[864] Number of Jobs Submitted","[76] Number of Jobs Submitted","[147] Number of Jobs Submitted","[129] Number of Jobs Submitted","[126] Number of Jobs Submitted","[234] Number of Jobs Submitted","[252] Number of Jobs Submitted","[46] Number of Jobs Submitted","[151] Number of Jobs Submitted","[118] Number of Jobs Submitted","[113] Number of Jobs Submitted","[49] Number of Jobs Submitted","[56] Number of Jobs Submitted","[37] Number of Jobs Submitted","[44] Number of Jobs Submitted","[135] Number of Jobs Submitted","[680] Number of Jobs Submitted","[179] Number of Jobs Submitted","[39] Number of Jobs Submitted","[47] Number of Jobs Submitted","[116] Number of Jobs Submitted","[224] Number of Jobs Submitted","[600] Number of Jobs Submitted","[79] Number of Jobs Submitted","[200] Number of Jobs Submitted","[640] Number of Jobs Submitted","[81] Number of Jobs Submitted","[94] Number of Jobs Submitted","[660] Number of Jobs Submitted","[85] Number of Jobs Submitted","[71] Number of Jobs Submitted","[320] Number of Jobs Submitted","[188] Number of Jobs Submitted","[780] Number of Jobs Submitted","[790] Number of Jobs Submitted","[2048] Number of Jobs Submitted","[78] Number of Jobs Submitted","[153] Number of Jobs Submitted","[288] Number of Jobs Submitted","[51] Number of Jobs Submitted","[112] Number of Jobs Submitted","[500] Number of Jobs Submitted","[138] Number of Jobs Submitted","[1000] Number of Jobs Submitted","[4096] Number of Jobs Submitted","[101] Number of Jobs Submitted","[133] Number of Jobs Submitted","[176] Number of Jobs Submitted","[255] Number of Jobs Submitted","[650] Number of Jobs Submitted","[407] Number of Jobs Submitted","[84] Number of Jobs Submitted","[114] Number of Jobs Submitted","[154] Number of Jobs Submitted","[760] Number of Jobs Submitted","[810] Number of Jobs Submitted","[59] Number of Jobs Submitted","[123] Number of Jobs Submitted","[132] Number of Jobs Submitted","[172] Number of Jobs Submitted","[203] Number of Jobs Submitted","[207] Number of Jobs Submitted","[208] Number of Jobs Submitted","[480] Number of Jobs Submitted","[529] Number of Jobs Submitted","[1728] Number of Jobs Submitted","[69] Number of Jobs Submitted","[86] Number of Jobs Submitted","[92] Number of Jobs Submitted","[95] Number of Jobs Submitted","[117] Number of Jobs Submitted","[119] Number of Jobs Submitted","[122] Number of Jobs Submitted","[124] Number of Jobs Submitted","[210] Number of Jobs Submitted","[384] Number of Jobs Submitted","[745] Number of Jobs Submitted","[785] Number of Jobs Submitted","[800] Number of Jobs Submitted","[89] Number of Jobs Submitted","[105] Number of Jobs Submitted","[107] Number of Jobs Submitted","[137] Number of Jobs Submitted","[152] Number of Jobs Submitted","[155] Number of Jobs Submitted","[162] Number of Jobs Submitted","[180] Number of Jobs Submitted","[187] Number of Jobs Submitted","[197] Number of Jobs Submitted","[204] Number of Jobs Submitted","[205] Number of Jobs Submitted","[220] Number of Jobs Submitted","[235] Number of Jobs Submitted","[313] Number of Jobs Submitted","[324] Number of Jobs Submitted","[486] Number of Jobs Submitted","[700] Number of Jobs Submitted","[66] Number of Jobs Submitted","[67] Number of Jobs Submitted","[106] Number of Jobs Submitted","[109] Number of Jobs Submitted","[183] Number of Jobs Submitted","[211] Number of Jobs Submitted","[251] Number of Jobs Submitted","[375] Number of Jobs Submitted","[473] Number of Jobs Submitted","[576] Number of Jobs Submitted","[670] Number of Jobs Submitted","[690] Number of Jobs Submitted","[720] Number of Jobs Submitted","[725] Number of Jobs Submitted","[729] Number of Jobs Submitted","[740] Number of Jobs Submitted","[945] Number of Jobs Submitted","[83] Number of Jobs Submitted","[88] Number of Jobs Submitted","[99] Number of Jobs Submitted","[103] Number of Jobs Submitted","[143] Number of Jobs Submitted","[169] Number of Jobs Submitted","[171] Number of Jobs Submitted","[175] Number of Jobs Submitted","[184] Number of Jobs Submitted","[189] Number of Jobs Submitted","[236] Number of Jobs Submitted","[244] Number of Jobs Submitted","[248] Number of Jobs Submitted","[300] Number of Jobs Submitted","[358] Number of Jobs Submitted","[620] Number of Jobs Submitted","[710] Number of Jobs Submitted","[730] Number of Jobs Submitted","[750] Number of Jobs Submitted","[768] Number of Jobs Submitted","[769] Number of Jobs Submitted","[960] Number of Jobs Submitted","[58] Number of Jobs Submitted","[104] Number of Jobs Submitted"
2014-08-01,2321,406,1101,196,174,330,174,0,14,74,29,20,102,9,15,5,4,4,0,1,61,19,4,9,8,0,1,38,1,2,1,4,2,1,2,0,0,0,0,0,29,2,5,0,1,3,2,0,0,5,0,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,3717,465,2061,158,95,307,57,0,6,34,20,23,73,11,14,45,7,3,2,6,67,8,2,7,11,4,1,26,0,4,1,9,0,1,3,0,0,0,2,0,22,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,2713,436,309,172,92,278,101,0,1,38,23,22,2,757,2,56,0,12,0,0,199,4,0,0,12,13,3,22,1,1,1,33,0,10,1,0,0,0,0,0,19,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,3236,824,883,226,109,160,24,0,1,43,12,19,69,44,2,57,2,0,1,0,32,2,1,2,16,0,4,18,1,5,0,13,0,11,3,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,260,169,1505,74,51,18,5,0,2,11,12,37,38,16,2,10,8,6,0,0,76,3,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,1328,591,186,314,234,178,57,0,4,89,122,38,61,31,12,98,41,10,21,0,18,28,0,3,5,5,5,1,1,10,0,4,2,9,2,0,0,0,4,0,0,2,0,0,0,2,4,0,1,0,0,2,0,0,0,4,0,1,0,0,2,2,0,0,0,1,0,6,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,1683,366,15,194,220,228,37,0,3,96,30,31,34,19,31,70,8,21,16,1,57,27,7,0,3,5,4,5,0,6,3,3,1,7,0,4,6,0,1,0,0,7,0,2,0,0,7,0,1,0,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,1646,501,92,214,186,139,109,1722,10,29,72,19,32,22,35,9,1,11,8,2,6,10,5,9,5,4,4,4,1,2,0,2,3,5,1,8,5,0,0,0,0,1,0,2,0,2,5,0,1,0,0,2,0,0,0,0,0,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,1616,589,2535,82,116,133,52,2985,10,20,49,8,87,22,6,20,0,7,4,2,99,6,0,0,54,2,6,2,1,3,0,3,1,3,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,3963,174,2504,84,130,100,75,0,11,15,29,13,73,17,17,25,0,8,0,0,1,5,0,0,59,1,3,0,2,5,0,1,0,2,0,0,0,0,1,0,0,8,0,2,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
