title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-02-01,2012-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[16] Number of Jobs Submitted","[10] Number of Jobs Submitted","[32] Number of Jobs Submitted","[5] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[14] Number of Jobs Submitted","[7] Number of Jobs Submitted","[13] Number of Jobs Submitted","[24] Number of Jobs Submitted","[18] Number of Jobs Submitted","[15] Number of Jobs Submitted","[20] Number of Jobs Submitted","[30] Number of Jobs Submitted","[48] Number of Jobs Submitted","[11] Number of Jobs Submitted","[19] Number of Jobs Submitted","[64] Number of Jobs Submitted","[17] Number of Jobs Submitted"
2012-02-01,496,107,8,81,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-02,953,174,25,206,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012-02-03,373,81,5,15,3,2,1,6,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-02-04,320,10,2,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-05,151,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-06,16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-07,1232,18,24,4,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-08,394,57,32,10,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-09,696,47,17,5,3,10,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-10,736,116,28,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-11,381,121,3,14,5,6,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-12,414,65,8,3,16,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-13,758,98,24,15,5,7,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-14,783,114,30,12,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-15,858,92,252,22,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-16,722,44,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-17,921,72,5,9,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-18,2116,40,2,1,5,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-19,1271,37,4,13,11,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-20,2681,47,4,10,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-21,609,53,20,7,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-22,1669,99,23,14,4,2,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-23,1828,97,86,10,4,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-24,948,93,182,19,2,5,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-02-25,1499,52,5,21,2,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-26,1396,86,96,23,13,4,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-27,2455,81,50,4,12,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-28,1701,80,95,13,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-29,1082,122,38,11,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,588,86,30,28,26,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-02,709,54,7,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-03,757,31,14,6,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-04,1233,56,12,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-05,994,93,32,14,34,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-06,861,70,52,19,4,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-07,3041,66,20,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-08,2524,65,25,28,5,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-09,1337,94,48,44,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,841,49,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,644,11,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,547,87,27,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,1391,62,7,17,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,1202,40,4,3,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-03-15,1202,79,32,38,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-16,1097,143,11,35,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-17,1201,53,14,15,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18,300,42,9,65,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-19,332,160,24,40,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
2012-03-20,405,167,17,79,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-21,396,82,8,47,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-22,1480,130,18,51,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-03-23,1432,68,10,24,22,6,0,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-03-24,522,26,4,4,47,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-25,326,38,16,15,43,4,1,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-03-26,572,82,18,32,50,4,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
2012-03-27,699,86,11,9,24,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-03-28,343,75,35,16,41,2,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2012-03-29,186,91,30,14,43,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-30,789,77,13,2,39,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,779,65,26,5,81,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,390,60,33,3,68,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-04-02,506,96,30,9,25,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-03,1079,132,23,9,32,7,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-04,871,106,26,63,33,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-05,693,107,26,14,18,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-06,549,98,18,15,71,12,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-04-07,156,43,5,5,46,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-08,701,83,19,5,54,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-09,774,133,47,9,41,3,1,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-10,1195,60,18,8,40,10,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-11,1654,169,8,17,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-12,1085,97,4,12,39,2,1,1,1,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0
2012-04-13,308,71,62,2,31,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
2012-04-14,159,47,8,3,25,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2012-04-15,155,54,5,6,45,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-04-16,478,147,8,11,32,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-17,364,91,31,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-18,429,123,33,5,19,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-19,548,149,1,7,13,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-20,469,78,6,12,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-21,337,14,7,4,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-22,365,72,29,16,54,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-23,767,112,23,4,19,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-24,467,62,48,18,2,2,0,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2012-04-25,655,87,12,15,3,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-26,532,116,21,13,4,1,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-27,729,117,38,14,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-28,824,30,42,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-29,1177,61,30,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-30,676,581,42,15,5,6,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-05-01,1260,174,58,23,2,11,0,3,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
2012-05-02,1444,133,69,13,9,17,0,29,2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2012-05-03,945,100,119,25,5,5,0,11,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2012-05-04,665,14,9,14,0,1,0,2,1,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0
2012-05-05,1854,15,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-06,1322,17,4,5,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-07,214,94,34,21,1,8,47,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2012-05-08,825,61,43,16,3,14,5,3,0,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0
