title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[4] Number of Jobs Submitted","[5] Number of Jobs Submitted","[10] Number of Jobs Submitted","[32] Number of Jobs Submitted","[6] Number of Jobs Submitted","[16] Number of Jobs Submitted","[20] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[24] Number of Jobs Submitted","[7] Number of Jobs Submitted","[22] Number of Jobs Submitted","[28] Number of Jobs Submitted","[14] Number of Jobs Submitted","[11] Number of Jobs Submitted","[13] Number of Jobs Submitted","[31] Number of Jobs Submitted","[15] Number of Jobs Submitted","[25] Number of Jobs Submitted","[18] Number of Jobs Submitted"
2015-02-01,1619,100,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1378,194,8,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,253,156,3,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-04,540,193,2,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2015-02-05,662,176,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,369,189,11,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,226,68,8,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,161,113,21,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2015-02-09,858,226,16,9,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2015-02-10,433,192,12,4,4,1,0,2,1,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0
2015-02-11,547,197,5,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,437,155,5,4,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-13,368,156,13,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,172,49,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,1350,112,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,1365,182,1,3,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,437,157,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,2087,194,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-19,1646,269,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-20,574,115,0,2,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,246,78,2,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2015-02-22,2939,108,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,2312,236,1,3,8,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,1180,245,2,4,9,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2015-02-25,2062,203,1,4,2,1,0,11,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,2343,233,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,557,156,3,3,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-02-28,496,132,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,388,130,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,1247,179,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2015-03-03,1251,258,188,7,10,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,381,189,8,6,5,0,10,3,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2015-03-05,166,172,11,3,3,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-03-06,628,177,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,138,81,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,24,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,299,203,11,1,5,8,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,464,181,14,5,5,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,457,178,6,2,3,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,330,161,6,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2015-03-13,274,155,7,1,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-14,341,75,0,3,2,0,0,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
2015-03-15,651,125,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,510,173,10,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,415,160,15,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-18,458,199,6,6,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
2015-03-19,339,149,4,21,3,0,1,0,4,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0
2015-03-20,509,161,6,18,3,8,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,381,84,3,22,20,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,244,65,0,10,15,3,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,295,246,4,12,17,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,280,143,2,13,4,3,4,0,7,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
2015-03-25,472,255,18,16,6,5,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,248,199,3,16,9,2,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,418,162,4,18,4,2,5,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,951,82,13,21,12,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,80,119,23,28,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,334,231,5,23,5,6,5,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,277,238,4,7,2,1,3,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,507,192,1,1,16,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,167,185,2,16,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,4140,156,8,6,7,9,6,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,6353,102,7,12,8,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,315,85,4,9,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,219,206,2,16,9,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,240,202,7,26,9,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,313,159,1,55,2,0,3,16,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-04-09,273,159,3,11,3,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2015-04-10,467,237,14,35,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,241,88,1,8,5,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,304,93,3,3,11,0,0,8,0,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2015-04-13,1469,196,3,14,5,0,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-04-14,574,178,22,23,15,0,1,3,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-15,539,205,7,8,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,391,178,8,20,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,330,162,14,3,14,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,228,92,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,138,90,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,160,266,11,3,2,0,0,2,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-04-21,199,231,17,0,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,232,195,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
