title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[10] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[12] Number of Jobs Submitted","[6] Number of Jobs Submitted","[16] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[32] Number of Jobs Submitted","[13] Number of Jobs Submitted","[72] Number of Jobs Submitted","[30] Number of Jobs Submitted","[40] Number of Jobs Submitted","[24] Number of Jobs Submitted","[64] Number of Jobs Submitted","[7] Number of Jobs Submitted","[25] Number of Jobs Submitted","[9] Number of Jobs Submitted","[60] Number of Jobs Submitted","[70] Number of Jobs Submitted","[43] Number of Jobs Submitted","[50] Number of Jobs Submitted","[45] Number of Jobs Submitted","[22] Number of Jobs Submitted","[28] Number of Jobs Submitted","[33] Number of Jobs Submitted","[48] Number of Jobs Submitted","[15] Number of Jobs Submitted","[62] Number of Jobs Submitted","[36] Number of Jobs Submitted","[14] Number of Jobs Submitted","[58] Number of Jobs Submitted","[11] Number of Jobs Submitted","[34] Number of Jobs Submitted","[53] Number of Jobs Submitted","[21] Number of Jobs Submitted","[29] Number of Jobs Submitted","[23] Number of Jobs Submitted","[41] Number of Jobs Submitted","[57] Number of Jobs Submitted","[61] Number of Jobs Submitted","[65] Number of Jobs Submitted","[49] Number of Jobs Submitted","[69] Number of Jobs Submitted","[37] Number of Jobs Submitted","[31] Number of Jobs Submitted","[17] Number of Jobs Submitted","[59] Number of Jobs Submitted","[56] Number of Jobs Submitted","[18] Number of Jobs Submitted","[27] Number of Jobs Submitted","[54] Number of Jobs Submitted","[52] Number of Jobs Submitted","[55] Number of Jobs Submitted","[68] Number of Jobs Submitted","[67] Number of Jobs Submitted","[19] Number of Jobs Submitted","[42] Number of Jobs Submitted","[44] Number of Jobs Submitted","[39] Number of Jobs Submitted","[63] Number of Jobs Submitted","[47] Number of Jobs Submitted","[66] Number of Jobs Submitted","[26] Number of Jobs Submitted","[35] Number of Jobs Submitted","[46] Number of Jobs Submitted","[51] Number of Jobs Submitted","[71] Number of Jobs Submitted","[38] Number of Jobs Submitted"
2015-05-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,59,6,1,1,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,403,265,49,11,2,12,0,1,44,4,6,1,0,1,0,0,1,1,0,0,0,3,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,830,310,124,16,23,19,3,4,52,10,6,11,0,1,4,2,4,0,0,3,1,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16,405,88,18,11,31,49,2,42,13,13,4,2,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,292,186,89,23,12,22,2,9,10,0,11,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,643,321,128,42,47,45,1,23,9,11,31,1,0,10,0,0,1,0,0,3,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,735,302,51,20,5,41,3,5,12,24,13,0,0,1,0,0,2,0,0,0,0,5,0,7,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,829,317,98,15,19,37,2,7,9,0,12,0,0,8,2,0,4,1,0,0,0,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
