title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[10] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[16] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[32] Number of Jobs Submitted","[7] Number of Jobs Submitted","[24] Number of Jobs Submitted","[40] Number of Jobs Submitted","[72] Number of Jobs Submitted","[9] Number of Jobs Submitted","[18] Number of Jobs Submitted","[64] Number of Jobs Submitted","[30] Number of Jobs Submitted","[11] Number of Jobs Submitted","[25] Number of Jobs Submitted","[15] Number of Jobs Submitted","[42] Number of Jobs Submitted","[22] Number of Jobs Submitted","[14] Number of Jobs Submitted","[48] Number of Jobs Submitted","[21] Number of Jobs Submitted","[36] Number of Jobs Submitted","[50] Number of Jobs Submitted","[17] Number of Jobs Submitted","[13] Number of Jobs Submitted","[60] Number of Jobs Submitted","[70] Number of Jobs Submitted","[26] Number of Jobs Submitted","[19] Number of Jobs Submitted","[54] Number of Jobs Submitted","[71] Number of Jobs Submitted","[43] Number of Jobs Submitted","[33] Number of Jobs Submitted","[56] Number of Jobs Submitted","[28] Number of Jobs Submitted","[29] Number of Jobs Submitted","[51] Number of Jobs Submitted","[35] Number of Jobs Submitted","[65] Number of Jobs Submitted","[41] Number of Jobs Submitted","[58] Number of Jobs Submitted","[27] Number of Jobs Submitted","[52] Number of Jobs Submitted","[44] Number of Jobs Submitted","[67] Number of Jobs Submitted","[45] Number of Jobs Submitted","[34] Number of Jobs Submitted","[49] Number of Jobs Submitted","[55] Number of Jobs Submitted","[68] Number of Jobs Submitted","[23] Number of Jobs Submitted","[31] Number of Jobs Submitted","[38] Number of Jobs Submitted","[46] Number of Jobs Submitted","[37] Number of Jobs Submitted","[39] Number of Jobs Submitted","[57] Number of Jobs Submitted","[63] Number of Jobs Submitted","[66] Number of Jobs Submitted"
2015-08-01,1044,75,27,13,2,18,29,7,6,0,2,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,405,119,41,13,9,17,3,2,3,2,2,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,464,245,98,89,65,51,12,10,6,3,8,3,1,2,4,7,3,0,4,3,0,0,0,0,0,0,4,0,2,0,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,6,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-08-04,434,231,65,35,46,87,1,17,3,12,12,1,2,0,1,6,4,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,695,266,40,43,28,80,10,15,43,3,2,1,0,0,5,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,360,242,48,28,12,41,27,11,22,0,8,0,0,0,6,2,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,640,171,38,26,77,48,10,3,20,0,1,1,0,0,9,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,311,89,45,17,25,3,12,12,10,1,5,2,0,0,6,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,1029,118,55,15,32,14,10,9,7,1,5,9,0,1,3,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,1622,348,99,33,45,12,12,11,9,3,5,1,0,0,9,5,3,14,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,585,258,52,16,37,7,8,11,19,9,16,1,0,1,25,1,2,0,0,2,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,346,187,24,16,28,10,10,4,27,3,7,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,837,183,91,17,51,8,39,17,21,9,9,10,0,3,0,2,0,19,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,571,76,44,28,46,42,15,8,8,2,5,3,1,1,0,1,0,2,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,688,66,30,20,37,6,17,2,15,4,5,3,18,2,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,402,152,62,25,38,22,47,2,11,11,0,4,6,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,425,435,126,45,95,20,59,7,20,27,0,1,0,3,13,11,0,0,0,1,1,1,0,0,0,0,0,1,0,5,4,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,2465,158,106,31,53,24,34,10,12,13,0,12,11,0,0,6,0,1,6,1,0,1,0,0,0,0,0,7,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,844,411,143,37,48,19,99,18,12,13,8,3,1,0,4,6,1,2,0,1,1,0,8,0,0,0,8,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
