title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[10] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[16] Number of Jobs Submitted","[12] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[32] Number of Jobs Submitted","[24] Number of Jobs Submitted","[9] Number of Jobs Submitted","[60] Number of Jobs Submitted","[25] Number of Jobs Submitted","[64] Number of Jobs Submitted","[15] Number of Jobs Submitted","[18] Number of Jobs Submitted","[22] Number of Jobs Submitted","[72] Number of Jobs Submitted","[7] Number of Jobs Submitted","[30] Number of Jobs Submitted","[11] Number of Jobs Submitted","[36] Number of Jobs Submitted","[40] Number of Jobs Submitted","[50] Number of Jobs Submitted","[43] Number of Jobs Submitted","[14] Number of Jobs Submitted","[48] Number of Jobs Submitted","[13] Number of Jobs Submitted","[17] Number of Jobs Submitted","[42] Number of Jobs Submitted","[70] Number of Jobs Submitted","[62] Number of Jobs Submitted","[21] Number of Jobs Submitted","[34] Number of Jobs Submitted","[45] Number of Jobs Submitted","[54] Number of Jobs Submitted","[26] Number of Jobs Submitted","[35] Number of Jobs Submitted","[28] Number of Jobs Submitted","[46] Number of Jobs Submitted","[33] Number of Jobs Submitted","[38] Number of Jobs Submitted","[27] Number of Jobs Submitted","[56] Number of Jobs Submitted","[19] Number of Jobs Submitted","[65] Number of Jobs Submitted","[23] Number of Jobs Submitted","[41] Number of Jobs Submitted","[63] Number of Jobs Submitted","[31] Number of Jobs Submitted","[44] Number of Jobs Submitted","[49] Number of Jobs Submitted","[55] Number of Jobs Submitted","[37] Number of Jobs Submitted","[53] Number of Jobs Submitted","[52] Number of Jobs Submitted","[61] Number of Jobs Submitted","[29] Number of Jobs Submitted","[39] Number of Jobs Submitted","[47] Number of Jobs Submitted","[68] Number of Jobs Submitted","[66] Number of Jobs Submitted","[57] Number of Jobs Submitted","[58] Number of Jobs Submitted","[59] Number of Jobs Submitted","[67] Number of Jobs Submitted"
2016-02-01,568,365,6,106,83,18,21,26,28,2,5,0,4,2,0,8,0,0,1,0,10,0,0,2,0,7,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,523,254,19,38,39,17,4,15,25,4,3,1,4,3,0,20,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,423,991,59,70,22,18,16,8,0,6,4,0,4,22,0,3,0,6,2,4,6,14,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,5771,393,66,63,32,8,3,15,70,30,5,0,3,35,0,0,2,2,0,0,2,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,895,1272,59,36,23,8,10,10,14,9,5,1,1,8,0,0,0,9,2,7,12,6,0,1,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,270,109,23,29,25,16,21,3,12,5,3,0,0,10,0,0,0,3,0,11,6,16,0,0,0,0,1,17,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,154,86,12,54,4,6,20,3,4,0,24,0,1,1,0,0,0,4,0,0,7,3,0,1,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,40,126,11,8,13,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,24,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,685,302,19,52,48,29,7,3,10,29,6,3,3,2,0,26,0,6,4,8,13,2,4,11,2,13,3,10,2,1,3,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,508,323,10,10,5,6,2,3,95,14,3,0,5,2,0,0,0,3,6,2,1,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,571,367,13,23,5,16,0,6,6,5,4,0,1,4,0,1,1,3,4,0,3,0,0,0,0,3,1,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,163,149,4,20,4,8,4,2,6,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,1,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,263,155,5,9,0,20,1,1,4,1,0,1,0,0,1,0,1,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,938,359,14,51,18,19,4,4,13,4,5,1,31,0,1,0,1,4,9,3,17,0,0,0,0,3,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,791,346,15,46,24,11,4,3,6,2,2,2,34,1,0,8,0,3,0,1,14,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,520,335,29,31,5,16,3,4,3,22,3,1,0,0,0,5,1,2,1,1,10,0,1,0,0,1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,751,399,19,48,17,10,2,5,73,20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,772,270,7,111,13,17,2,5,26,2,22,0,0,0,0,2,0,2,7,2,1,2,0,0,0,0,0,1,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,456,179,10,56,16,34,0,3,11,1,4,1,1,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,732,154,23,844,4,5,3,46,4,11,4,0,4,0,0,0,1,0,0,3,2,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
