title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  shared"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Submitted"
2016-02-01,528
2016-02-02,1894
2016-02-03,995
2016-02-04,2237
2016-02-05,171
2016-02-06,77
2016-02-07,119
2016-02-08,12
2016-02-09,0
2016-02-10,905
2016-02-11,444
2016-02-12,590
2016-02-13,465
2016-02-14,694
2016-02-15,822
2016-02-16,730
2016-02-17,871
2016-02-18,1230
2016-02-19,570
2016-02-20,353
2016-02-21,435
2016-02-22,553
2016-02-23,1000
2016-02-24,494
2016-02-25,671
2016-02-26,596
2016-02-27,151
2016-02-28,539
2016-02-29,969
2016-03-01,486
2016-03-02,617
2016-03-03,1259
2016-03-04,1073
2016-03-05,587
2016-03-06,212
2016-03-07,516
2016-03-08,953
2016-03-09,3912
2016-03-10,1346
2016-03-11,1435
2016-03-12,434
2016-03-13,230
2016-03-14,4086
2016-03-15,6342
2016-03-16,14088
2016-03-17,9434
2016-03-18,1087
2016-03-19,324
2016-03-20,373
2016-03-21,8588
2016-03-22,5644
2016-03-23,3107
2016-03-24,1883
2016-03-25,11722
2016-03-26,20991
2016-03-27,6991
2016-03-28,9349
2016-03-29,12604
2016-03-30,21628
2016-03-31,8611
2016-04-01,14431
2016-04-02,20835
2016-04-03,7549
2016-04-04,5357
2016-04-05,4808
2016-04-06,6719
2016-04-07,19452
2016-04-08,25260
2016-04-09,13376
2016-04-10,11322
2016-04-11,17525
2016-04-12,10675
2016-04-13,5283
2016-04-14,8074
2016-04-15,4395
2016-04-16,4431
2016-04-17,21882
2016-04-18,12022
2016-04-19,7254
2016-04-20,6942
2016-04-21,14338
2016-04-22,19150
2016-04-23,8115
2016-04-24,8892
2016-04-25,10713
2016-04-26,11171
2016-04-27,12350
2016-04-28,13359
2016-04-29,15107
2016-04-30,9032
2016-05-01,9401
2016-05-02,6398
2016-05-03,3758
2016-05-04,6101
2016-05-05,9016
2016-05-06,4017
2016-05-07,3712
2016-05-08,7401
2016-05-09,7130
2016-05-10,5815
2016-05-11,7532
2016-05-12,16942
2016-05-13,17311
2016-05-14,2687
2016-05-15,2904
2016-05-16,3106
2016-05-17,2840
2016-05-18,4101
2016-05-19,7225
2016-05-20,2825
2016-05-21,1355
2016-05-22,3424
2016-05-23,3104
2016-05-24,3146
2016-05-25,3551
2016-05-26,4880
2016-05-27,4189
2016-05-28,3067
2016-05-29,3582
2016-05-30,1829
2016-05-31,1947
2016-06-01,1442
2016-06-02,7691
2016-06-03,4909
2016-06-04,4268
2016-06-05,5062
2016-06-06,3534
2016-06-07,2393
2016-06-08,2080
2016-06-09,2283
2016-06-10,1239
2016-06-11,363
2016-06-12,2986
2016-06-13,8272
2016-06-14,3448
2016-06-15,3635
2016-06-16,5057
2016-06-17,6742
2016-06-18,7397
2016-06-19,373
2016-06-20,1629
2016-06-21,4598
2016-06-22,5064
2016-06-23,2713
2016-06-24,2971
2016-06-25,3020
2016-06-26,712
2016-06-27,1188
2016-06-28,1381
2016-06-29,1118
2016-06-30,1921
2016-07-01,12253
2016-07-02,17125
2016-07-03,11695
2016-07-04,7215
2016-07-05,19139
2016-07-06,3664
2016-07-07,5572
2016-07-08,3216
2016-07-09,8430
2016-07-10,10988
2016-07-11,4325
2016-07-12,5930
2016-07-13,8841
2016-07-14,9898
2016-07-15,10687
2016-07-16,7422
2016-07-17,7821
2016-07-18,5540
2016-07-19,228
2016-07-20,4134
2016-07-21,6995
2016-07-22,3869
2016-07-23,7894
2016-07-24,5590
2016-07-25,6119
2016-07-26,7820
2016-07-27,3083
2016-07-28,11148
2016-07-29,9105
2016-07-30,8293
2016-07-31,3188
---------
