title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-GORDON","Queue =  normal"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[16] Number of Jobs Submitted","[32] Number of Jobs Submitted","[64] Number of Jobs Submitted","[6] Number of Jobs Submitted","[25] Number of Jobs Submitted","[7] Number of Jobs Submitted","[10] Number of Jobs Submitted","[18] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[33] Number of Jobs Submitted","[5] Number of Jobs Submitted","[48] Number of Jobs Submitted","[128] Number of Jobs Submitted","[24] Number of Jobs Submitted","[20] Number of Jobs Submitted","[35] Number of Jobs Submitted","[40] Number of Jobs Submitted","[60] Number of Jobs Submitted","[96] Number of Jobs Submitted","[15] Number of Jobs Submitted","[41] Number of Jobs Submitted","[38] Number of Jobs Submitted","[19] Number of Jobs Submitted","[11] Number of Jobs Submitted","[21] Number of Jobs Submitted","[14] Number of Jobs Submitted","[17] Number of Jobs Submitted","[36] Number of Jobs Submitted","[65] Number of Jobs Submitted","[13] Number of Jobs Submitted","[23] Number of Jobs Submitted","[30] Number of Jobs Submitted","[31] Number of Jobs Submitted","[43] Number of Jobs Submitted","[126] Number of Jobs Submitted","[45] Number of Jobs Submitted","[34] Number of Jobs Submitted","[63] Number of Jobs Submitted","[37] Number of Jobs Submitted","[57] Number of Jobs Submitted","[61] Number of Jobs Submitted","[26] Number of Jobs Submitted","[29] Number of Jobs Submitted","[42] Number of Jobs Submitted","[46] Number of Jobs Submitted","[49] Number of Jobs Submitted","[50] Number of Jobs Submitted","[81] Number of Jobs Submitted","[117] Number of Jobs Submitted","[256] Number of Jobs Submitted"
2013-08-01,1480,164,32,4,0,0,0,11,4,0,0,2,0,0,17,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,1259,63,23,3,0,2,0,6,0,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,956,157,10,8,0,0,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,406,32,7,1,0,6,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,844,102,37,1,0,0,2,7,0,0,0,1,0,0,0,0,0,0,2,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,876,18,38,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,4,0,2,2,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,1173,14,20,2,0,0,6,2,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,678,13,8,1,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,1106,69,5,0,2,1,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,830,39,11,0,0,0,6,0,0,0,0,0,7,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
