title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-GORDON","Queue =  normal"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[16] Number of Jobs Submitted","[6] Number of Jobs Submitted","[10] Number of Jobs Submitted","[32] Number of Jobs Submitted","[5] Number of Jobs Submitted","[64] Number of Jobs Submitted","[9] Number of Jobs Submitted","[12] Number of Jobs Submitted","[17] Number of Jobs Submitted","[20] Number of Jobs Submitted","[15] Number of Jobs Submitted","[21] Number of Jobs Submitted","[128] Number of Jobs Submitted","[18] Number of Jobs Submitted","[24] Number of Jobs Submitted","[40] Number of Jobs Submitted","[48] Number of Jobs Submitted","[60] Number of Jobs Submitted","[96] Number of Jobs Submitted","[28] Number of Jobs Submitted","[33] Number of Jobs Submitted","[56] Number of Jobs Submitted","[19] Number of Jobs Submitted","[100] Number of Jobs Submitted","[59] Number of Jobs Submitted","[7] Number of Jobs Submitted","[26] Number of Jobs Submitted","[30] Number of Jobs Submitted","[43] Number of Jobs Submitted","[22] Number of Jobs Submitted","[11] Number of Jobs Submitted","[50] Number of Jobs Submitted","[52] Number of Jobs Submitted","[36] Number of Jobs Submitted","[38] Number of Jobs Submitted","[25] Number of Jobs Submitted","[29] Number of Jobs Submitted","[34] Number of Jobs Submitted","[45] Number of Jobs Submitted","[47] Number of Jobs Submitted","[57] Number of Jobs Submitted","[13] Number of Jobs Submitted","[27] Number of Jobs Submitted","[126] Number of Jobs Submitted","[14] Number of Jobs Submitted","[23] Number of Jobs Submitted","[35] Number of Jobs Submitted","[55] Number of Jobs Submitted","[63] Number of Jobs Submitted","[114] Number of Jobs Submitted","[120] Number of Jobs Submitted","[62] Number of Jobs Submitted","[65] Number of Jobs Submitted","[99] Number of Jobs Submitted"
2015-08-01,154,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,87,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,276,20,3,0,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,210,10,10,7,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,267,10,10,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,183,2,4,8,10,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,148,2,5,0,13,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,31,11,9,8,30,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,70,28,14,11,43,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,299,33,17,11,75,3,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,629,36,56,9,44,3,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
