title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[16] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[15] Number of Jobs Submitted","[6] Number of Jobs Submitted","[10] Number of Jobs Submitted","[12] Number of Jobs Submitted","[3] Number of Jobs Submitted","[5] Number of Jobs Submitted","[14] Number of Jobs Submitted","[9] Number of Jobs Submitted","[7] Number of Jobs Submitted"
2013-01-07,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,19,17,0,2,5,0,0,0,4,0,0,0,0,0
2013-01-09,55,51,13,1,1,4,0,0,5,0,1,0,0,0
2013-01-10,47,16,10,3,0,0,0,0,0,0,0,0,0,0
2013-01-11,113,11,2,3,7,0,0,0,0,0,0,0,0,0
2013-01-12,53,0,2,6,18,0,0,0,0,0,0,0,0,0
2013-01-13,836,11,3,4,2,0,0,0,0,0,0,0,6,0
2013-01-14,3113,33,2,13,1,0,0,0,0,0,0,0,0,0
2013-01-15,1356,1,20,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,2894,53,18,4,1,0,7,10,0,0,0,0,2,0
2013-01-17,2898,41,7,24,1,0,0,2,2,0,1,0,0,0
2013-01-18,2458,65,24,20,5,0,0,0,3,10,0,0,0,0
2013-01-19,1472,23,43,10,0,0,0,0,0,0,1,0,0,0
2013-01-20,1826,12,40,3,0,0,0,0,2,0,1,0,1,0
2013-01-21,1464,6,61,1,1,0,0,1,0,10,0,0,0,0
2013-01-23,959,4,2,3,2,0,0,0,0,0,0,0,0,0
2013-01-24,3425,51,22,22,19,0,0,4,0,3,2,0,0,0
2013-01-25,2429,51,20,29,15,0,10,7,4,5,7,4,0,0
2013-01-26,98,3,4,1,12,0,0,0,2,0,0,0,0,0
2013-01-27,114,5,3,2,2,0,14,0,0,0,1,0,0,0
2013-01-28,169,9,21,4,10,4,0,13,3,1,0,2,0,1
2013-01-29,42,14,2,3,1,24,0,1,3,0,4,8,0,0
2013-01-30,251,87,33,39,3,4,19,0,7,0,7,3,0,0
2013-01-31,192,35,22,172,16,17,0,0,1,0,0,1,0,0
---------
