title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[16] Number of Jobs Submitted","[5] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[9] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[10] Number of Jobs Submitted","[15] Number of Jobs Submitted","[14] Number of Jobs Submitted","[7] Number of Jobs Submitted","[13] Number of Jobs Submitted","[11] Number of Jobs Submitted","[32] Number of Jobs Submitted","[26] Number of Jobs Submitted","[29] Number of Jobs Submitted"
2013-02-01,172,46,13,32,0,24,1,2,11,2,0,11,2,0,0,7,0,0,0
2013-02-02,96,8,1,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2013-02-03,102,10,242,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,343,23,261,6,0,61,88,0,5,0,0,0,3,0,0,3,1,0,0
2013-02-05,299,37,320,24,2,45,33,0,13,22,0,0,3,0,0,0,0,0,0
2013-02-06,211,36,208,31,4,16,203,0,18,2,2,7,3,0,1,0,0,0,0
2013-02-07,101,17,38,37,0,6,9,0,5,14,3,0,1,11,0,0,0,0,0
2013-02-08,103,29,9,39,7,9,4,0,3,4,5,14,1,3,5,0,0,0,0
2013-02-09,64,31,18,11,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0
2013-02-10,112,84,568,33,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,286,47,18,86,3,48,94,0,16,0,0,0,4,0,0,0,0,0,0
2013-02-12,30,7,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-02-13,206,48,23,106,3,9,2,3,42,0,0,9,2,3,0,0,0,0,0
2013-02-14,258,113,138,39,1,7,22,0,0,0,7,30,0,0,1,0,0,0,0
2013-02-15,185,66,11,31,0,28,0,0,0,3,2,1,1,0,0,0,0,0,0
2013-02-16,74,16,3,38,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0
2013-02-17,109,13,0,23,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
2013-02-18,363,43,67,54,2,14,0,0,3,11,2,3,0,0,0,0,0,0,0
2013-02-19,312,35,47,28,3,1,11,19,5,1,15,11,0,0,0,0,0,0,0
2013-02-20,318,93,80,47,0,16,26,0,2,0,39,0,0,0,2,0,0,0,0
2013-02-21,239,66,39,23,1,23,3,0,2,0,0,0,0,1,0,0,0,0,0
2013-02-22,104,27,12,21,5,4,4,0,5,0,9,0,1,0,0,0,0,0,0
2013-02-23,41,13,3,15,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
2013-02-24,73,109,40,18,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-02-25,254,163,53,79,2,22,2,1,6,3,20,0,15,6,0,0,0,0,0
2013-02-26,48,24,32,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-27,158,109,32,50,0,20,4,0,1,0,0,0,0,1,2,0,0,0,0
2013-02-28,103,103,14,71,1,50,3,1,3,1,2,0,1,1,0,0,0,0,0
2013-03-01,113,37,27,27,7,20,5,0,6,0,3,0,0,12,1,1,0,0,0
2013-03-02,39,33,6,14,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
2013-03-03,132,110,46,36,1,54,2,0,7,3,3,2,3,0,0,0,0,0,0
2013-03-04,379,135,59,28,3,100,43,6,6,9,2,0,0,19,9,3,0,0,0
2013-03-05,308,77,20,15,10,38,3,0,1,5,0,0,0,0,3,0,0,0,0
2013-03-06,185,73,30,28,1,380,25,0,5,0,0,0,2,16,0,0,0,0,0
2013-03-07,257,114,36,24,3,417,47,0,16,5,2,0,0,2,0,0,0,0,0
2013-03-08,82,41,38,27,1,283,3,1,5,0,0,0,0,0,0,0,0,0,0
