title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] Number of Jobs Submitted","[4] Number of Jobs Submitted","[2] Number of Jobs Submitted","[16] Number of Jobs Submitted","[8] Number of Jobs Submitted","[6] Number of Jobs Submitted","[3] Number of Jobs Submitted","[5] Number of Jobs Submitted","[11] Number of Jobs Submitted","[10] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[15] Number of Jobs Submitted","[14] Number of Jobs Submitted","[7] Number of Jobs Submitted","[13] Number of Jobs Submitted","[32] Number of Jobs Submitted","[20] Number of Jobs Submitted","[25] Number of Jobs Submitted","[18] Number of Jobs Submitted","[24] Number of Jobs Submitted","[27] Number of Jobs Submitted","[30] Number of Jobs Submitted","[61] Number of Jobs Submitted","[93] Number of Jobs Submitted","[107] Number of Jobs Submitted"
2013-08-01,169,61,57,31,14,4,12,1,3,0,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,229,38,55,41,47,7,19,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,43,21,8,3,10,2,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,108,50,71,8,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,261,41,526,60,33,7,22,0,10,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,42,9,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,273,52,324,40,35,0,4,0,5,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,294,32,658,22,43,2,89,1,12,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,287,64,641,38,32,9,57,2,13,12,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,103,30,10,32,13,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-11,58,5,44,14,2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-12,378,69,110,44,14,12,1,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-13,79,24,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-14,309,20,661,38,15,23,26,5,22,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-15,233,28,486,70,17,5,19,2,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-16,224,47,52,64,8,1,0,0,17,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-17,175,212,17,61,2,2,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-18,645,26,12,3,1,10,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19,1090,29,49,41,4,9,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20,789,59,80,45,23,11,3,0,24,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-21,863,21,41,43,2,1,0,0,24,1,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2013-08-22,363,57,65,87,11,3,8,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-23,238,50,43,110,6,26,2,0,14,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2013-08-24,137,74,25,9,4,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-25,139,4,8,3,5,4,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-26,284,28,20,39,10,6,4,0,7,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2013-08-27,98,25,48,10,2,5,4,1,4,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-28,260,107,45,46,12,8,0,1,6,6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-29,201,5,116,3,4,1,0,4,6,1,44,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-08-30,213,33,42,4,3,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-31,118,0,19,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,221,0,4,3,13,0,0,0,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013-09-02,870,29,51,11,21,2,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-03,452,61,70,1,6,1,1,0,23,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-04,575,13,91,2,7,3,15,0,1,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-05,299,31,44,43,19,0,5,0,0,2,20,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-06,240,39,34,26,18,10,1,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-07,92,5,8,11,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-08,160,8,26,41,1,0,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-09,307,42,68,42,22,23,0,22,7,12,23,15,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-10,65,17,13,8,7,8,0,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-11,209,19,47,46,14,23,3,11,5,4,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-09-12,226,21,93,55,9,10,10,4,14,2,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-09-13,246,30,85,21,8,8,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-14,87,20,10,6,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-15,123,36,75,28,10,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-16,232,58,130,19,33,5,3,1,1,1,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-09-17,270,28,75,11,13,5,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-18,256,63,85,19,28,6,3,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-19,253,83,64,17,23,6,6,1,2,2,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-09-20,161,40,48,15,12,0,4,5,1,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-21,113,7,31,13,3,0,0,1,0,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-22,56,8,4,21,6,2,2,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-23,202,79,69,36,24,20,52,1,4,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-24,216,55,73,13,21,5,13,5,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-25,207,111,47,50,41,0,56,3,0,2,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-26,130,39,22,96,22,0,16,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2013-09-27,94,20,19,48,23,0,16,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-09-28,102,12,11,7,11,0,7,5,0,0,4,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-09-29,153,15,6,3,26,0,8,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-30,186,24,48,117,21,6,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,298,53,80,53,19,26,13,3,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-02,164,62,74,129,31,5,28,0,0,1,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-03,272,33,29,49,20,36,27,10,7,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-04,356,59,57,95,24,11,17,19,21,0,0,17,5,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-10-05,101,35,21,79,8,1,29,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-06,162,32,19,6,30,0,9,2,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-07,306,79,85,109,49,36,1,0,0,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-08,199,227,68,109,82,39,7,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-09,191,435,81,48,59,53,5,5,0,7,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-10,230,208,59,42,56,31,35,6,0,7,4,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0
2013-10-11,242,147,56,30,55,51,24,11,0,5,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-12,239,80,31,23,40,57,6,3,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-13,319,35,13,2,10,54,5,16,35,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-14,317,79,63,34,28,65,5,12,1,2,25,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-10-15,167,83,18,21,51,71,4,5,0,0,8,1,8,1,0,1,2,0,0,0,0,0,0,0,0,0
2013-10-16,254,62,54,22,15,65,9,8,0,6,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2013-10-17,221,111,55,43,37,85,1,9,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-10-18,226,122,62,43,27,53,6,5,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-19,79,9,13,28,8,5,1,8,0,3,7,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0
2013-10-20,87,41,30,21,6,16,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-21,156,66,11,23,13,25,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-22,254,105,20,25,7,13,2,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2013-10-23,245,102,85,47,30,22,7,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-24,65,17,20,27,26,13,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
