title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[8] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[6] Number of Jobs Submitted","[3] Number of Jobs Submitted","[5] Number of Jobs Submitted","[10] Number of Jobs Submitted","[13] Number of Jobs Submitted","[7] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[15] Number of Jobs Submitted","[14] Number of Jobs Submitted","[11] Number of Jobs Submitted","[32] Number of Jobs Submitted","[30] Number of Jobs Submitted","[64] Number of Jobs Submitted","[19] Number of Jobs Submitted","[21] Number of Jobs Submitted","[22] Number of Jobs Submitted","[26] Number of Jobs Submitted","[36] Number of Jobs Submitted","[40] Number of Jobs Submitted","[42] Number of Jobs Submitted","[46] Number of Jobs Submitted","[47] Number of Jobs Submitted","[56] Number of Jobs Submitted","[65] Number of Jobs Submitted","[100] Number of Jobs Submitted","[104] Number of Jobs Submitted","[110] Number of Jobs Submitted"
2014-02-01,63,29,8,5,6,0,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,37,3,29,4,1,5,2,1,2,8,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,210,66,33,51,23,14,26,5,1,9,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,276,70,33,71,23,0,17,0,3,5,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,203,28,42,65,23,1,14,4,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,240,31,50,41,18,25,18,4,3,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,225,44,61,68,21,29,78,4,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,77,22,6,38,27,23,20,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,69,17,18,33,64,3,2,9,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,182,49,39,31,46,8,1,21,3,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
