title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[5] Number of Jobs Submitted","[12] Number of Jobs Submitted","[10] Number of Jobs Submitted","[7] Number of Jobs Submitted","[14] Number of Jobs Submitted","[9] Number of Jobs Submitted","[13] Number of Jobs Submitted","[15] Number of Jobs Submitted","[11] Number of Jobs Submitted","[21] Number of Jobs Submitted","[28] Number of Jobs Submitted","[64] Number of Jobs Submitted","[17] Number of Jobs Submitted","[22] Number of Jobs Submitted","[23] Number of Jobs Submitted","[26] Number of Jobs Submitted","[32] Number of Jobs Submitted","[46] Number of Jobs Submitted"
2015-02-01,217,145,121,15,16,2,0,0,9,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,486,158,89,31,59,2,12,10,15,5,0,4,0,23,1,0,0,0,0,0,0,0,0,0,0
2015-02-03,391,219,71,45,61,44,14,13,26,6,0,3,0,16,2,0,0,0,0,0,0,0,0,0,0
2015-02-04,412,131,141,42,56,33,10,9,11,3,0,3,0,23,1,0,0,0,0,0,0,0,0,0,0
2015-02-05,360,154,177,64,53,15,23,11,9,5,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0
2015-02-06,308,123,141,61,55,30,10,14,0,2,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,147,113,47,27,39,11,33,3,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,149,100,70,54,73,7,3,3,6,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0
2015-02-09,314,91,93,83,40,24,22,8,1,20,7,11,3,0,6,2,0,0,0,0,0,0,0,0,0
2015-02-10,54,64,18,19,12,1,2,0,0,0,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0
2015-02-11,312,197,62,78,24,12,8,3,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0
2015-02-12,236,86,84,33,22,19,10,3,4,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-13,301,133,143,45,30,10,32,2,5,4,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,208,119,17,3,35,3,12,3,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-02-15,175,117,45,5,65,28,17,1,3,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0
2015-02-16,454,89,53,41,35,23,11,5,3,5,0,1,32,0,3,0,0,0,0,0,0,0,0,0,0
2015-02-17,390,98,69,82,69,9,17,0,0,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,380,73,54,93,60,19,17,10,2,16,7,0,3,29,5,0,0,0,0,0,0,0,0,0,0
2015-02-19,302,100,131,75,55,8,9,2,5,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-02-20,254,117,150,71,52,13,15,4,2,5,6,1,5,3,2,0,1,0,0,0,0,0,0,0,0
2015-02-21,164,106,45,49,39,4,1,24,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,235,95,57,33,24,11,14,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,338,74,97,99,52,12,13,0,0,5,9,0,6,9,3,0,0,0,0,0,0,0,0,0,0
2015-02-24,284,105,87,56,42,2,10,8,2,1,13,2,7,12,1,0,0,0,0,0,0,0,0,0,0
2015-02-25,396,111,96,122,43,7,24,9,3,6,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-02-26,335,151,79,91,75,10,6,3,11,10,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,318,171,68,47,80,6,10,6,4,8,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-02-28,198,168,82,16,66,6,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,234,118,59,23,47,2,0,7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,399,78,104,47,145,10,8,0,7,13,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0
2015-03-03,390,98,105,54,90,22,7,1,1,8,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,392,56,99,46,76,6,10,8,1,2,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,297,57,100,40,92,5,12,11,3,12,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0
2015-03-06,308,97,56,75,55,12,2,7,11,23,0,2,4,9,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,220,88,25,41,133,2,11,1,2,12,2,0,6,10,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,241,85,25,70,99,6,14,12,1,3,4,0,10,2,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,302,106,76,84,98,0,11,4,6,0,13,1,7,11,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,339,133,59,62,65,9,7,0,9,2,5,0,8,4,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,313,86,96,89,80,11,8,0,0,5,2,1,11,1,1,0,0,0,0,0,0,0,0,0,0
2015-03-12,371,82,52,94,66,8,13,0,2,18,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-13,360,104,89,84,65,2,14,0,0,5,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0
2015-03-14,206,85,85,55,71,2,6,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,191,107,46,41,34,5,1,10,1,4,1,3,1,5,4,2,0,0,0,0,0,0,0,0,0
2015-03-16,334,94,91,96,54,4,6,1,4,3,6,1,11,2,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,338,85,110,74,79,3,11,0,9,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-18,415,81,111,130,46,27,1,2,5,1,4,8,3,0,4,0,0,0,0,0,0,0,0,0,0
2015-03-19,339,139,118,146,86,10,8,8,5,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0
2015-03-20,378,142,78,64,52,2,13,11,4,8,0,1,6,0,3,0,0,0,0,0,0,0,0,0,0
2015-03-21,141,87,49,12,61,0,0,15,16,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
2015-03-22,204,82,33,53,45,1,0,12,23,0,0,2,0,0,1,24,0,0,0,0,0,0,0,0,0
2015-03-23,490,107,93,68,26,17,12,8,2,2,3,4,8,0,0,9,0,0,0,0,0,0,0,0,0
2015-03-24,438,158,124,57,47,28,42,0,2,1,7,9,4,2,6,5,0,0,1,0,0,0,0,0,0
2015-03-25,374,154,105,104,42,20,3,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,376,127,96,47,50,16,3,10,5,2,15,5,2,1,1,1,0,0,0,0,0,0,0,0,0
2015-03-27,328,167,68,96,46,2,11,1,1,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
