title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[6] Number of Jobs Submitted","[10] Number of Jobs Submitted","[3] Number of Jobs Submitted","[14] Number of Jobs Submitted","[5] Number of Jobs Submitted","[9] Number of Jobs Submitted","[12] Number of Jobs Submitted","[7] Number of Jobs Submitted","[15] Number of Jobs Submitted","[13] Number of Jobs Submitted","[11] Number of Jobs Submitted","[20] Number of Jobs Submitted","[48] Number of Jobs Submitted","[64] Number of Jobs Submitted","[80] Number of Jobs Submitted","[96] Number of Jobs Submitted","[25] Number of Jobs Submitted","[32] Number of Jobs Submitted","[60] Number of Jobs Submitted"
2015-08-01,102,74,16,27,35,1,2,7,7,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015-08-02,122,42,28,42,71,3,3,17,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,250,52,87,45,47,5,11,20,9,11,1,1,0,2,2,0,0,0,0,0,0,0,0,0
2015-08-04,230,61,56,39,69,1,35,30,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-08-05,258,88,79,22,76,4,14,20,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,235,91,102,27,73,16,28,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,200,132,61,31,37,7,2,0,7,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
2015-08-08,122,224,18,18,54,1,2,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,139,120,12,23,31,0,1,29,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,275,164,35,50,27,6,12,19,6,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2015-08-11,335,135,40,100,72,10,12,13,10,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0
2015-08-12,317,127,58,45,65,24,7,15,33,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-08-13,265,120,52,49,60,7,1,10,25,6,1,2,0,1,1,0,0,0,0,0,0,0,0,0
2015-08-14,239,82,64,31,54,10,0,7,14,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
2015-08-15,123,49,26,10,37,3,13,8,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-08-16,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,318,80,33,15,55,14,13,4,31,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-08-18,76,30,13,5,14,3,8,11,70,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,345,127,40,32,56,24,13,33,17,2,3,1,0,1,5,0,0,0,0,0,0,0,0,0
2015-08-20,292,89,52,21,53,29,5,11,1,6,0,3,0,8,9,0,0,0,0,0,0,0,0,0
2015-08-21,224,111,73,61,23,10,12,4,3,3,2,9,0,7,0,0,0,0,0,0,0,0,0,0
2015-08-22,168,120,43,55,39,3,7,6,6,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0
2015-08-23,152,57,27,51,40,6,1,36,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,277,84,68,75,62,23,16,26,5,13,1,3,1,2,0,0,0,0,0,0,0,0,0,0
2015-08-25,395,118,123,111,63,9,30,7,26,12,0,2,1,3,0,0,0,0,0,0,0,0,0,0
2015-08-26,252,103,105,44,25,38,37,9,15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,285,53,72,54,17,9,23,19,18,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,244,74,61,30,32,70,12,6,15,3,0,0,0,4,0,2,0,0,0,0,0,0,1,0
2015-08-29,126,123,18,25,26,2,6,12,7,12,2,0,7,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,174,55,58,24,16,3,2,13,9,2,10,0,1,0,0,2,0,0,0,0,0,0,0,0
2015-08-31,263,83,91,55,17,45,6,11,29,4,1,1,0,4,0,3,0,0,0,0,0,0,0,0
2015-09-01,268,64,70,30,30,38,3,13,15,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0
