title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[5] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[10] Number of Jobs Submitted","[9] Number of Jobs Submitted","[12] Number of Jobs Submitted","[14] Number of Jobs Submitted","[15] Number of Jobs Submitted","[13] Number of Jobs Submitted","[7] Number of Jobs Submitted","[11] Number of Jobs Submitted","[40] Number of Jobs Submitted","[32] Number of Jobs Submitted","[18] Number of Jobs Submitted","[20] Number of Jobs Submitted","[61] Number of Jobs Submitted","[64] Number of Jobs Submitted"
2016-02-01,421,67,64,6,152,57,0,8,8,0,3,16,3,0,9,0,0,0,0,0,0,0
2016-02-02,499,51,79,12,157,39,2,9,16,0,0,10,0,0,0,0,0,0,0,0,0,0
2016-02-03,477,86,36,1,79,38,13,10,1,0,3,4,0,0,2,0,0,0,0,0,0,0
2016-02-04,642,107,104,0,40,65,3,5,0,0,5,5,0,0,1,0,0,0,0,0,0,0
2016-02-05,297,98,63,0,66,30,22,1,1,0,0,6,0,2,0,0,0,0,0,0,0,0
2016-02-06,240,61,11,0,56,11,0,9,1,0,1,5,0,0,0,0,0,0,0,0,0,0
2016-02-07,214,59,34,0,96,4,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0
2016-02-08,524,123,62,9,65,39,8,16,5,0,5,6,1,0,0,0,0,0,0,0,0,0
2016-02-09,606,74,113,5,98,37,23,9,29,0,1,2,0,0,3,6,0,0,0,0,0,0
2016-02-10,515,95,99,2,146,56,6,11,36,1,0,5,3,0,4,0,0,0,0,0,0,0
2016-02-11,613,133,73,1,127,12,2,1,20,0,0,4,0,1,4,0,0,0,0,0,0,0
2016-02-12,724,89,58,1,71,23,5,0,13,0,0,2,1,0,0,0,0,0,0,0,0,0
2016-02-13,485,83,46,23,34,19,7,5,6,1,0,7,0,0,0,8,0,0,0,0,0,0
2016-02-14,276,75,78,1,72,51,16,4,2,2,0,7,0,0,0,3,0,0,0,0,0,0
2016-02-15,573,100,98,0,96,16,30,6,12,0,0,12,2,0,0,0,0,0,0,0,0,0
2016-02-16,525,93,78,4,66,28,16,9,8,2,2,16,6,1,0,0,0,0,0,0,0,0
2016-02-17,642,118,84,11,91,15,6,2,15,0,3,23,0,0,0,0,0,0,0,0,0,0
2016-02-18,468,83,25,3,72,31,4,6,5,0,2,12,2,0,0,0,0,2,0,0,0,0
2016-02-19,866,84,85,13,38,34,2,18,6,2,0,15,0,0,0,0,0,0,0,0,0,0
2016-02-20,2119,56,65,14,17,15,3,12,5,0,1,11,0,0,6,0,0,0,0,0,0,0
2016-02-21,2241,93,35,3,36,13,2,9,5,0,2,26,0,0,0,0,0,0,0,0,0,0
2016-02-22,1072,85,81,9,50,25,15,14,1,3,4,5,0,2,0,0,0,0,0,0,0,0
2016-02-23,933,80,54,6,41,13,8,12,8,3,2,5,0,1,0,0,0,0,0,0,0,0
