title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[10] Number of Jobs Submitted","[256] Number of Jobs Submitted","[32] Number of Jobs Submitted","[3] Number of Jobs Submitted","[12] Number of Jobs Submitted","[64] Number of Jobs Submitted","[6] Number of Jobs Submitted","[20] Number of Jobs Submitted","[5] Number of Jobs Submitted","[128] Number of Jobs Submitted","[200] Number of Jobs Submitted","[7] Number of Jobs Submitted","[30] Number of Jobs Submitted","[9] Number of Jobs Submitted","[15] Number of Jobs Submitted","[14] Number of Jobs Submitted","[45] Number of Jobs Submitted","[11] Number of Jobs Submitted","[106] Number of Jobs Submitted","[36] Number of Jobs Submitted","[13] Number of Jobs Submitted","[50] Number of Jobs Submitted","[100] Number of Jobs Submitted","[35] Number of Jobs Submitted","[23] Number of Jobs Submitted","[136] Number of Jobs Submitted","[24] Number of Jobs Submitted","[68] Number of Jobs Submitted","[160] Number of Jobs Submitted","[208] Number of Jobs Submitted","[22] Number of Jobs Submitted","[192] Number of Jobs Submitted","[28] Number of Jobs Submitted","[80] Number of Jobs Submitted","[230] Number of Jobs Submitted","[25] Number of Jobs Submitted","[75] Number of Jobs Submitted","[181] Number of Jobs Submitted","[40] Number of Jobs Submitted","[132] Number of Jobs Submitted","[46] Number of Jobs Submitted","[150] Number of Jobs Submitted","[17] Number of Jobs Submitted","[250] Number of Jobs Submitted","[18] Number of Jobs Submitted","[39] Number of Jobs Submitted","[21] Number of Jobs Submitted","[51] Number of Jobs Submitted","[54] Number of Jobs Submitted","[70] Number of Jobs Submitted","[232] Number of Jobs Submitted","[19] Number of Jobs Submitted","[34] Number of Jobs Submitted","[48] Number of Jobs Submitted","[66] Number of Jobs Submitted","[71] Number of Jobs Submitted","[152] Number of Jobs Submitted","[168] Number of Jobs Submitted","[216] Number of Jobs Submitted","[85] Number of Jobs Submitted","[129] Number of Jobs Submitted","[86] Number of Jobs Submitted","[120] Number of Jobs Submitted","[175] Number of Jobs Submitted","[213] Number of Jobs Submitted","[224] Number of Jobs Submitted","[31] Number of Jobs Submitted","[110] Number of Jobs Submitted","[49] Number of Jobs Submitted","[60] Number of Jobs Submitted","[63] Number of Jobs Submitted","[65] Number of Jobs Submitted","[67] Number of Jobs Submitted","[90] Number of Jobs Submitted","[113] Number of Jobs Submitted","[165] Number of Jobs Submitted","[210] Number of Jobs Submitted","[27] Number of Jobs Submitted","[72] Number of Jobs Submitted","[84] Number of Jobs Submitted","[96] Number of Jobs Submitted","[140] Number of Jobs Submitted","[183] Number of Jobs Submitted","[194] Number of Jobs Submitted","[225] Number of Jobs Submitted"
2013-01-07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,569,4,24,1,1,0,4,13,5,1,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,6,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2013-01-09,75,34,76,49,35,17,75,12,14,22,6,25,6,16,2,0,16,0,16,20,16,0,16,0,5,16,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,123,389,71,6,14,4,58,7,16,3,1,6,17,2,3,0,2,2,7,6,0,0,0,0,6,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,1,4,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-11,766,282,110,19,19,40,12,28,6,2,6,37,21,3,3,0,2,0,0,1,1,15,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-12,34,35,142,1,4,15,36,3,11,2,2,4,7,0,3,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-13,176,48,116,5,29,6,13,13,21,4,11,5,0,8,12,1,12,0,4,2,2,4,2,0,0,2,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,72,99,53,15,7,3,1,2,2,0,2,4,2,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,256,14,17,4,1,28,32,1,8,3,9,0,2,0,0,0,0,0,2,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,338,170,179,76,68,48,17,66,8,17,3,3,10,0,1,0,11,0,1,0,1,3,0,0,9,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,148,20,28,8,6,5,8,3,10,10,2,4,10,53,0,0,4,0,5,4,5,1,4,0,3,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
