title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[16] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[6] Number of Jobs Submitted","[3] Number of Jobs Submitted","[64] Number of Jobs Submitted","[32] Number of Jobs Submitted","[5] Number of Jobs Submitted","[36] Number of Jobs Submitted","[7] Number of Jobs Submitted","[10] Number of Jobs Submitted","[20] Number of Jobs Submitted","[12] Number of Jobs Submitted","[256] Number of Jobs Submitted","[128] Number of Jobs Submitted","[31] Number of Jobs Submitted","[48] Number of Jobs Submitted","[15] Number of Jobs Submitted","[13] Number of Jobs Submitted","[61] Number of Jobs Submitted","[24] Number of Jobs Submitted","[30] Number of Jobs Submitted","[9] Number of Jobs Submitted","[25] Number of Jobs Submitted","[60] Number of Jobs Submitted","[11] Number of Jobs Submitted","[100] Number of Jobs Submitted","[40] Number of Jobs Submitted","[150] Number of Jobs Submitted","[50] Number of Jobs Submitted","[18] Number of Jobs Submitted","[240] Number of Jobs Submitted","[181] Number of Jobs Submitted","[183] Number of Jobs Submitted","[45] Number of Jobs Submitted","[66] Number of Jobs Submitted","[90] Number of Jobs Submitted","[14] Number of Jobs Submitted","[80] Number of Jobs Submitted","[120] Number of Jobs Submitted","[250] Number of Jobs Submitted","[22] Number of Jobs Submitted","[96] Number of Jobs Submitted","[63] Number of Jobs Submitted","[28] Number of Jobs Submitted","[19] Number of Jobs Submitted","[72] Number of Jobs Submitted","[54] Number of Jobs Submitted","[35] Number of Jobs Submitted","[26] Number of Jobs Submitted","[42] Number of Jobs Submitted","[17] Number of Jobs Submitted","[75] Number of Jobs Submitted","[248] Number of Jobs Submitted","[81] Number of Jobs Submitted","[212] Number of Jobs Submitted","[62] Number of Jobs Submitted","[226] Number of Jobs Submitted","[99] Number of Jobs Submitted","[135] Number of Jobs Submitted","[38] Number of Jobs Submitted","[106] Number of Jobs Submitted","[49] Number of Jobs Submitted","[192] Number of Jobs Submitted","[34] Number of Jobs Submitted","[39] Number of Jobs Submitted","[252] Number of Jobs Submitted","[110] Number of Jobs Submitted","[220] Number of Jobs Submitted","[162] Number of Jobs Submitted","[122] Number of Jobs Submitted","[117] Number of Jobs Submitted","[125] Number of Jobs Submitted","[51] Number of Jobs Submitted","[144] Number of Jobs Submitted","[160] Number of Jobs Submitted","[33] Number of Jobs Submitted","[200] Number of Jobs Submitted","[204] Number of Jobs Submitted","[78] Number of Jobs Submitted","[216] Number of Jobs Submitted","[23] Number of Jobs Submitted","[148] Number of Jobs Submitted","[21] Number of Jobs Submitted","[57] Number of Jobs Submitted","[112] Number of Jobs Submitted","[46] Number of Jobs Submitted","[180] Number of Jobs Submitted","[76] Number of Jobs Submitted","[84] Number of Jobs Submitted","[52] Number of Jobs Submitted","[225] Number of Jobs Submitted","[56] Number of Jobs Submitted","[44] Number of Jobs Submitted","[70] Number of Jobs Submitted","[188] Number of Jobs Submitted","[43] Number of Jobs Submitted","[101] Number of Jobs Submitted","[157] Number of Jobs Submitted","[29] Number of Jobs Submitted","[108] Number of Jobs Submitted","[82] Number of Jobs Submitted","[174] Number of Jobs Submitted","[105] Number of Jobs Submitted","[140] Number of Jobs Submitted","[224] Number of Jobs Submitted","[27] Number of Jobs Submitted","[139] Number of Jobs Submitted","[37] Number of Jobs Submitted","[47] Number of Jobs Submitted","[210] Number of Jobs Submitted","[98] Number of Jobs Submitted","[152] Number of Jobs Submitted","[171] Number of Jobs Submitted","[55] Number of Jobs Submitted","[65] Number of Jobs Submitted","[124] Number of Jobs Submitted","[136] Number of Jobs Submitted","[41] Number of Jobs Submitted","[68] Number of Jobs Submitted","[129] Number of Jobs Submitted","[147] Number of Jobs Submitted","[93] Number of Jobs Submitted","[114] Number of Jobs Submitted","[126] Number of Jobs Submitted","[169] Number of Jobs Submitted","[255] Number of Jobs Submitted","[83] Number of Jobs Submitted","[87] Number of Jobs Submitted","[121] Number of Jobs Submitted","[138] Number of Jobs Submitted","[153] Number of Jobs Submitted","[243] Number of Jobs Submitted","[58] Number of Jobs Submitted","[59] Number of Jobs Submitted","[69] Number of Jobs Submitted","[86] Number of Jobs Submitted","[92] Number of Jobs Submitted","[94] Number of Jobs Submitted","[113] Number of Jobs Submitted","[111] Number of Jobs Submitted","[146] Number of Jobs Submitted","[155] Number of Jobs Submitted","[170] Number of Jobs Submitted","[195] Number of Jobs Submitted","[196] Number of Jobs Submitted","[512] Number of Jobs Submitted","[53] Number of Jobs Submitted","[71] Number of Jobs Submitted","[102] Number of Jobs Submitted","[119] Number of Jobs Submitted","[131] Number of Jobs Submitted","[142] Number of Jobs Submitted","[175] Number of Jobs Submitted","[176] Number of Jobs Submitted","[207] Number of Jobs Submitted","[233] Number of Jobs Submitted","[234] Number of Jobs Submitted","[88] Number of Jobs Submitted","[97] Number of Jobs Submitted","[103] Number of Jobs Submitted","[123] Number of Jobs Submitted","[127] Number of Jobs Submitted","[130] Number of Jobs Submitted","[132] Number of Jobs Submitted","[145] Number of Jobs Submitted","[159] Number of Jobs Submitted","[161] Number of Jobs Submitted","[163] Number of Jobs Submitted","[168] Number of Jobs Submitted","[191] Number of Jobs Submitted","[194] Number of Jobs Submitted","[203] Number of Jobs Submitted","[209] Number of Jobs Submitted","[218] Number of Jobs Submitted","[237] Number of Jobs Submitted","[115] Number of Jobs Submitted","[187] Number of Jobs Submitted","[197] Number of Jobs Submitted"
2013-08-01,11456,540,2462,820,199,287,356,68,59,97,0,5,30,21,22,5,12,31,9,9,3,0,0,24,2,1,7,1,1,1,7,0,21,0,0,0,2,0,0,10,0,3,4,2,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,8112,483,2945,1042,201,265,376,43,61,146,0,4,42,23,29,9,30,61,24,8,4,51,7,42,2,0,1,1,0,1,2,0,7,0,0,0,1,0,0,3,0,1,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,11865,252,751,715,159,321,555,25,48,5,5,1,27,41,12,25,19,10,5,4,6,11,0,13,7,1,2,0,8,0,6,0,21,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,6323,2602,939,1067,155,303,566,21,4,36,1,3,85,38,16,21,16,20,3,9,2,0,0,29,1,1,3,91,28,0,15,0,35,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,2936,377,793,910,128,240,442,28,32,10,0,14,20,24,9,21,25,17,0,3,0,0,0,13,9,1,0,4,1,0,0,0,4,0,8,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,93,62,238,316,32,88,148,3,8,0,0,0,0,11,3,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,1300,789,89,166,114,21,73,36,31,8,50,7,26,21,14,29,25,0,0,14,9,0,0,19,12,7,1,14,3,1,2,3,3,0,0,0,9,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-08-08,607,125,33,108,69,13,61,26,37,6,82,0,13,5,6,13,18,0,1,6,0,0,2,12,1,0,3,1,4,3,0,2,6,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,476,426,100,306,54,81,83,26,31,9,72,9,10,11,14,15,8,0,0,15,4,0,1,9,20,2,8,11,2,8,0,7,9,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,309,410,218,325,110,214,183,25,18,11,0,6,19,2,3,5,9,0,0,7,0,0,6,8,2,4,8,0,2,3,0,1,7,0,0,0,1,0,0,3,4,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
