title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[5] Number of Jobs Submitted","[16] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[64] Number of Jobs Submitted","[3] Number of Jobs Submitted","[9] Number of Jobs Submitted","[32] Number of Jobs Submitted","[24] Number of Jobs Submitted","[7] Number of Jobs Submitted","[10] Number of Jobs Submitted","[6] Number of Jobs Submitted","[48] Number of Jobs Submitted","[18] Number of Jobs Submitted","[37] Number of Jobs Submitted","[17] Number of Jobs Submitted","[12] Number of Jobs Submitted","[256] Number of Jobs Submitted","[128] Number of Jobs Submitted","[30] Number of Jobs Submitted","[25] Number of Jobs Submitted","[74] Number of Jobs Submitted","[80] Number of Jobs Submitted","[20] Number of Jobs Submitted","[82] Number of Jobs Submitted","[15] Number of Jobs Submitted","[40] Number of Jobs Submitted","[13] Number of Jobs Submitted","[36] Number of Jobs Submitted","[14] Number of Jobs Submitted","[27] Number of Jobs Submitted","[100] Number of Jobs Submitted","[11] Number of Jobs Submitted","[181] Number of Jobs Submitted","[50] Number of Jobs Submitted","[244] Number of Jobs Submitted","[157] Number of Jobs Submitted","[60] Number of Jobs Submitted","[216] Number of Jobs Submitted","[19] Number of Jobs Submitted","[240] Number of Jobs Submitted","[21] Number of Jobs Submitted","[192] Number of Jobs Submitted","[45] Number of Jobs Submitted","[62] Number of Jobs Submitted","[250] Number of Jobs Submitted","[125] Number of Jobs Submitted","[28] Number of Jobs Submitted","[63] Number of Jobs Submitted","[31] Number of Jobs Submitted","[144] Number of Jobs Submitted","[72] Number of Jobs Submitted","[57] Number of Jobs Submitted","[26] Number of Jobs Submitted","[38] Number of Jobs Submitted","[34] Number of Jobs Submitted","[22] Number of Jobs Submitted","[81] Number of Jobs Submitted","[96] Number of Jobs Submitted","[23] Number of Jobs Submitted","[135] Number of Jobs Submitted","[122] Number of Jobs Submitted","[109] Number of Jobs Submitted","[33] Number of Jobs Submitted","[120] Number of Jobs Submitted","[77] Number of Jobs Submitted","[127] Number of Jobs Submitted","[252] Number of Jobs Submitted","[148] Number of Jobs Submitted","[160] Number of Jobs Submitted","[75] Number of Jobs Submitted","[108] Number of Jobs Submitted","[92] Number of Jobs Submitted","[68] Number of Jobs Submitted","[180] Number of Jobs Submitted","[183] Number of Jobs Submitted","[43] Number of Jobs Submitted","[200] Number of Jobs Submitted","[29] Number of Jobs Submitted","[35] Number of Jobs Submitted","[61] Number of Jobs Submitted","[46] Number of Jobs Submitted","[90] Number of Jobs Submitted","[65] Number of Jobs Submitted","[56] Number of Jobs Submitted","[84] Number of Jobs Submitted","[150] Number of Jobs Submitted","[54] Number of Jobs Submitted","[42] Number of Jobs Submitted","[44] Number of Jobs Submitted","[110] Number of Jobs Submitted","[119] Number of Jobs Submitted","[121] Number of Jobs Submitted","[140] Number of Jobs Submitted","[196] Number of Jobs Submitted","[220] Number of Jobs Submitted","[70] Number of Jobs Submitted","[85] Number of Jobs Submitted","[98] Number of Jobs Submitted","[52] Number of Jobs Submitted","[41] Number of Jobs Submitted","[224] Number of Jobs Submitted","[225] Number of Jobs Submitted","[111] Number of Jobs Submitted","[162] Number of Jobs Submitted","[219] Number of Jobs Submitted","[49] Number of Jobs Submitted","[102] Number of Jobs Submitted","[129] Number of Jobs Submitted","[168] Number of Jobs Submitted","[182] Number of Jobs Submitted","[55] Number of Jobs Submitted","[185] Number of Jobs Submitted","[66] Number of Jobs Submitted","[138] Number of Jobs Submitted","[47] Number of Jobs Submitted","[132] Number of Jobs Submitted","[95] Number of Jobs Submitted","[130] Number of Jobs Submitted","[169] Number of Jobs Submitted","[217] Number of Jobs Submitted","[165] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[39] Number of Jobs Submitted","[78] Number of Jobs Submitted","[124] Number of Jobs Submitted","[172] Number of Jobs Submitted","[226] Number of Jobs Submitted","[241] Number of Jobs Submitted","[76] Number of Jobs Submitted","[101] Number of Jobs Submitted","[107] Number of Jobs Submitted","[112] Number of Jobs Submitted","[190] Number of Jobs Submitted","[237] Number of Jobs Submitted","[242] Number of Jobs Submitted","[86] Number of Jobs Submitted","[147] Number of Jobs Submitted","[187] Number of Jobs Submitted","[210] Number of Jobs Submitted","[51] Number of Jobs Submitted","[73] Number of Jobs Submitted","[104] Number of Jobs Submitted","[123] Number of Jobs Submitted","[126] Number of Jobs Submitted","[136] Number of Jobs Submitted","[146] Number of Jobs Submitted","[170] Number of Jobs Submitted","[218] Number of Jobs Submitted","[640] Number of Jobs Submitted","[161] Number of Jobs Submitted","[176] Number of Jobs Submitted","[248] Number of Jobs Submitted","[255] Number of Jobs Submitted","[83] Number of Jobs Submitted","[105] Number of Jobs Submitted","[113] Number of Jobs Submitted","[115] Number of Jobs Submitted","[133] Number of Jobs Submitted","[154] Number of Jobs Submitted","[155] Number of Jobs Submitted","[156] Number of Jobs Submitted","[164] Number of Jobs Submitted","[166] Number of Jobs Submitted","[201] Number of Jobs Submitted","[208] Number of Jobs Submitted","[211] Number of Jobs Submitted","[245] Number of Jobs Submitted","[512] Number of Jobs Submitted","[53] Number of Jobs Submitted","[59] Number of Jobs Submitted","[67] Number of Jobs Submitted","[88] Number of Jobs Submitted","[114] Number of Jobs Submitted","[143] Number of Jobs Submitted","[151] Number of Jobs Submitted","[188] Number of Jobs Submitted","[194] Number of Jobs Submitted","[222] Number of Jobs Submitted","[232] Number of Jobs Submitted","[243] Number of Jobs Submitted","[249] Number of Jobs Submitted","[251] Number of Jobs Submitted","[500] Number of Jobs Submitted","[99] Number of Jobs Submitted","[212] Number of Jobs Submitted"
2014-02-01,7984,139,75,218,147,84,38,54,2,49,4,439,22,53,3,7,0,0,12,8,28,0,12,0,0,5,0,2,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,8618,483,12,95,138,100,75,43,4,25,10,79,42,84,0,5,0,2,9,4,18,4,19,0,0,6,0,0,3,3,1,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,2406,278,4,515,214,56,22,35,5,43,6,33,45,59,0,8,0,2,5,18,10,1,7,0,0,5,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,1664,162,17,651,98,115,26,82,6,22,3,53,18,9,1,2,0,0,2,15,6,2,5,0,0,10,0,2,5,20,0,0,2,0,2,0,4,0,0,1,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,3945,398,18,285,83,159,15,90,5,30,2,7,5,13,2,7,1,0,60,17,5,3,11,0,0,13,5,0,0,2,0,0,0,2,0,0,5,0,0,2,0,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,4302,480,19,59,129,131,22,68,6,28,2,2,9,10,5,5,0,1,37,16,7,0,7,0,0,13,0,2,0,5,0,1,0,0,0,0,4,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,1639,367,80,60,364,242,27,77,14,17,1,11,90,12,0,6,0,2,23,6,2,1,10,0,0,9,0,21,4,1,0,0,0,3,0,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,7034,366,28,108,138,55,41,4,7,24,0,2,219,13,2,10,0,0,60,4,2,1,15,0,0,1,0,65,0,3,0,0,0,10,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,10132,418,31,153,94,110,28,26,2,33,2,7,547,15,0,4,0,0,74,6,1,3,22,0,0,6,0,1,0,3,2,1,0,3,1,1,5,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,3696,454,25,641,339,101,26,54,9,53,1,10,17,67,1,8,0,0,18,6,5,1,7,0,0,6,0,2,17,1,0,10,0,0,0,7,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
