title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Submitted","[6] Number of Jobs Submitted","[2] Number of Jobs Submitted","[8] Number of Jobs Submitted","[4] Number of Jobs Submitted","[3] Number of Jobs Submitted","[16] Number of Jobs Submitted","[32] Number of Jobs Submitted","[64] Number of Jobs Submitted","[5] Number of Jobs Submitted","[9] Number of Jobs Submitted","[10] Number of Jobs Submitted","[256] Number of Jobs Submitted","[42] Number of Jobs Submitted","[128] Number of Jobs Submitted","[7] Number of Jobs Submitted","[12] Number of Jobs Submitted","[20] Number of Jobs Submitted","[17] Number of Jobs Submitted","[48] Number of Jobs Submitted","[11] Number of Jobs Submitted","[24] Number of Jobs Submitted","[15] Number of Jobs Submitted","[13] Number of Jobs Submitted","[40] Number of Jobs Submitted","[80] Number of Jobs Submitted","[14] Number of Jobs Submitted","[30] Number of Jobs Submitted","[96] Number of Jobs Submitted","[36] Number of Jobs Submitted","[18] Number of Jobs Submitted","[217] Number of Jobs Submitted","[120] Number of Jobs Submitted","[100] Number of Jobs Submitted","[50] Number of Jobs Submitted","[25] Number of Jobs Submitted","[126] Number of Jobs Submitted","[22] Number of Jobs Submitted","[28] Number of Jobs Submitted","[72] Number of Jobs Submitted","[23] Number of Jobs Submitted","[125] Number of Jobs Submitted","[144] Number of Jobs Submitted","[60] Number of Jobs Submitted","[200] Number of Jobs Submitted","[142] Number of Jobs Submitted","[33] Number of Jobs Submitted","[121] Number of Jobs Submitted","[163] Number of Jobs Submitted","[63] Number of Jobs Submitted","[240] Number of Jobs Submitted","[19] Number of Jobs Submitted","[127] Number of Jobs Submitted","[150] Number of Jobs Submitted","[160] Number of Jobs Submitted","[56] Number of Jobs Submitted","[181] Number of Jobs Submitted","[188] Number of Jobs Submitted","[250] Number of Jobs Submitted","[21] Number of Jobs Submitted","[38] Number of Jobs Submitted","[216] Number of Jobs Submitted","[26] Number of Jobs Submitted","[27] Number of Jobs Submitted","[34] Number of Jobs Submitted","[65] Number of Jobs Submitted","[57] Number of Jobs Submitted","[192] Number of Jobs Submitted","[62] Number of Jobs Submitted","[75] Number of Jobs Submitted","[76] Number of Jobs Submitted","[29] Number of Jobs Submitted","[185] Number of Jobs Submitted","[45] Number of Jobs Submitted","[90] Number of Jobs Submitted","[102] Number of Jobs Submitted","[61] Number of Jobs Submitted","[35] Number of Jobs Submitted","[157] Number of Jobs Submitted","[66] Number of Jobs Submitted","[81] Number of Jobs Submitted","[165] Number of Jobs Submitted","[31] Number of Jobs Submitted","[53] Number of Jobs Submitted","[135] Number of Jobs Submitted","[54] Number of Jobs Submitted","[225] Number of Jobs Submitted","[43] Number of Jobs Submitted","[55] Number of Jobs Submitted","[224] Number of Jobs Submitted","[44] Number of Jobs Submitted","[52] Number of Jobs Submitted","[69] Number of Jobs Submitted","[70] Number of Jobs Submitted","[82] Number of Jobs Submitted","[112] Number of Jobs Submitted","[108] Number of Jobs Submitted","[158] Number of Jobs Submitted","[187] Number of Jobs Submitted","[252] Number of Jobs Submitted","[77] Number of Jobs Submitted","[37] Number of Jobs Submitted","[39] Number of Jobs Submitted","[49] Number of Jobs Submitted","[92] Number of Jobs Submitted","[118] Number of Jobs Submitted","[140] Number of Jobs Submitted","[176] Number of Jobs Submitted","[244] Number of Jobs Submitted","[255] Number of Jobs Submitted","[136] Number of Jobs Submitted","[196] Number of Jobs Submitted","[46] Number of Jobs Submitted","[103] Number of Jobs Submitted","[116] Number of Jobs Submitted","[208] Number of Jobs Submitted","[238] Number of Jobs Submitted","[41] Number of Jobs Submitted","[68] Number of Jobs Submitted","[98] Number of Jobs Submitted","[122] Number of Jobs Submitted","[138] Number of Jobs Submitted","[197] Number of Jobs Submitted","[234] Number of Jobs Submitted","[51] Number of Jobs Submitted","[71] Number of Jobs Submitted","[78] Number of Jobs Submitted","[99] Number of Jobs Submitted","[132] Number of Jobs Submitted","[152] Number of Jobs Submitted","[168] Number of Jobs Submitted","[73] Number of Jobs Submitted","[88] Number of Jobs Submitted","[94] Number of Jobs Submitted","[97] Number of Jobs Submitted","[109] Number of Jobs Submitted","[110] Number of Jobs Submitted","[119] Number of Jobs Submitted","[133] Number of Jobs Submitted","[148] Number of Jobs Submitted","[169] Number of Jobs Submitted","[172] Number of Jobs Submitted","[179] Number of Jobs Submitted","[220] Number of Jobs Submitted","[230] Number of Jobs Submitted","[235] Number of Jobs Submitted","[47] Number of Jobs Submitted","[58] Number of Jobs Submitted","[79] Number of Jobs Submitted","[83] Number of Jobs Submitted","[85] Number of Jobs Submitted","[95] Number of Jobs Submitted","[107] Number of Jobs Submitted","[117] Number of Jobs Submitted","[123] Number of Jobs Submitted","[130] Number of Jobs Submitted","[137] Number of Jobs Submitted","[149] Number of Jobs Submitted","[151] Number of Jobs Submitted","[175] Number of Jobs Submitted","[177] Number of Jobs Submitted","[204] Number of Jobs Submitted","[211] Number of Jobs Submitted","[213] Number of Jobs Submitted","[229] Number of Jobs Submitted","[455] Number of Jobs Submitted","[512] Number of Jobs Submitted","[59] Number of Jobs Submitted","[67] Number of Jobs Submitted","[74] Number of Jobs Submitted","[84] Number of Jobs Submitted","[87] Number of Jobs Submitted","[105] Number of Jobs Submitted","[124] Number of Jobs Submitted","[129] Number of Jobs Submitted","[139] Number of Jobs Submitted","[141] Number of Jobs Submitted","[153] Number of Jobs Submitted","[154] Number of Jobs Submitted","[198] Number of Jobs Submitted","[203] Number of Jobs Submitted","[210] Number of Jobs Submitted","[219] Number of Jobs Submitted","[222] Number of Jobs Submitted","[226] Number of Jobs Submitted","[242] Number of Jobs Submitted","[251] Number of Jobs Submitted"
2015-02-01,402,14,773,98,313,132,276,47,21,29,150,1,11,0,7,70,14,5,0,17,69,13,9,16,1,82,0,13,8,0,1,0,4,0,2,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,650,25,472,172,333,182,125,127,54,5,13,2,32,0,36,1,8,18,2,7,0,14,3,1,16,0,1,3,17,5,7,0,8,0,6,17,0,1,1,0,1,0,0,1,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,958,32,541,143,302,572,233,49,43,50,30,4,30,0,33,10,8,13,2,1,1,13,2,0,11,0,4,7,40,7,0,0,32,0,8,1,12,7,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,10,0,0,0,0,9,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,827,16,200,81,186,403,147,59,23,8,13,2,12,0,24,5,7,23,8,4,0,6,1,3,7,1,4,7,2,1,3,0,9,0,0,1,11,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,389,14,104,55,155,65,118,76,18,3,1,42,60,0,12,2,3,10,61,0,1,1,2,1,30,0,1,2,2,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,502,18,47,76,202,31,61,16,15,8,3,74,14,0,12,0,0,5,30,1,1,0,0,1,3,0,2,1,1,2,4,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,264,21,175,75,96,15,108,17,13,4,48,107,58,0,3,1,2,2,89,1,0,3,3,1,2,0,0,1,1,1,2,0,0,1,2,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,726,8,326,55,140,18,289,36,21,7,18,15,38,0,23,4,15,10,3,1,0,11,0,2,2,7,0,2,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,1206,28,339,95,276,33,213,63,57,26,11,140,33,0,30,18,1,29,2,5,1,1,0,2,9,1,0,5,4,7,0,0,5,1,2,1,28,5,0,1,4,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,7,0,2,0,0,0,0,0,0,4,1,0,3,1,0,4,1,0,3,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,188,2,215,18,13,2,13,26,8,0,0,22,6,0,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
