Day,[16] Number of Jobs Submitted,[32] Number of Jobs Submitted,[64] Number of Jobs Submitted,[128] Number of Jobs Submitted,[256] Number of Jobs Submitted,[48] Number of Jobs Submitted,[80] Number of Jobs Submitted,[96] Number of Jobs Submitted,[144] Number of Jobs Submitted,[160] Number of Jobs Submitted,[112] Number of Jobs Submitted
2011-01-21,2,0,10,0,0,0,0,1,0,0,0
2011-01-22,0,0,11,1,0,0,0,1,0,0,0
2011-01-23,0,0,9,1,0,0,0,0,0,0,0
2011-01-24,24,5,10,1,0,0,0,0,0,0,0
2011-01-25,7,3,0,0,0,0,0,2,0,2,0
2011-01-26,34,9,4,10,4,0,0,0,0,0,0
2011-01-27,115,22,8,22,1,4,0,2,1,0,1
2011-01-28,279,58,54,44,40,1,1,0,1,0,0
2011-01-29,74,0,5,2,0,0,0,0,0,0,0
2011-01-30,19,1,2,2,0,1,2,0,0,0,0
2011-01-31,39,37,3,4,0,3,5,0,1,0,0
