Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[10] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[3] Number of Jobs Submitted,[6] Number of Jobs Submitted,[16] Number of Jobs Submitted,[12] Number of Jobs Submitted,[5] Number of Jobs Submitted,[20] Number of Jobs Submitted,[32] Number of Jobs Submitted,[24] Number of Jobs Submitted,[9] Number of Jobs Submitted,[60] Number of Jobs Submitted,[25] Number of Jobs Submitted,[64] Number of Jobs Submitted,[15] Number of Jobs Submitted,[18] Number of Jobs Submitted,[22] Number of Jobs Submitted,[72] Number of Jobs Submitted,[7] Number of Jobs Submitted,[30] Number of Jobs Submitted,[11] Number of Jobs Submitted,[36] Number of Jobs Submitted,[40] Number of Jobs Submitted,[50] Number of Jobs Submitted,[43] Number of Jobs Submitted,[14] Number of Jobs Submitted,[48] Number of Jobs Submitted,[13] Number of Jobs Submitted,[17] Number of Jobs Submitted,[42] Number of Jobs Submitted,[70] Number of Jobs Submitted,[62] Number of Jobs Submitted,[21] Number of Jobs Submitted,[34] Number of Jobs Submitted,[45] Number of Jobs Submitted,[54] Number of Jobs Submitted,[26] Number of Jobs Submitted,[35] Number of Jobs Submitted,[28] Number of Jobs Submitted,[46] Number of Jobs Submitted,[33] Number of Jobs Submitted,[38] Number of Jobs Submitted,[27] Number of Jobs Submitted,[56] Number of Jobs Submitted,[19] Number of Jobs Submitted,[65] Number of Jobs Submitted,[23] Number of Jobs Submitted,[41] Number of Jobs Submitted,[63] Number of Jobs Submitted,[31] Number of Jobs Submitted,[44] Number of Jobs Submitted,[49] Number of Jobs Submitted,[55] Number of Jobs Submitted,[37] Number of Jobs Submitted,[53] Number of Jobs Submitted,[52] Number of Jobs Submitted,[61] Number of Jobs Submitted,[29] Number of Jobs Submitted,[39] Number of Jobs Submitted,[47] Number of Jobs Submitted,[68] Number of Jobs Submitted,[66] Number of Jobs Submitted,[57] Number of Jobs Submitted,[58] Number of Jobs Submitted,[59] Number of Jobs Submitted,[67] Number of Jobs Submitted
2016-02-01,1175,365,6,107,83,18,21,26,28,2,5,0,4,2,0,8,0,0,1,0,10,0,0,2,0,7,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,2484,254,19,39,39,17,4,15,25,4,3,1,4,3,0,20,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,1446,991,59,70,22,18,16,8,0,6,4,0,4,22,0,3,0,6,2,4,6,14,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,8039,393,66,65,32,8,3,15,70,30,5,0,3,35,0,0,2,2,0,0,2,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,1105,1272,59,36,23,8,10,10,14,9,5,1,1,8,0,0,0,9,2,7,12,6,0,1,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,388,109,23,31,25,16,21,3,12,5,3,0,0,10,0,0,0,3,0,11,6,16,0,0,0,0,1,17,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,336,86,12,56,4,6,20,3,4,0,24,0,1,1,0,0,0,4,0,0,7,3,0,1,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,58,126,11,8,13,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,25,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,1685,302,19,52,48,29,7,3,10,29,6,3,3,2,0,26,0,6,4,8,13,2,4,11,2,13,3,10,2,1,3,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
