Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[16] Number of Jobs Submitted,[3] Number of Jobs Submitted,[64] Number of Jobs Submitted,[6] Number of Jobs Submitted,[9] Number of Jobs Submitted,[5] Number of Jobs Submitted,[10] Number of Jobs Submitted,[32] Number of Jobs Submitted,[20] Number of Jobs Submitted,[12] Number of Jobs Submitted,[31] Number of Jobs Submitted,[256] Number of Jobs Submitted,[7] Number of Jobs Submitted,[128] Number of Jobs Submitted,[36] Number of Jobs Submitted,[40] Number of Jobs Submitted,[15] Number of Jobs Submitted,[30] Number of Jobs Submitted,[181] Number of Jobs Submitted,[13] Number of Jobs Submitted,[14] Number of Jobs Submitted,[24] Number of Jobs Submitted,[48] Number of Jobs Submitted,[66] Number of Jobs Submitted,[25] Number of Jobs Submitted,[11] Number of Jobs Submitted,[100] Number of Jobs Submitted,[50] Number of Jobs Submitted,[60] Number of Jobs Submitted,[136] Number of Jobs Submitted,[18] Number of Jobs Submitted,[45] Number of Jobs Submitted,[192] Number of Jobs Submitted,[96] Number of Jobs Submitted,[200] Number of Jobs Submitted,[17] Number of Jobs Submitted,[63] Number of Jobs Submitted,[150] Number of Jobs Submitted,[80] Number of Jobs Submitted,[144] Number of Jobs Submitted,[250] Number of Jobs Submitted,[1024] Number of Jobs Submitted,[160] Number of Jobs Submitted,[22] Number of Jobs Submitted,[39] Number of Jobs Submitted,[512] Number of Jobs Submitted,[26] Number of Jobs Submitted,[120] Number of Jobs Submitted,[132] Number of Jobs Submitted,[27] Number of Jobs Submitted,[61] Number of Jobs Submitted,[125] Number of Jobs Submitted,[21] Number of Jobs Submitted,[240] Number of Jobs Submitted,[54] Number of Jobs Submitted,[90] Number of Jobs Submitted,[101] Number of Jobs Submitted,[51] Number of Jobs Submitted,[162] Number of Jobs Submitted,[224] Number of Jobs Submitted,[28] Number of Jobs Submitted,[72] Number of Jobs Submitted,[135] Number of Jobs Submitted,[52] Number of Jobs Submitted,[75] Number of Jobs Submitted,[106] Number of Jobs Submitted,[35] Number of Jobs Submitted,[183] Number of Jobs Submitted,[104] Number of Jobs Submitted,[216] Number of Jobs Submitted,[105] Number of Jobs Submitted,[44] Number of Jobs Submitted,[49] Number of Jobs Submitted,[204] Number of Jobs Submitted,[169] Number of Jobs Submitted,[19] Number of Jobs Submitted,[34] Number of Jobs Submitted,[375] Number of Jobs Submitted,[251] Number of Jobs Submitted,[41] Number of Jobs Submitted,[76] Number of Jobs Submitted,[153] Number of Jobs Submitted,[77] Number of Jobs Submitted,[130] Number of Jobs Submitted,[180] Number of Jobs Submitted,[23] Number of Jobs Submitted,[70] Number of Jobs Submitted,[384] Number of Jobs Submitted,[156] Number of Jobs Submitted,[460] Number of Jobs Submitted,[42] Number of Jobs Submitted,[252] Number of Jobs Submitted,[81] Number of Jobs Submitted,[151] Number of Jobs Submitted,[170] Number of Jobs Submitted,[171] Number of Jobs Submitted,[2048] Number of Jobs Submitted,[38] Number of Jobs Submitted,[108] Number of Jobs Submitted,[112] Number of Jobs Submitted,[208] Number of Jobs Submitted,[29] Number of Jobs Submitted,[73] Number of Jobs Submitted,[225] Number of Jobs Submitted,[65] Number of Jobs Submitted,[123] Number of Jobs Submitted,[202] Number of Jobs Submitted,[139] Number of Jobs Submitted,[211] Number of Jobs Submitted,[400] Number of Jobs Submitted,[69] Number of Jobs Submitted,[312] Number of Jobs Submitted,[345] Number of Jobs Submitted,[88] Number of Jobs Submitted,[94] Number of Jobs Submitted,[113] Number of Jobs Submitted,[127] Number of Jobs Submitted,[210] Number of Jobs Submitted,[220] Number of Jobs Submitted,[47] Number of Jobs Submitted,[84] Number of Jobs Submitted,[196] Number of Jobs Submitted,[500] Number of Jobs Submitted,[4096] Number of Jobs Submitted,[33] Number of Jobs Submitted,[58] Number of Jobs Submitted,[102] Number of Jobs Submitted,[114] Number of Jobs Submitted,[121] Number of Jobs Submitted,[255] Number of Jobs Submitted,[37] Number of Jobs Submitted,[56] Number of Jobs Submitted,[78] Number of Jobs Submitted,[99] Number of Jobs Submitted,[140] Number of Jobs Submitted,[155] Number of Jobs Submitted,[161] Number of Jobs Submitted,[245] Number of Jobs Submitted,[1000] Number of Jobs Submitted,[55] Number of Jobs Submitted,[201] Number of Jobs Submitted,[165] Number of Jobs Submitted,[168] Number of Jobs Submitted,[67] Number of Jobs Submitted,[85] Number of Jobs Submitted,[93] Number of Jobs Submitted,[110] Number of Jobs Submitted,[116] Number of Jobs Submitted,[117] Number of Jobs Submitted,[142] Number of Jobs Submitted,[372] Number of Jobs Submitted,[768] Number of Jobs Submitted,[2400] Number of Jobs Submitted,[53] Number of Jobs Submitted,[68] Number of Jobs Submitted,[124] Number of Jobs Submitted,[187] Number of Jobs Submitted,[203] Number of Jobs Submitted,[205] Number of Jobs Submitted,[213] Number of Jobs Submitted,[253] Number of Jobs Submitted,[274] Number of Jobs Submitted,[518] Number of Jobs Submitted,[3000] Number of Jobs Submitted,[43] Number of Jobs Submitted,[46] Number of Jobs Submitted,[57] Number of Jobs Submitted,[111] Number of Jobs Submitted,[133] Number of Jobs Submitted,[149] Number of Jobs Submitted,[185] Number of Jobs Submitted,[190] Number of Jobs Submitted,[197] Number of Jobs Submitted,[236] Number of Jobs Submitted,[241] Number of Jobs Submitted,[243] Number of Jobs Submitted,[300] Number of Jobs Submitted,[450] Number of Jobs Submitted,[3200] Number of Jobs Submitted,[3500] Number of Jobs Submitted,[5625] Number of Jobs Submitted,[62] Number of Jobs Submitted,[71] Number of Jobs Submitted,[95] Number of Jobs Submitted,[118] Number of Jobs Submitted,[129] Number of Jobs Submitted,[138] Number of Jobs Submitted,[164] Number of Jobs Submitted,[195] Number of Jobs Submitted,[234] Number of Jobs Submitted,[341] Number of Jobs Submitted,[350] Number of Jobs Submitted,[689] Number of Jobs Submitted,[700] Number of Jobs Submitted,[720] Number of Jobs Submitted,[861] Number of Jobs Submitted,[91] Number of Jobs Submitted,[188] Number of Jobs Submitted
2013-02-01,5107,96,290,120,70,19,114,45,3,2,42,21,12,63,0,4,0,14,1,8,12,3,8,0,4,3,0,0,3,17,1,20,1,0,0,2,0,0,7,0,0,2,1,0,0,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,6721,84,158,37,44,4,105,28,1,2,59,8,6,13,0,0,0,3,0,15,1,2,11,2,0,8,0,0,0,0,0,7,0,0,2,0,0,0,6,8,0,0,4,0,0,0,4,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,8102,119,307,24,20,9,64,3,1,18,4,5,2,4,0,15,16,0,0,11,0,0,5,0,0,1,1,0,0,0,0,6,0,0,0,0,1,0,9,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,8974,228,493,126,131,102,28,49,1,4,46,20,12,12,0,13,0,1,0,7,12,1,2,0,5,5,2,0,8,4,2,0,0,0,0,7,2,0,0,6,1,0,1,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,7442,195,540,109,158,63,36,44,0,3,17,34,11,43,0,13,3,6,0,8,9,4,6,0,6,12,0,0,4,0,0,4,0,1,0,8,2,0,0,5,1,0,3,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2013-02-06,7370,177,517,57,224,244,69,45,1,10,14,18,6,22,0,23,0,14,0,27,19,9,1,2,5,32,3,0,4,0,0,0,0,0,7,6,8,1,0,4,2,0,10,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,7015,1580,442,154,196,34,58,25,4,5,22,24,20,40,0,20,17,7,0,5,22,22,11,8,2,9,0,0,15,2,4,3,0,0,4,4,4,10,0,3,7,6,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,5643,3116,219,113,138,42,54,21,4,9,21,6,9,33,0,32,6,1,0,8,67,3,18,7,2,8,1,0,3,5,0,1,0,0,3,1,0,0,0,6,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,4,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,5319,219,115,98,91,20,100,15,0,25,8,17,1,12,0,10,0,2,0,7,21,2,32,0,4,1,3,0,1,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,3566,429,740,26,99,126,91,10,0,15,7,48,5,7,0,7,0,12,0,4,42,2,11,0,0,6,2,0,2,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
