Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[16] Number of Jobs Submitted,[4] Number of Jobs Submitted,[5] Number of Jobs Submitted,[8] Number of Jobs Submitted,[64] Number of Jobs Submitted,[3] Number of Jobs Submitted,[9] Number of Jobs Submitted,[6] Number of Jobs Submitted,[32] Number of Jobs Submitted,[7] Number of Jobs Submitted,[24] Number of Jobs Submitted,[10] Number of Jobs Submitted,[48] Number of Jobs Submitted,[18] Number of Jobs Submitted,[37] Number of Jobs Submitted,[12] Number of Jobs Submitted,[17] Number of Jobs Submitted,[256] Number of Jobs Submitted,[128] Number of Jobs Submitted,[30] Number of Jobs Submitted,[13] Number of Jobs Submitted,[15] Number of Jobs Submitted,[25] Number of Jobs Submitted,[74] Number of Jobs Submitted,[80] Number of Jobs Submitted,[20] Number of Jobs Submitted,[82] Number of Jobs Submitted,[14] Number of Jobs Submitted,[40] Number of Jobs Submitted,[11] Number of Jobs Submitted,[36] Number of Jobs Submitted,[27] Number of Jobs Submitted,[100] Number of Jobs Submitted,[181] Number of Jobs Submitted,[50] Number of Jobs Submitted,[244] Number of Jobs Submitted,[157] Number of Jobs Submitted,[1024] Number of Jobs Submitted,[60] Number of Jobs Submitted,[512] Number of Jobs Submitted,[216] Number of Jobs Submitted,[19] Number of Jobs Submitted,[240] Number of Jobs Submitted,[21] Number of Jobs Submitted,[192] Number of Jobs Submitted,[45] Number of Jobs Submitted,[250] Number of Jobs Submitted,[62] Number of Jobs Submitted,[125] Number of Jobs Submitted,[28] Number of Jobs Submitted,[63] Number of Jobs Submitted,[31] Number of Jobs Submitted,[144] Number of Jobs Submitted,[33] Number of Jobs Submitted,[26] Number of Jobs Submitted,[34] Number of Jobs Submitted,[38] Number of Jobs Submitted,[72] Number of Jobs Submitted,[57] Number of Jobs Submitted,[22] Number of Jobs Submitted,[81] Number of Jobs Submitted,[96] Number of Jobs Submitted,[23] Number of Jobs Submitted,[135] Number of Jobs Submitted,[109] Number of Jobs Submitted,[122] Number of Jobs Submitted,[120] Number of Jobs Submitted,[77] Number of Jobs Submitted,[127] Number of Jobs Submitted,[252] Number of Jobs Submitted,[108] Number of Jobs Submitted,[148] Number of Jobs Submitted,[160] Number of Jobs Submitted,[75] Number of Jobs Submitted,[68] Number of Jobs Submitted,[92] Number of Jobs Submitted,[200] Number of Jobs Submitted,[180] Number of Jobs Submitted,[183] Number of Jobs Submitted,[43] Number of Jobs Submitted,[29] Number of Jobs Submitted,[35] Number of Jobs Submitted,[46] Number of Jobs Submitted,[61] Number of Jobs Submitted,[90] Number of Jobs Submitted,[65] Number of Jobs Submitted,[56] Number of Jobs Submitted,[84] Number of Jobs Submitted,[54] Number of Jobs Submitted,[150] Number of Jobs Submitted,[42] Number of Jobs Submitted,[110] Number of Jobs Submitted,[44] Number of Jobs Submitted,[241] Number of Jobs Submitted,[119] Number of Jobs Submitted,[121] Number of Jobs Submitted,[140] Number of Jobs Submitted,[196] Number of Jobs Submitted,[220] Number of Jobs Submitted,[70] Number of Jobs Submitted,[85] Number of Jobs Submitted,[98] Number of Jobs Submitted,[500] Number of Jobs Submitted,[41] Number of Jobs Submitted,[52] Number of Jobs Submitted,[768] Number of Jobs Submitted,[224] Number of Jobs Submitted,[225] Number of Jobs Submitted,[111] Number of Jobs Submitted,[162] Number of Jobs Submitted,[219] Number of Jobs Submitted,[2048] Number of Jobs Submitted,[49] Number of Jobs Submitted,[102] Number of Jobs Submitted,[129] Number of Jobs Submitted,[168] Number of Jobs Submitted,[182] Number of Jobs Submitted,[55] Number of Jobs Submitted,[66] Number of Jobs Submitted,[185] Number of Jobs Submitted,[576] Number of Jobs Submitted,[864] Number of Jobs Submitted,[47] Number of Jobs Submitted,[138] Number of Jobs Submitted,[625] Number of Jobs Submitted,[729] Number of Jobs Submitted,[132] Number of Jobs Submitted,[217] Number of Jobs Submitted,[361] Number of Jobs Submitted,[95] Number of Jobs Submitted,[130] Number of Jobs Submitted,[169] Number of Jobs Submitted,[480] Number of Jobs Submitted,[485] Number of Jobs Submitted,[1000] Number of Jobs Submitted,[165] Number of Jobs Submitted,[172] Number of Jobs Submitted,[282] Number of Jobs Submitted,[430] Number of Jobs Submitted,[39] Number of Jobs Submitted,[78] Number of Jobs Submitted,[101] Number of Jobs Submitted,[124] Number of Jobs Submitted,[226] Number of Jobs Submitted,[450] Number of Jobs Submitted,[76] Number of Jobs Submitted,[107] Number of Jobs Submitted,[112] Number of Jobs Submitted,[190] Number of Jobs Submitted,[237] Number of Jobs Submitted,[242] Number of Jobs Submitted,[506] Number of Jobs Submitted,[640] Number of Jobs Submitted,[86] Number of Jobs Submitted,[104] Number of Jobs Submitted,[147] Number of Jobs Submitted,[161] Number of Jobs Submitted,[187] Number of Jobs Submitted,[210] Number of Jobs Submitted,[420] Number of Jobs Submitted,[641] Number of Jobs Submitted,[51] Number of Jobs Submitted,[73] Number of Jobs Submitted,[123] Number of Jobs Submitted,[126] Number of Jobs Submitted,[136] Number of Jobs Submitted,[146] Number of Jobs Submitted,[170] Number of Jobs Submitted,[218] Number of Jobs Submitted,[330] Number of Jobs Submitted,[638] Number of Jobs Submitted,[176] Number of Jobs Submitted,[248] Number of Jobs Submitted,[255] Number of Jobs Submitted,[280] Number of Jobs Submitted,[300] Number of Jobs Submitted,[350] Number of Jobs Submitted,[375] Number of Jobs Submitted,[384] Number of Jobs Submitted,[470] Number of Jobs Submitted,[83] Number of Jobs Submitted,[105] Number of Jobs Submitted,[113] Number of Jobs Submitted,[115] Number of Jobs Submitted,[133] Number of Jobs Submitted,[154] Number of Jobs Submitted,[155] Number of Jobs Submitted,[156] Number of Jobs Submitted,[164] Number of Jobs Submitted,[166] Number of Jobs Submitted,[201] Number of Jobs Submitted,[208] Number of Jobs Submitted,[211] Number of Jobs Submitted,[245] Number of Jobs Submitted,[288] Number of Jobs Submitted,[310] Number of Jobs Submitted,[340] Number of Jobs Submitted,[400] Number of Jobs Submitted,[407] Number of Jobs Submitted,[410] Number of Jobs Submitted,[422] Number of Jobs Submitted,[435] Number of Jobs Submitted,[484] Number of Jobs Submitted,[490] Number of Jobs Submitted,[827] Number of Jobs Submitted,[53] Number of Jobs Submitted,[59] Number of Jobs Submitted,[67] Number of Jobs Submitted,[88] Number of Jobs Submitted,[114] Number of Jobs Submitted,[143] Number of Jobs Submitted,[151] Number of Jobs Submitted,[167] Number of Jobs Submitted,[188] Number of Jobs Submitted,[194] Number of Jobs Submitted,[222] Number of Jobs Submitted,[232] Number of Jobs Submitted,[243] Number of Jobs Submitted,[249] Number of Jobs Submitted,[251] Number of Jobs Submitted,[259] Number of Jobs Submitted,[290] Number of Jobs Submitted,[320] Number of Jobs Submitted,[321] Number of Jobs Submitted,[345] Number of Jobs Submitted,[360] Number of Jobs Submitted,[370] Number of Jobs Submitted,[386] Number of Jobs Submitted,[391] Number of Jobs Submitted,[437] Number of Jobs Submitted,[440] Number of Jobs Submitted,[460] Number of Jobs Submitted,[481] Number of Jobs Submitted,[513] Number of Jobs Submitted,[519] Number of Jobs Submitted,[900] Number of Jobs Submitted,[99] Number of Jobs Submitted,[212] Number of Jobs Submitted,[1001] Number of Jobs Submitted
2014-02-01,8416,164,260,161,79,103,39,60,4,53,50,439,4,23,3,7,0,12,0,9,29,0,1,2,12,0,0,6,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,9133,502,111,149,13,139,75,46,5,89,26,79,10,45,0,5,0,13,2,4,18,4,11,0,19,0,0,6,0,0,3,0,1,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,3292,394,589,263,10,103,23,61,5,73,45,35,6,48,0,8,0,6,2,19,13,1,9,0,7,0,0,5,0,0,3,5,0,0,0,0,5,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,2092,279,727,127,18,163,26,102,12,9,22,53,3,21,1,2,0,2,0,15,6,2,25,2,5,0,1,10,0,0,6,7,0,2,0,0,4,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,3,0,0,2,0,0,1,0,4,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,11,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,4475,509,326,148,22,216,15,105,5,14,31,7,2,6,2,7,1,61,0,17,5,3,4,0,11,0,5,13,5,0,1,5,0,0,2,0,5,0,0,0,2,0,0,1,0,8,6,0,0,0,0,0,0,0,0,11,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,4866,557,100,169,24,206,22,87,8,35,30,3,2,13,5,5,0,37,1,16,7,0,8,2,7,0,2,13,0,1,1,2,0,0,0,0,4,0,0,0,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,2240,454,109,390,86,311,30,161,17,53,19,19,1,95,0,6,0,25,2,8,4,1,1,21,10,0,0,9,0,0,5,0,0,0,3,1,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,7430,419,130,179,33,72,41,25,7,39,24,2,0,327,2,10,0,64,0,4,2,1,3,65,15,0,0,1,0,0,0,1,0,0,10,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,10386,476,170,173,41,139,28,28,2,18,33,7,2,554,0,4,0,75,0,6,1,3,3,3,22,0,0,6,0,1,0,1,2,0,3,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,4226,513,693,403,50,149,26,64,12,75,53,10,1,20,1,8,0,21,0,6,5,1,4,5,7,0,0,6,0,10,17,0,0,0,1,7,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
