Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[6] Number of Jobs Submitted,[16] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[3] Number of Jobs Submitted,[32] Number of Jobs Submitted,[5] Number of Jobs Submitted,[10] Number of Jobs Submitted,[64] Number of Jobs Submitted,[9] Number of Jobs Submitted,[12] Number of Jobs Submitted,[7] Number of Jobs Submitted,[256] Number of Jobs Submitted,[42] Number of Jobs Submitted,[128] Number of Jobs Submitted,[14] Number of Jobs Submitted,[13] Number of Jobs Submitted,[15] Number of Jobs Submitted,[20] Number of Jobs Submitted,[1024] Number of Jobs Submitted,[17] Number of Jobs Submitted,[11] Number of Jobs Submitted,[48] Number of Jobs Submitted,[24] Number of Jobs Submitted,[512] Number of Jobs Submitted,[40] Number of Jobs Submitted,[80] Number of Jobs Submitted,[30] Number of Jobs Submitted,[18] Number of Jobs Submitted,[36] Number of Jobs Submitted,[96] Number of Jobs Submitted,[120] Number of Jobs Submitted,[217] Number of Jobs Submitted,[100] Number of Jobs Submitted,[25] Number of Jobs Submitted,[50] Number of Jobs Submitted,[126] Number of Jobs Submitted,[22] Number of Jobs Submitted,[28] Number of Jobs Submitted,[72] Number of Jobs Submitted,[23] Number of Jobs Submitted,[33] Number of Jobs Submitted,[70] Number of Jobs Submitted,[125] Number of Jobs Submitted,[144] Number of Jobs Submitted,[60] Number of Jobs Submitted,[200] Number of Jobs Submitted,[142] Number of Jobs Submitted,[121] Number of Jobs Submitted,[163] Number of Jobs Submitted,[63] Number of Jobs Submitted,[450] Number of Jobs Submitted,[240] Number of Jobs Submitted,[19] Number of Jobs Submitted,[127] Number of Jobs Submitted,[160] Number of Jobs Submitted,[21] Number of Jobs Submitted,[27] Number of Jobs Submitted,[150] Number of Jobs Submitted,[56] Number of Jobs Submitted,[181] Number of Jobs Submitted,[26] Number of Jobs Submitted,[65] Number of Jobs Submitted,[188] Number of Jobs Submitted,[250] Number of Jobs Submitted,[38] Number of Jobs Submitted,[216] Number of Jobs Submitted,[192] Number of Jobs Submitted,[34] Number of Jobs Submitted,[57] Number of Jobs Submitted,[62] Number of Jobs Submitted,[35] Number of Jobs Submitted,[75] Number of Jobs Submitted,[76] Number of Jobs Submitted,[29] Number of Jobs Submitted,[61] Number of Jobs Submitted,[45] Number of Jobs Submitted,[69] Number of Jobs Submitted,[185] Number of Jobs Submitted,[480] Number of Jobs Submitted,[90] Number of Jobs Submitted,[102] Number of Jobs Submitted,[37] Number of Jobs Submitted,[157] Number of Jobs Submitted,[81] Number of Jobs Submitted,[31] Number of Jobs Submitted,[66] Number of Jobs Submitted,[165] Number of Jobs Submitted,[53] Number of Jobs Submitted,[135] Number of Jobs Submitted,[54] Number of Jobs Submitted,[225] Number of Jobs Submitted,[43] Number of Jobs Submitted,[55] Number of Jobs Submitted,[224] Number of Jobs Submitted,[44] Number of Jobs Submitted,[52] Number of Jobs Submitted,[82] Number of Jobs Submitted,[112] Number of Jobs Submitted,[108] Number of Jobs Submitted,[158] Number of Jobs Submitted,[187] Number of Jobs Submitted,[252] Number of Jobs Submitted,[137] Number of Jobs Submitted,[640] Number of Jobs Submitted,[864] Number of Jobs Submitted,[77] Number of Jobs Submitted,[92] Number of Jobs Submitted,[118] Number of Jobs Submitted,[500] Number of Jobs Submitted,[39] Number of Jobs Submitted,[41] Number of Jobs Submitted,[49] Number of Jobs Submitted,[140] Number of Jobs Submitted,[176] Number of Jobs Submitted,[244] Number of Jobs Submitted,[255] Number of Jobs Submitted,[960] Number of Jobs Submitted,[2000] Number of Jobs Submitted,[46] Number of Jobs Submitted,[116] Number of Jobs Submitted,[136] Number of Jobs Submitted,[196] Number of Jobs Submitted,[300] Number of Jobs Submitted,[103] Number of Jobs Submitted,[208] Number of Jobs Submitted,[238] Number of Jobs Submitted,[600] Number of Jobs Submitted,[800] Number of Jobs Submitted,[68] Number of Jobs Submitted,[98] Number of Jobs Submitted,[122] Number of Jobs Submitted,[138] Number of Jobs Submitted,[197] Number of Jobs Submitted,[234] Number of Jobs Submitted,[400] Number of Jobs Submitted,[1000] Number of Jobs Submitted,[1728] Number of Jobs Submitted,[51] Number of Jobs Submitted,[71] Number of Jobs Submitted,[78] Number of Jobs Submitted,[99] Number of Jobs Submitted,[132] Number of Jobs Submitted,[152] Number of Jobs Submitted,[168] Number of Jobs Submitted,[325] Number of Jobs Submitted,[58] Number of Jobs Submitted,[73] Number of Jobs Submitted,[88] Number of Jobs Submitted,[94] Number of Jobs Submitted,[97] Number of Jobs Submitted,[109] Number of Jobs Submitted,[110] Number of Jobs Submitted,[119] Number of Jobs Submitted,[133] Number of Jobs Submitted,[148] Number of Jobs Submitted,[169] Number of Jobs Submitted,[172] Number of Jobs Submitted,[179] Number of Jobs Submitted,[183] Number of Jobs Submitted,[220] Number of Jobs Submitted,[230] Number of Jobs Submitted,[235] Number of Jobs Submitted,[384] Number of Jobs Submitted,[547] Number of Jobs Submitted,[570] Number of Jobs Submitted,[576] Number of Jobs Submitted,[850] Number of Jobs Submitted,[4000] Number of Jobs Submitted,[47] Number of Jobs Submitted,[79] Number of Jobs Submitted,[83] Number of Jobs Submitted,[85] Number of Jobs Submitted,[95] Number of Jobs Submitted,[107] Number of Jobs Submitted,[117] Number of Jobs Submitted,[123] Number of Jobs Submitted,[130] Number of Jobs Submitted,[149] Number of Jobs Submitted,[151] Number of Jobs Submitted,[175] Number of Jobs Submitted,[177] Number of Jobs Submitted,[204] Number of Jobs Submitted,[211] Number of Jobs Submitted,[213] Number of Jobs Submitted,[229] Number of Jobs Submitted,[274] Number of Jobs Submitted,[350] Number of Jobs Submitted,[455] Number of Jobs Submitted,[464] Number of Jobs Submitted,[475] Number of Jobs Submitted,[481] Number of Jobs Submitted,[520] Number of Jobs Submitted,[550] Number of Jobs Submitted,[768] Number of Jobs Submitted,[813] Number of Jobs Submitted,[827] Number of Jobs Submitted,[900] Number of Jobs Submitted,[928] Number of Jobs Submitted,[963] Number of Jobs Submitted,[2048] Number of Jobs Submitted,[3712] Number of Jobs Submitted,[59] Number of Jobs Submitted,[67] Number of Jobs Submitted,[74] Number of Jobs Submitted,[84] Number of Jobs Submitted,[87] Number of Jobs Submitted,[105] Number of Jobs Submitted,[124] Number of Jobs Submitted,[129] Number of Jobs Submitted,[139] Number of Jobs Submitted,[141] Number of Jobs Submitted,[153] Number of Jobs Submitted,[154] Number of Jobs Submitted,[198] Number of Jobs Submitted,[203] Number of Jobs Submitted,[210] Number of Jobs Submitted,[219] Number of Jobs Submitted,[222] Number of Jobs Submitted,[226] Number of Jobs Submitted,[232] Number of Jobs Submitted,[242] Number of Jobs Submitted,[251] Number of Jobs Submitted,[321] Number of Jobs Submitted,[544] Number of Jobs Submitted,[648] Number of Jobs Submitted,[875] Number of Jobs Submitted,[896] Number of Jobs Submitted,[1856] Number of Jobs Submitted
2015-02-01,899,1159,15,421,331,118,144,47,30,3,21,150,23,70,11,0,7,10,16,9,5,6,0,69,17,13,2,1,82,13,1,0,8,4,0,0,10,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,1614,823,37,285,386,240,196,127,15,7,54,13,23,1,32,0,36,5,24,4,18,17,2,0,7,14,17,16,0,3,7,5,17,8,0,0,17,6,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,1690,923,46,454,357,209,618,49,63,10,43,30,34,10,30,0,33,7,16,4,13,9,2,1,1,13,8,11,0,7,0,7,40,32,0,0,1,8,12,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,10,0,0,0,0,0,9,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,1810,590,28,287,248,153,443,69,18,7,23,13,18,5,17,0,24,7,26,2,23,8,8,0,4,6,7,7,1,7,3,1,2,9,0,0,1,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,1831,429,38,275,223,115,81,79,15,47,18,2,12,3,61,0,12,2,1,8,10,20,61,2,0,1,20,30,0,2,2,3,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,1165,396,28,191,310,138,66,23,22,76,15,4,1,10,14,0,12,9,1,0,5,10,30,1,1,0,11,3,0,1,4,4,1,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,621,485,56,221,152,115,26,17,8,108,13,49,5,1,58,0,3,2,1,3,2,3,89,0,1,12,1,2,0,1,2,1,1,0,0,1,0,2,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,1546,683,13,414,247,149,25,59,10,16,21,19,22,4,38,0,23,4,2,2,11,11,4,0,1,11,11,2,7,2,0,1,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,2305,580,50,320,382,152,57,76,34,160,57,14,2,25,42,0,30,11,2,6,29,26,3,3,5,1,23,11,1,5,0,16,4,5,0,1,1,2,28,5,0,1,4,2,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,2,0,1,0,0,0,3,5,0,0,0,1,0,0,0,1,3,4,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,322,263,4,83,37,33,3,31,0,22,8,4,0,2,6,0,3,6,0,5,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,1013,181,17,210,109,55,25,10,12,1,4,6,5,2,1,0,0,0,1,2,0,15,0,2,1,2,18,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
