Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[3] Number of Jobs Submitted,[16] Number of Jobs Submitted,[6] Number of Jobs Submitted,[32] Number of Jobs Submitted,[10] Number of Jobs Submitted,[5] Number of Jobs Submitted,[102] Number of Jobs Submitted,[9] Number of Jobs Submitted,[15] Number of Jobs Submitted,[12] Number of Jobs Submitted,[20] Number of Jobs Submitted,[30] Number of Jobs Submitted,[24] Number of Jobs Submitted,[7] Number of Jobs Submitted,[64] Number of Jobs Submitted,[11] Number of Jobs Submitted,[18] Number of Jobs Submitted,[51] Number of Jobs Submitted,[14] Number of Jobs Submitted,[27] Number of Jobs Submitted,[95] Number of Jobs Submitted,[13] Number of Jobs Submitted,[17] Number of Jobs Submitted,[19] Number of Jobs Submitted,[28] Number of Jobs Submitted,[98] Number of Jobs Submitted,[128] Number of Jobs Submitted,[22] Number of Jobs Submitted,[26] Number of Jobs Submitted
2013-08-01,1015,200,20,5,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,431,92,17,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-03,278,67,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,268,68,17,11,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-05,514,167,20,10,4,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-06,1090,157,13,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-07,2094,160,8,13,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,918,198,19,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,696,147,19,21,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,129,51,5,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-11,165,39,5,18,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-12,993,169,6,7,2,23,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-13,1391,154,9,6,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-14,766,180,11,6,12,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-15,1134,121,12,3,5,2,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
