title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-02-01,2011-07-31
---------
Day,"[208] Wait Hours: Per Job","[768] Wait Hours: Per Job","[1440] Wait Hours: Per Job","[800] Wait Hours: Per Job","[240] Wait Hours: Per Job","[224] Wait Hours: Per Job","[112] Wait Hours: Per Job","[192] Wait Hours: Per Job","[160] Wait Hours: Per Job","[320] Wait Hours: Per Job","[1024] Wait Hours: Per Job","[512] Wait Hours: Per Job","[144] Wait Hours: Per Job","[480] Wait Hours: Per Job","[384] Wait Hours: Per Job","[256] Wait Hours: Per Job","[64] Wait Hours: Per Job","[128] Wait Hours: Per Job","[80] Wait Hours: Per Job","[48] Wait Hours: Per Job","[288] Wait Hours: Per Job","[400] Wait Hours: Per Job","[96] Wait Hours: Per Job","[16] Wait Hours: Per Job","[32] Wait Hours: Per Job","[1008] Wait Hours: Per Job"
2011-02-01,0,0,0,0,0,0,0,0,0.00056667,0,0,0,0.00000000,0,0,0,0.00049091,0.00766296,0.00060000,0.00030000,0,0,0,0.01868693,0.00734844,0
2011-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05449515,0.01604167,0.14630625,0.00312500,0.05720000,0,0,2.19720000,0.06210583,0.06427022,0
2011-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94860000,0.00070000,0.41065000,1.21170000,0,0,0,0.00000000,1.31184534,0.20332500,0
2011-02-04,0,0,0,0,0,0,0,0.00060000,0,0,0,0,0,0,0,0.15060000,0.00056667,0.07267333,0.11595000,0,0,0,0.13640000,0.45811765,0,0
2011-02-05,0,0,0,0,0,0,0,3.22940000,0,0,0,0,0,0,0,0,0.00044000,0.00074667,0,0,0,0,0,0.00087714,0.00152857,0
2011-02-06,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0.00416364,0,0.00066667,0,0,0,0,0.00110000,0.00125909,0.00112564,0
2011-02-07,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0.00073333,0,0.17270000,0,0.01980000,0,0,0.00042500,0.00878235,0.11557273,0
2011-02-08,0,0,0,0,0,0,8.55080000,98.78140000,0,0,0,0,0,0,0,0.00120000,0.00080000,3.82532500,0,0.69390000,0,0,0,0.09502867,3.32721111,0
2011-02-09,0,0,0,0,0,0,8.01235000,0.00000000,0,0,0,0,0,0,0,0.00060000,0,22.66880000,22.49770000,0,0,0,15.00060000,0.37465962,0.11074091,0
2011-02-10,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00060000,0,0,0,0.04830000,0.31740000,0.03206000,0,0,0,0,0,3.31921500,0.00045000,0
2011-02-11,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00000000,0,0,0,92.84220000,0.05618667,20.62368571,21.28390000,0,0,0,0,0.04068802,0.08216250,0
2011-02-12,0,0,0,0,0,0.00040000,0,0,0,0,0,0.00045000,0,0,0,0.00060000,0,0.00060000,0,0,0,0,0,0.02245833,0.21009375,0
2011-02-13,0,0,0,0,0,0.00030000,0,0,0,0,0,0.00060000,0,0,0,3.37665000,0,0.00000000,0,0,0,0,0,0.00060000,0.00869268,0
2011-02-14,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0.13360000,0.00037500,0.00060000,0,0,0,0,0,0.00055172,0.00054079,0
2011-02-15,0,0,0,0,0,0,0,0,0,0,0,0.00620000,0,0,0,0.00080000,0.22924000,0.00000000,0,0,0,0,0,0.14159681,0.26125493,0
2011-02-16,0,0,0,0,0,0,0,0,0,0,1.79095000,0.00000000,0,0,0,0.00000000,9.10835000,39.80820000,0,0,0,0,0,0.80964327,0.52462219,0
2011-02-17,0,0,0,0,0,0,0,0,0,0,0.01415000,0.04430000,0,0,0,10.40680000,0.06750769,0.10635758,0,0,0,0,0,0.53307255,2.29999895,0
2011-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045000,0.00000000,0.40508235,0,0,0,0,0,0.12924681,0.30642703,0
2011-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045000,0.00040000,0.00030000,0,0,0,0,0,0.00263836,0.00048571,0
2011-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055000,0.00030000,0,0,0,0,0,0.00182903,0.00085000,0
2011-02-21,0,0,0,0,0.00056667,0,0,0,0,0,1.40295000,0,0,0,0,0,0.00314800,0.00000000,0,0,0,0,0,0.08996667,1.11202500,0
2011-02-22,0,0,0,0,0.00000000,0,0,0,0,0,5.59250000,0,0.00132222,0,0,0,0.01336250,0,0,0.08376154,2.44667500,0,0.00055000,0.20172857,0.03960000,0
2011-02-23,0,0,0,0,50.53500000,0,0,0,0,0,0,0,0,0,0,0,1.76605000,54.65670000,0,0,0,0,0.00000000,2.32576111,0,0
2011-02-24,0,0,0,0,75.40595000,0,0,0,0,0,2.14610000,0,0,0,0,0,2.21371471,0.76170000,0,0,1.47776667,0,17.09805000,2.91298571,0,0
2011-02-25,0,0,0,0,0.00000000,0,0,0,0,0,0.06490000,0,0,0,0,0,1.00649000,4.01360000,0,3.17940000,0,0,0.00000000,2.37357083,0.62073000,0
2011-02-26,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00055000,0.00040000,0.01248333,0,0.00060000,0,0,0,0.22950000,0.00058333,0
