title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2012-02-01,2012-07-31
---------
Day,"[1920] Wait Hours: Per Job","[208] Wait Hours: Per Job","[1248] Wait Hours: Per Job","[1040] Wait Hours: Per Job","[912] Wait Hours: Per Job","[320] Wait Hours: Per Job","[608] Wait Hours: Per Job","[240] Wait Hours: Per Job","[1024] Wait Hours: Per Job","[80] Wait Hours: Per Job","[176] Wait Hours: Per Job","[448] Wait Hours: Per Job","[288] Wait Hours: Per Job","[640] Wait Hours: Per Job","[96] Wait Hours: Per Job","[384] Wait Hours: Per Job","[16] Wait Hours: Per Job","[160] Wait Hours: Per Job","[112] Wait Hours: Per Job","[480] Wait Hours: Per Job","[224] Wait Hours: Per Job","[64] Wait Hours: Per Job","[128] Wait Hours: Per Job","[512] Wait Hours: Per Job","[576] Wait Hours: Per Job","[768] Wait Hours: Per Job","[352] Wait Hours: Per Job","[32] Wait Hours: Per Job","[256] Wait Hours: Per Job","[144] Wait Hours: Per Job","[272] Wait Hours: Per Job","[48] Wait Hours: Per Job","[304] Wait Hours: Per Job","[192] Wait Hours: Per Job","[400] Wait Hours: Per Job","[528] Wait Hours: Per Job","[8] Wait Hours: Per Job","[1536] Wait Hours: Per Job","[816] Wait Hours: Per Job","[848] Wait Hours: Per Job"
2012-02-01,0,0,0,0,0,92.79337500,0,77.47320000,0,0,0,0,0,0,9.76931250,135.78500000,48.44020370,0,0,0,0,9.85257391,11.82962500,0,0,0,0,13.29645135,2.30125000,0,0,13.65111250,0,39.84080000,0,0,0,0,0,0
2012-02-02,0,0,0,0,0,98.12458966,0,27.96622857,12.16170000,29.14140000,0,0,0,0,1.34960000,0.00000000,83.47950988,0,0,0,0,7.35237826,15.07282308,0,6.96305000,0,0,3.00312364,0.00330000,0,0.11280000,6.95057826,0,0.00170000,0.76695000,0,0,0,0,0
2012-02-03,0,0,0,0,0,7.09440000,0,0,4.61060000,0.00140000,0,0,0,0,0.01183333,0.00000000,50.63068378,4.61890000,0,0,0,15.33654773,13.08140000,0,0,0,0,4.51650000,0,0,0.00000000,2.29425000,0,0.00000000,0.00125000,0,0,0,0,0
2012-02-04,0,0,0,0,0,21.66583333,0,0,0,0.00000000,0,0,0,0,8.72830000,0,40.01741493,0,2.70815000,0,0,9.48359167,0.00155000,0,0,0,0,10.93241765,3.56970000,0,0,17.98955000,0,0,0.00000000,0,0,0,0,0
2012-02-05,0,0,0,0,0,33.16700000,0,0,0,0.00000000,0,0,0,0,0.84190000,0,66.02790513,0,0.00000000,0,0,23.91089130,2.01780000,0,0,0,0,0.56985833,0,0,3.75170000,17.44790000,0,0,0.00000000,0,0,0,0,0
2012-02-06,0,0,0,0,0,35.08613750,0,11.58544286,0,0.00000000,0,0,0,0,0.95500000,0,28.48105263,0,0,0,0,11.93209697,4.77117500,0,26.49640000,0,0,3.92925758,0,0,0,9.40837143,0,0,0.00000000,0,0,0,0,0
2012-02-07,0,0,0,0,0,8.74512941,0,19.62672000,0,0.00000000,0,0,0,0,2.32863333,0,51.94874865,0,0,0,0,4.53914375,1.24860000,0,0,0,0,5.62814545,0,0,34.83190000,0.85030000,0,0,0,0,0,0,0,0
2012-02-08,0,0,0,0,0,28.57721667,0,59.22703333,32.57000000,0,0,0,0,0,5.74770000,0,36.69966600,5.20220000,0,0,0,11.69423684,13.09946667,0,0,0,0,14.21430769,0,0,0.09470000,5.72747324,0,9.77525000,0,0,0,0,0,0
2012-02-09,0,0,0,0,0,54.64152500,0,9.02823333,18.30930000,37.01060000,0,0,0,0,18.70915000,0,37.74618136,7.73030000,0,0,0,13.17022558,8.71410000,0,0,0,0,8.16349130,11.50406667,0,0.00000000,14.01848148,0,5.53000000,0,0,0,0,0,0
2012-02-10,0,0,0,0,0,63.85739000,0,21.62337143,10.64080000,0.00000000,0,0,0,0,1.27560000,0,22.59838529,0.22026667,0,0,0,8.77440476,6.67206000,0,0,0,0,2.72980811,1.66440000,0,1.24580000,20.04600750,0,0.00000000,0,0,0,0,0,0
2012-02-11,0,0,0,0,0,63.16078000,0,0,0,0.00000000,0,0,0,0,0,0,50.64056552,2.52765000,0.19970000,0,0,10.88951250,8.27416667,0,0,0,0,5.59132083,7.95830000,0,0.00000000,11.46750000,0,17.14780000,0,0,0,0,0,0
