title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2012-08-01,2013-01-31
---------
Day,"[976] Wait Hours: Per Job","[640] Wait Hours: Per Job","[1024] Wait Hours: Per Job","[464] Wait Hours: Per Job","[720] Wait Hours: Per Job","[608] Wait Hours: Per Job","[448] Wait Hours: Per Job","[128] Wait Hours: Per Job","[656] Wait Hours: Per Job","[1008] Wait Hours: Per Job","[384] Wait Hours: Per Job","[1440] Wait Hours: Per Job","[800] Wait Hours: Per Job","[576] Wait Hours: Per Job","[480] Wait Hours: Per Job","[512] Wait Hours: Per Job","[256] Wait Hours: Per Job","[208] Wait Hours: Per Job","[16] Wait Hours: Per Job","[64] Wait Hours: Per Job","[672] Wait Hours: Per Job","[1040] Wait Hours: Per Job","[1200] Wait Hours: Per Job","[32] Wait Hours: Per Job","[192] Wait Hours: Per Job","[160] Wait Hours: Per Job","[144] Wait Hours: Per Job","[560] Wait Hours: Per Job","[48] Wait Hours: Per Job","[112] Wait Hours: Per Job","[688] Wait Hours: Per Job","[400] Wait Hours: Per Job","[1296] Wait Hours: Per Job","[80] Wait Hours: Per Job","[1968] Wait Hours: Per Job","[848] Wait Hours: Per Job","[496] Wait Hours: Per Job","[96] Wait Hours: Per Job","[240] Wait Hours: Per Job","[176] Wait Hours: Per Job","[304] Wait Hours: Per Job","[272] Wait Hours: Per Job","[336] Wait Hours: Per Job","[224] Wait Hours: Per Job","[320] Wait Hours: Per Job","[8] Wait Hours: Per Job","[1312] Wait Hours: Per Job","[368] Wait Hours: Per Job","[912] Wait Hours: Per Job","[544] Wait Hours: Per Job"
2012-08-01,0,0,0,0,0,0,0,1.88698750,0,0,0,0,0.00140000,0,0,0,0.00152500,0,1.25149474,6.57779211,0,0,0,0.80569540,0,0,0,0,0.03826667,0,0,0,0,125.72890000,0,2.71640000,0,0,0,0,0,0.00000000,0,0,0.00070000,0.00000000,0,0,0,0.00080000
2012-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,53.82030000,5.99640000,0,27.25123077,88.27550000,0,0,0,27.01824842,0,0,0,0,21.07077333,0,0,0,0,0,0,11.71875000,0,18.34780000,0,0,0,0,0,0,0,0.00000000,0,0,0,0.00000000
2012-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,3.62945000,0,31.71905663,25.82093636,0,0,0,5.70054308,0,0,0,0,0.00118333,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0.00030000,0,0,0,0
2012-08-04,0,0,0,0,0,0,0,0,0,0,0,26.58190000,0,0,0,0.00000000,0,0,61.36583000,28.76170000,0,0,0,49.82691667,0,0,0,0,29.89690000,0,0,0,0,0,0,0.00000000,0,21.69860000,0,0,0,0,0,0,0,0.00000000,0,0,0,0
2012-08-05,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,49.94470000,0,51.20452857,47.64655000,0,0,0,37.77010000,0,0,0,0,3.46231667,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,0,0,133.36420000,0,0,0,0,49.06560000,0,0,0,0.00000000,0,0,0,0,23.27400000,0,44.78040732,44.39647143,0,0,0,45.92789848,0,90.37830000,0,0,39.77724444,7.29060000,0,0,0,0,0,0.00170000,0,0.00000000,0,0,0,3.54780000,0,0,0,0,0,0,0,0
2012-08-07,0,0,0.00000000,0,0,0,0,10.28310000,0,0,0,0,0,0,0,0,46.97125000,0,21.45535263,49.63733333,0,0,0,36.18769394,0,0,0,0,6.61317647,0.00000000,0,0,0,0,0,0.00000000,0,0,0,0,0,12.94703333,0,0,0,2.59360000,0,0,0,0
2012-08-08,0,0,0.00000000,0,0,33.19360000,0,52.02665000,0,0,0,0,0,0,0,186.10560000,31.65320000,0,35.53297273,35.84486250,0,0,0,56.14429333,0,53.48970000,0,0,12.52223333,0,0,0,0,0,0,0.00140000,0,0,0,0,0,11.68670000,0,0,0,1.11312222,0,0,0,0
2012-08-09,0,0,0,0,0,0,0,356.60665000,0,0,0,0,0,0,0,49.26530000,44.52255000,0,27.89733378,44.54737826,0,0,0,54.47213333,0,0,0,0,20.91362500,7.36920000,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0.97750000,0,0,0,0
2012-08-10,0,43.32000000,227.36560000,0,0,15.67190000,0,73.93106000,0,0,0,0,0,0,0,0.00000000,16.88208333,0,24.58919078,42.31756087,0,0,0,20.17138919,0,0,0,0,0.22855714,0,0,0,0,0,0,0.00250000,0,32.58440000,0,0,0,0,0,0,0,0.00500000,0,0,0,0
2012-08-11,0,0,254.21470000,0,0,0,0,127.16030000,0,0,0,0,0,0,0,0,71.40555000,0,7.98369524,2.87680833,0,0,0,36.61431333,0,0,0,0,1.51440000,0,0,0,0,0,0,0.00000000,0,5.84420000,0,0,0,0,0,0,0,17.93830000,0,0,0,0
2012-08-12,0,0,0.00000000,0,0,0,0,0.00000000,0,0,0,0,52.07560000,0,0,0,132.89080000,0,33.21800268,25.33333846,0,0,0,16.60967647,0,0,0,0,0.70170000,0,0,0,0,0,0,13.84580000,0,12.41190000,0,0,0,0,0,0,0,0.00000000,0,0,0,0
2012-08-13,0,0,0,0,0,78.55560000,0,75.93012000,0,0,0,0,0.00000000,0,0,0,35.78255000,0,24.59036667,16.81499524,0,0,0,48.10878000,0,0,0,0,19.74967500,0,0,0,0,0,0,12.70030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-14,0,0,0,0,0,0.00000000,0,67.07000000,0,0,0,0,0,0,0,0,68.24546667,0,14.31628776,51.50949231,0,0,0,14.19115667,0,0,0,0,3.31338571,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,7.37860000,0.00000000,0,0,0,0
2012-08-15,0,0,124.58500000,0,0,0.00000000,0,0.00080000,0,0,0,0,0,0,0,0.00110000,0.00000000,0,11.67837059,21.82200000,0,0,0,45.74961111,0,0,0,0,9.22603333,0,0,0,0,0,0,0.00110000,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0
