title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2014-02-01,2014-07-31
---------
Day,"[352] Wait Hours: Per Job","[176] Wait Hours: Per Job","[480] Wait Hours: Per Job","[688] Wait Hours: Per Job","[640] Wait Hours: Per Job","[800] Wait Hours: Per Job","[288] Wait Hours: Per Job","[208] Wait Hours: Per Job","[1024] Wait Hours: Per Job","[448] Wait Hours: Per Job","[400] Wait Hours: Per Job","[512] Wait Hours: Per Job","[416] Wait Hours: Per Job","[768] Wait Hours: Per Job","[256] Wait Hours: Per Job","[384] Wait Hours: Per Job","[320] Wait Hours: Per Job","[224] Wait Hours: Per Job","[304] Wait Hours: Per Job","[112] Wait Hours: Per Job","[160] Wait Hours: Per Job","[48] Wait Hours: Per Job","[240] Wait Hours: Per Job","[192] Wait Hours: Per Job","[128] Wait Hours: Per Job","[32] Wait Hours: Per Job","[16] Wait Hours: Per Job","[96] Wait Hours: Per Job","[496] Wait Hours: Per Job","[64] Wait Hours: Per Job","[144] Wait Hours: Per Job","[80] Wait Hours: Per Job","[976] Wait Hours: Per Job","[880] Wait Hours: Per Job","[272] Wait Hours: Per Job","[368] Wait Hours: Per Job","[576] Wait Hours: Per Job","[848] Wait Hours: Per Job","[1600] Wait Hours: Per Job","[1360] Wait Hours: Per Job","[672] Wait Hours: Per Job","[1840] Wait Hours: Per Job","[336] Wait Hours: Per Job","[960] Wait Hours: Per Job","[1872] Wait Hours: Per Job","[1904] Wait Hours: Per Job","[1520] Wait Hours: Per Job","[1760] Wait Hours: Per Job","[912] Wait Hours: Per Job","[1312] Wait Hours: Per Job","[1680] Wait Hours: Per Job","[1856] Wait Hours: Per Job","[1776] Wait Hours: Per Job"
2014-02-01,0,0,0,0,0,0,0,0,0,0,8.41016667,32.06170000,0,0,4.78610000,0,0,0,0,0,0,0.00000000,0,5.20716000,3.51367143,0.84694516,1.29929091,3.65144286,0,0.02990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24030000,0,0,0,0,0,0,0.00000000,0,3.00197000,0.05960000,0.32753103,0.02910217,0.00000000,0,0.00378333,0,0.00060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,0,0,0,0,0,0,0,0,0,0,0,0.00130000,0,0,8.30623846,0,0,0,0,0,0,0.20378000,0,3.15500000,24.16508571,0.51613621,0.29499200,0.00030000,0,2.51840000,0.00155000,0.00045000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98686667,0,0,0,0,0,0,0.00000000,0,0,1.13430000,0.09411667,0.33483119,0.00000000,0,0.17627647,0,0.00060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170000,0,0,0,0,0,0,0.00563200,0,0,0.14030000,0.05256970,0.62171691,0.00000000,0,2.27658667,0,0.00060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31603333,0,0,0,0,0,0,0.20132500,0,0,5.64455000,0.42367000,1.20251803,0.00000000,0,1.84030000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06475000,0,0,0,0,0,0,3.06880000,0,0,4.21986250,0.63775000,0.15912826,2.31882500,0,1.09322143,0,5.52765000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155000,0,0,0,0,0,0,0.00342500,0,0,0.03622000,0.00585714,1.49360780,3.81500000,0,0.00070000,0,0.00030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63670000,0,0,0,0,0,0,0.06346154,0,0,0.00096000,0.03080263,2.50717333,0.00070000,0,0.00000000,0,1.34022000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37747143,0,0,0,0,0,0.13600000,0.98693333,0,0.00140000,3.84690000,0.36470714,2.73755854,0.00126667,0,2.27193846,0,1.15180000,0,0,0,0,8.84170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26973333,0,1.16290000,0,0,0,0.07150000,0.13004000,0,0,0.89510000,1.24894000,0.21770875,3.55110000,0,0.68403846,0,0.00000000,0,0,0,0,0.18568824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55015000,0,0,0,0,0,17.02030000,3.74154615,0,0,0.03280000,3.10623636,0.80073000,16.85860000,0,1.97129000,0,0.03500000,0,0,0,0,12.08330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040000,0.00000000,0,0,0,0,0,0,1.90697000,0,0,0.17568571,1.79152031,1.05195896,24.08720000,0,1.48524400,0,0,0,0,0,0,0.00080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
