title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2012-02-01,2012-07-31
---------
Day,"[16] Wait Hours: Per Job","[24] Wait Hours: Per Job","[1] Wait Hours: Per Job","[63] Wait Hours: Per Job","[14] Wait Hours: Per Job","[32] Wait Hours: Per Job","[20] Wait Hours: Per Job","[64] Wait Hours: Per Job","[3] Wait Hours: Per Job","[10] Wait Hours: Per Job","[5] Wait Hours: Per Job","[15] Wait Hours: Per Job","[13] Wait Hours: Per Job","[6] Wait Hours: Per Job","[11] Wait Hours: Per Job","[4] Wait Hours: Per Job","[30] Wait Hours: Per Job","[35] Wait Hours: Per Job","[50] Wait Hours: Per Job","[36] Wait Hours: Per Job","[2] Wait Hours: Per Job","[9] Wait Hours: Per Job","[40] Wait Hours: Per Job","[8] Wait Hours: Per Job","[7] Wait Hours: Per Job","[12] Wait Hours: Per Job","[25] Wait Hours: Per Job","[18] Wait Hours: Per Job","[29] Wait Hours: Per Job","[38] Wait Hours: Per Job","[51] Wait Hours: Per Job","[60] Wait Hours: Per Job","[26] Wait Hours: Per Job","[48] Wait Hours: Per Job","[21] Wait Hours: Per Job","[17] Wait Hours: Per Job","[33] Wait Hours: Per Job","[31] Wait Hours: Per Job","[57] Wait Hours: Per Job","[28] Wait Hours: Per Job"
2012-03-05,0.00045000,0,0.00395769,0,0,0.00030000,0,0.00042500,0.00024000,0.00045000,0.00035000,0,0,0,0,0.00020000,0,0,0,0,0.00020000,0.00030000,0,0.00022500,0,0,0,0,0,0,0,0,0,0,0,0.00050000,0.00020000,0,0,0
2012-03-06,0.00035000,0.00015000,0.00215926,0,0,0.00030000,0,0.00030000,0.00030000,0.00010000,0.00000000,0,0,0,0,0.00032000,0,0,0,0,0.00025949,0.00000000,0,0.00030000,0,0,0,0,0,0,0,0,0,0,0,0.00060000,0.00000000,0,0,0
2012-03-07,0.00030000,0.00032857,0.00109600,0,0,0,0,0.00790000,0,0.00030000,0,0,0,0,0.00030000,0.00030000,0,0,0,0,0.00018710,0.00045000,0,0,0,0,0,0,0,0,0,0,0,0,0.00030000,0.00000000,0.00060000,0,0,0
2012-03-08,0.00035000,0.00020000,0.47019231,0,0,0.00036250,0,0.00043333,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00031026,0.00015000,0,0.00030000,0,0.00036667,0,0,0,0,0,0,0,0,0,0.00060000,0.00030000,0,0,0
2012-03-09,0.00062500,0.00036000,0.00135714,0,0,0.00020000,0,0.00023333,0,0,0,0,0,0,0,0,0,0,0,0,0.00022000,0,0,0.00077500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,0.00000000,0.01340000,1.73689667,0,0,0.00030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026500,0,0,0.00031429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,0.00035000,0.00030000,0.00165000,0,0,0.00070000,0,0.00030000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0.00103333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,0.00042500,0.00015000,0.11170385,0,0,0.00046000,0,0.00060000,0,0.00030000,0,0,0,0,0,0,0,0,0,0,0.00022500,0,0,0.00240667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,0.00040000,0.00060000,0.02935894,0,0,0.00000000,0,0.01796667,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0.00028750,0,0,0.00035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,0.00015000,0.00038000,0.00165909,0,0,0.01237692,0,0,0,0.00036667,0,0,0,0,0,0.00026000,0,0,0,0,0.00020000,0,0,0.00015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
