title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-02-01,2014-07-31
---------
Day,"[31] Wait Hours: Per Job","[12] Wait Hours: Per Job","[16] Wait Hours: Per Job","[8] Wait Hours: Per Job","[4] Wait Hours: Per Job","[15] Wait Hours: Per Job","[20] Wait Hours: Per Job","[14] Wait Hours: Per Job","[10] Wait Hours: Per Job","[32] Wait Hours: Per Job","[26] Wait Hours: Per Job","[1] Wait Hours: Per Job","[6] Wait Hours: Per Job","[18] Wait Hours: Per Job","[22] Wait Hours: Per Job","[19] Wait Hours: Per Job","[25] Wait Hours: Per Job","[27] Wait Hours: Per Job","[5] Wait Hours: Per Job","[3] Wait Hours: Per Job","[61] Wait Hours: Per Job","[7] Wait Hours: Per Job","[38] Wait Hours: Per Job","[2] Wait Hours: Per Job","[11] Wait Hours: Per Job","[13] Wait Hours: Per Job","[128] Wait Hours: Per Job","[63] Wait Hours: Per Job","[120] Wait Hours: Per Job","[9] Wait Hours: Per Job","[30] Wait Hours: Per Job","[24] Wait Hours: Per Job","[60] Wait Hours: Per Job","[23] Wait Hours: Per Job","[64] Wait Hours: Per Job","[81] Wait Hours: Per Job","[28] Wait Hours: Per Job","[71] Wait Hours: Per Job","[100] Wait Hours: Per Job","[37] Wait Hours: Per Job","[43] Wait Hours: Per Job","[72] Wait Hours: Per Job","[50] Wait Hours: Per Job","[56] Wait Hours: Per Job","[42] Wait Hours: Per Job","[73] Wait Hours: Per Job","[78] Wait Hours: Per Job","[52] Wait Hours: Per Job","[75] Wait Hours: Per Job","[40] Wait Hours: Per Job","[102] Wait Hours: Per Job","[45] Wait Hours: Per Job","[33] Wait Hours: Per Job","[96] Wait Hours: Per Job","[48] Wait Hours: Per Job","[21] Wait Hours: Per Job","[74] Wait Hours: Per Job","[17] Wait Hours: Per Job","[49] Wait Hours: Per Job","[35] Wait Hours: Per Job","[44] Wait Hours: Per Job","[58] Wait Hours: Per Job","[80] Wait Hours: Per Job","[84] Wait Hours: Per Job","[36] Wait Hours: Per Job","[90] Wait Hours: Per Job"
2014-02-01,0,116.53980000,0.00000000,32.66109412,32.23350784,43.31110000,0,0,49.40915000,1.99585000,0,22.56019444,0.00000000,0,0,0,3.75360000,0,0,0.00000000,0,12.18110000,0,25.50940000,0,0,3.12480000,0,0,0,0,0,1.48113333,0,5.28280000,0,0,0,0,1.26105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,0,86.45323333,82.83440000,11.71742500,9.74782571,0.00000000,2.52990000,0,0.00000000,2.23030000,0,4.67359025,7.26280000,0,0,0,5.18580000,0,0,8.41190000,0,0.00000000,0,5.20652131,0,0,4.30280000,0,0,0,0,0,0.00000000,0,2.10915000,0,0,0,0,2.45396667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,0,113.20943333,68.14310000,6.21993333,21.76534167,0,1.21880000,0,0,0.75080000,0,2.65208858,4.37500000,0,0,0,3.24140000,0,0,0.28422000,0,0,0,2.70101667,0,0,0,1.26690000,0,10.04305000,2.79390000,0,1.75060000,0,0.76926667,0,0,0,0,2.78095000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,0,98.64676667,54.89060000,2.99669286,18.33675167,0,0.09690000,0,22.74250000,2.38280000,0,5.01650894,3.50220000,0,0,0,0,0,0,0.26626667,0,3.74610000,0,1.26589211,0,0,0,0,0,0,5.77110000,0,0.25280000,0,2.93181667,0,0,0,0,1.32880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,0,154.22693333,0.00000000,6.56813077,24.76667976,0,0.00000000,0,44.84957500,2.07000000,0,5.20910403,0.61330000,0,0,0,0,0,0,0.65220000,0,6.84775000,0,1.36013158,0,0,0,0,0,0.78830000,0.00000000,0,4.82830000,0,2.08143750,0,0,0,0,11.03970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,0,261.04490000,57.45346364,4.43392222,18.04627917,0,4.89210000,0,0,3.20210000,0,8.70730110,0,0,0,0,0,0,0,7.53176667,0,0.00000000,0,3.43536452,0,0,0,0,0,21.34280000,8.96570000,0,0.96896667,0,0.81658462,0,0,0,0,1.58576000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,0,56.72862500,29.00560000,18.06927941,10.67859815,0,4.86626667,0,27.02250000,1.02114000,0,6.10047729,5.14830000,0,0,0,0,0,0,5.34636667,0,0.00000000,0,3.92909286,0,0,0,0,0,43.67415000,0.00000000,0,1.30220000,0,1.87594286,0,0,0,0,0.95083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,0,165.88470000,53.52964286,20.94329091,13.32068472,40.02640000,0.00000000,0,52.16650000,0.04238235,0,1.75533350,4.33750000,0,0,0,0,0,0.49940000,0.04591250,0,78.72890000,0,2.52794286,0,0,3.06330000,0,0,68.36580000,0.00000000,0,4.01140000,0,1.40166000,0,0,0,0,4.90640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02830000,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,0,109.71440000,40.33670000,0.53833333,12.24049916,0.00000000,0.01250000,0,5.54178000,0,0,1.00196271,0,0,0,0,0,0,0.01150000,0.01545000,0,0.00000000,0,1.68036957,0,0,0,0,0,0.00000000,0.01235000,0,0.01250000,0,0.46360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52250000,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,0,66.68445000,18.70580000,4.32991250,2.65805556,0,1.23390000,0,6.96683810,0.50965000,0,1.46077267,0,0,0,0,0,0,0,0.04580000,0,0,0,1.72263750,0,0,0,0,0,0.00000000,0.00000000,0,1.07705000,0,3.87890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
