title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-08-01,2015-01-31
---------
Day,"[13] Wait Hours: Per Job","[6] Wait Hours: Per Job","[8] Wait Hours: Per Job","[12] Wait Hours: Per Job","[60] Wait Hours: Per Job","[25] Wait Hours: Per Job","[16] Wait Hours: Per Job","[15] Wait Hours: Per Job","[20] Wait Hours: Per Job","[14] Wait Hours: Per Job","[38] Wait Hours: Per Job","[18] Wait Hours: Per Job","[42] Wait Hours: Per Job","[10] Wait Hours: Per Job","[1] Wait Hours: Per Job","[7] Wait Hours: Per Job","[3] Wait Hours: Per Job","[103] Wait Hours: Per Job","[28] Wait Hours: Per Job","[50] Wait Hours: Per Job","[86] Wait Hours: Per Job","[65] Wait Hours: Per Job","[22] Wait Hours: Per Job","[4] Wait Hours: Per Job","[68] Wait Hours: Per Job","[93] Wait Hours: Per Job","[36] Wait Hours: Per Job","[44] Wait Hours: Per Job","[52] Wait Hours: Per Job","[26] Wait Hours: Per Job","[128] Wait Hours: Per Job","[11] Wait Hours: Per Job","[30] Wait Hours: Per Job","[2] Wait Hours: Per Job","[5] Wait Hours: Per Job","[54] Wait Hours: Per Job","[19] Wait Hours: Per Job","[74] Wait Hours: Per Job","[94] Wait Hours: Per Job","[27] Wait Hours: Per Job","[64] Wait Hours: Per Job","[9] Wait Hours: Per Job","[96] Wait Hours: Per Job","[24] Wait Hours: Per Job","[126] Wait Hours: Per Job","[40] Wait Hours: Per Job","[48] Wait Hours: Per Job","[39] Wait Hours: Per Job","[35] Wait Hours: Per Job","[31] Wait Hours: Per Job","[49] Wait Hours: Per Job","[256] Wait Hours: Per Job","[32] Wait Hours: Per Job","[56] Wait Hours: Per Job","[112] Wait Hours: Per Job","[17] Wait Hours: Per Job","[29] Wait Hours: Per Job","[46] Wait Hours: Per Job","[33] Wait Hours: Per Job","[55] Wait Hours: Per Job","[51] Wait Hours: Per Job","[43] Wait Hours: Per Job","[76] Wait Hours: Per Job","[34] Wait Hours: Per Job","[41] Wait Hours: Per Job","[100] Wait Hours: Per Job","[53] Wait Hours: Per Job"
2014-08-01,0,0.00000000,5.13523016,7.68420000,10.78415000,0,1.90721667,0,74.07620000,0,0,45.11765000,0,1.87593333,9.42166175,0,0.00000000,0,0,0,0,0,0,9.85784688,0,0,0,0,0,0,0,0,0,3.02064211,15.65617000,0,0,0,0,0,13.62862500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12540000,0,0,0,0,0,0,0,0,0,0,0
2014-08-02,0,0,23.28089714,5.69140000,20.43610000,0,48.04250000,0,93.03867500,0,0,0.00000000,0,0,10.61328305,0,54.13528000,0,0,0,0,0,0,9.54960000,0,0,0,0,0,0,0,0,0,5.13594186,3.91428571,0,0,0,0,0,15.88560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,0,0,22.35197838,0.00000000,0.00000000,0,16.00265000,0,93.65670000,0,0,0,0,0,3.04853760,0,0.02265714,0,0,0,0,0,0,0.00950303,0,0,0,0,0,0,0,0,0,6.70622041,0.00536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,0,0.47010000,17.44586545,0.00310000,0,0,24.00720000,0,77.77463333,0,0,0.12250000,0,0,2.37028577,3.73420000,0.71432222,0,0,0,0,0,0,0.65171296,0,0,0,0,0,0,0,0,0,3.35762133,0.00615000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00430000,0,0,0,0,0,0,0,0,0,0,0
2014-08-05,0,0.00000000,27.22930400,0.00000000,0.21610000,0,0.01460000,0,17.06470000,0,0,0.22310000,0,3.82580000,7.56217577,0.00000000,3.08194242,0,0,0,0,0,0,1.94833333,0,0,0,0,0,0,0,0,0,1.12451538,4.92415000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11360000,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,0,0.13915000,15.67546842,0.00000000,0.00000000,0,0,0,16.79640000,0,0,0.42935000,0,8.25333333,8.77993584,0.00000000,4.75056364,0,0,0,0,0,0,0.82615781,0,0,0,0,0,0,0,0,0,3.82861395,2.41500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,0,1.11568000,11.72173107,0,0,0,12.83070909,0,1.78720000,0,0,4.67470000,0,0.00000000,5.57341907,0,22.73290000,0,0,0,0,0,0.86930000,4.25633273,0,0,0,0,0,0,0,0,0,6.09315873,0.38610000,0,0,0,0,0,1.54420000,0,0,0,0,0,0,0,0,0,0,0,0.21085000,0,0,0.64403636,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,0,3.11613333,19.47008571,0,2.69180000,0,16.67335000,0,0.68780000,0,0,2.35390000,0,0,11.14291370,0,11.43012000,0,0.68510000,0,0,0,0.71420000,2.69715962,0,0,0,0,0,0,0,0,0,4.72120556,0,0,0,0,0,0,0.93110000,0,0,0,0,0,0,0,0,0,0,0,0.46890000,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0
2014-08-09,0,0.00000000,28.85279524,6.79310000,25.80765000,0,25.77633333,20.43735000,0,5.87580000,0,0.00000000,0,0,11.41322882,0,79.13890000,0,0.00000000,0,0,0,0,1.56113231,0,0,0,0,0,0,0,0,0,1.41311500,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04280000,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,0,0.00445000,15.08721212,0.18610000,49.03445000,0,0.00620000,0.00000000,0,0.00000000,0,0.00530000,0,0,20.68734483,0,13.02500000,0,0,0,0,0,0,0.02593051,0,0,0,0,0,0,0,0,0,0.13272879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00496250,0,0,0,0,0,0,0,0,0,0,0
