title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-02-01,2015-07-31
---------
Day,"[9] Wait Hours: Per Job","[13] Wait Hours: Per Job","[10] Wait Hours: Per Job","[18] Wait Hours: Per Job","[5] Wait Hours: Per Job","[54] Wait Hours: Per Job","[16] Wait Hours: Per Job","[25] Wait Hours: Per Job","[46] Wait Hours: Per Job","[12] Wait Hours: Per Job","[8] Wait Hours: Per Job","[64] Wait Hours: Per Job","[23] Wait Hours: Per Job","[63] Wait Hours: Per Job","[15] Wait Hours: Per Job","[59] Wait Hours: Per Job","[1] Wait Hours: Per Job","[2] Wait Hours: Per Job","[69] Wait Hours: Per Job","[4] Wait Hours: Per Job","[61] Wait Hours: Per Job","[100] Wait Hours: Per Job","[6] Wait Hours: Per Job","[32] Wait Hours: Per Job","[19] Wait Hours: Per Job","[55] Wait Hours: Per Job","[118] Wait Hours: Per Job","[14] Wait Hours: Per Job","[7] Wait Hours: Per Job","[11] Wait Hours: Per Job","[79] Wait Hours: Per Job","[96] Wait Hours: Per Job","[31] Wait Hours: Per Job","[44] Wait Hours: Per Job","[42] Wait Hours: Per Job","[50] Wait Hours: Per Job","[20] Wait Hours: Per Job","[53] Wait Hours: Per Job","[93] Wait Hours: Per Job","[128] Wait Hours: Per Job","[113] Wait Hours: Per Job","[88] Wait Hours: Per Job","[34] Wait Hours: Per Job","[38] Wait Hours: Per Job","[51] Wait Hours: Per Job","[28] Wait Hours: Per Job","[24] Wait Hours: Per Job","[41] Wait Hours: Per Job","[21] Wait Hours: Per Job","[48] Wait Hours: Per Job","[90] Wait Hours: Per Job","[36] Wait Hours: Per Job","[30] Wait Hours: Per Job","[60] Wait Hours: Per Job","[35] Wait Hours: Per Job","[80] Wait Hours: Per Job","[74] Wait Hours: Per Job","[3] Wait Hours: Per Job","[43] Wait Hours: Per Job","[22] Wait Hours: Per Job","[37] Wait Hours: Per Job","[45] Wait Hours: Per Job","[70] Wait Hours: Per Job","[40] Wait Hours: Per Job","[26] Wait Hours: Per Job","[65] Wait Hours: Per Job","[68] Wait Hours: Per Job","[87] Wait Hours: Per Job","[33] Wait Hours: Per Job","[81] Wait Hours: Per Job","[29] Wait Hours: Per Job","[27] Wait Hours: Per Job","[17] Wait Hours: Per Job","[85] Wait Hours: Per Job","[52] Wait Hours: Per Job"
2015-02-01,0,0,5.04560000,0.76860000,2.27228889,0,0.01185714,0,0,0,21.72071111,8.18080000,0,0,0,0,4.20586712,0.11502667,0,2.45759038,0,0,1.63036000,0.15500000,0,0,0,0,0,0,0,0,0,0,0,21.91060000,0,1.80940000,0,0.00000000,0,0,0,0,0,15.50750000,0,0,0,0,0,0,0,0,0,0,0,1.11306000,0.00000000,0,0,0,0,0,0,0,0.26710000,0,0,0,0,0,0,0,0
2015-02-02,0,0,0.00000000,0.02310000,0.22205000,0,0.35140000,0,0,6.17500000,17.52666042,2.82100000,0,0,0,0,2.89827168,0.83060645,0,0.86334167,0,0,0.00000000,3.94336667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75625000,0,0,0.63750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79842727,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0
2015-02-03,0,0,0.00000000,4.42940000,0.50875000,0,1.80122222,0,0,0,19.56571136,2.52553333,0,0,0,0,2.12026980,0.64693333,0,0.79063913,0,0,1.41067143,0.00000000,0,0,0,0,0,0.53430000,0,0,0,0,0,0,0,0.00000000,0,5.25080000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0.56970000,0.14370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,0,0,5.28843333,0.41220000,1.36728824,0,6.97976667,0,0,3.92000000,17.80956585,10.17378000,0,0,0,0,4.12908722,1.18158214,0,3.80326415,0,0,7.35528000,4.61470000,0,0,4.70140000,0,0,0,0,0,0,0,0,13.98985000,0,0,0,3.04960000,0.00000000,0,0,0,0,0,0,0,0,2.06610000,0,0,0,0,0,0,0,2.18631429,0,3.40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,0,0,0.58110000,13.35640000,16.53680000,0,2.28724286,0,9.83750000,0,22.21292075,0.94000000,0,0,0,0,4.17878338,0.21214222,0,3.22090233,0,0,3.01375000,5.03250000,0,0,0,0,0,0,0,0,0,0,0,17.51240000,0,0,0,3.19276667,0,0,0,0,0,0,0,0,0,9.83970000,0,0,0,0,0,0,0,0.00000000,0,0.92690000,0,7.33780000,0,0,0,0,0,0.51170000,0,0,0,0,0,0,0
2015-02-06,0,0,1.31530000,10.13640000,11.51755000,0,5.03215000,0,0,11.68030000,17.22789107,47.94920000,0,0,0,0,7.08228686,3.86677000,8.25420000,8.34221351,0,0,3.95310000,0.00000000,0,0,0,0,0,0.01670000,0,5.41310000,0,0,0,13.09760000,0,0.60920000,0,3.04765000,0,0,0,0,1.83640000,0.39015000,0,0,0,0.00000000,0,0,1.59250000,0,0,0,0,13.15156364,1.58500000,0.78860000,0,1.17640000,0,0,0,0,0,0.00000000,0.08720000,0,0,0,0,0,0
2015-02-07,0,0,0,0.00000000,0.00000000,0,3.82128462,0,0,11.53390000,14.66980000,0.00000000,0,0,0,0,30.42989955,0.17433333,0.00000000,2.08498810,5.32470000,0,1.93400000,0,0,0.02250000,0,0,0,0,0,0.00000000,0,0,0,15.99573333,0,0.00000000,7.26330000,1.29555000,1.50125000,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,1.21335714,0,0,0,0,0,0,0,0,1.80140000,0,0,0,0,0,0,0,0
2015-02-08,0,0,0,25.28580000,7.58860000,0,0.76418000,0,0,18.82750000,11.11919231,24.02250000,0,0,0,6.63330000,19.27575511,0.92264651,0,9.53201429,0,0,0.37815000,0,0,0,0,0,0,0.21470000,3.80310000,0,0,0,0,0.00000000,0,0,5.21110000,0,3.10580000,0,0,0,0,3.98140000,0,0,0,0,0,0,0.00000000,4.68860000,0,0,0.98190000,5.02890000,0,0.91183333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,0,0,0.32195000,3.83090000,1.03500000,0,9.62023333,0,0,8.23016667,2.66707647,0.42670000,0,0,0,0.00000000,59.10504022,0.18705909,3.31060000,2.36592667,0,0,2.43584500,0.53535000,0,0,0,0,15.28580000,0,0,0,0,0,0,0,0,0,0,0.02213333,4.40940000,0,0,2.08440000,0,0.00000000,0,0,0,0,0,0,0,0,4.17015000,0,0,2.18445625,0,0.00000000,0,0,0,0,0,0,0,0,0,0.47720000,0,0,0,0.21360000,0
2015-02-10,0,0,0.39621111,5.44010000,0.32833333,0,4.15198333,0,0,0.51184000,0.61539286,0.01890000,0,0,0.08088333,0,64.95224867,0.12736102,0,0.18361724,0,0,0.03765000,0.43170000,0,0,0,0,0,1.54720000,0,0,0,0,0,0,0.05833333,0,0,0.20690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0.06255385,0,0.02190000,0,0.01390000,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,0,0,0.00653333,3.56680000,0.00690000,0,11.89594444,0,0,0.00000000,0.01345833,0.00422000,0,0,0,0,0.01662473,0.01377549,0,0.01564024,0,0,0.00864667,0.00480000,0,0,0,0,0,0,0,0,0,0,0,0.06957500,0.00593333,0,0,0,0,0,0,0,0,0.00585000,0,0,0,0,0,0,0.03553000,0,0,0,0,0.00485000,0,0,0,0.03700000,0,0.02019000,0,0,0,0,0.16470000,0,0,0,0,0,0
2015-02-12,0,0,0.00492500,0.86360000,0.00453333,0,0.29818400,0,0,0.30250000,1.04499091,0.62138000,0,0,0,0,0.27915765,0.23549241,0,0.94994512,0,0,1.35225000,0.58269231,0,0.56250000,0,0,0,0,0,0,0,0.25060000,0,0.02925556,0.53856000,0,0,0,0,0,0,0,0,0,0.43060000,0.69686667,0,0.33920000,0,0,0,0,0.00656667,0,0,0.28624444,0.25280000,0,1.08080000,0.00640000,0,0.01010000,0,0,0,0,0.64240000,0,0,0,0,0,0.05690000
2015-02-13,0,0,2.56970000,0.02560000,0.02010000,0,0.00601667,0.08210000,0,0,0.72571071,0.65010000,0,0,3.50610000,0,0.33632151,0.05574492,0,0.16277258,0,0,1.18990000,0.74937143,0,0,0,0,0,0,0,0,0,0,0,0.12896250,0.17700000,0,0,0.00886667,0,0,0,0,0,0,0,0.00000000,0,0,0,0.02470000,0.60805000,0,0.61330000,0,0,0.07288000,0,0,0,0,0,0,0,0,0,0,0.00720000,0,0,0,0,0,0
