title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2016-02-01,2016-07-31
---------
Day,"[24] Wait Hours: Per Job","[18] Wait Hours: Per Job","[16] Wait Hours: Per Job","[10] Wait Hours: Per Job","[20] Wait Hours: Per Job","[3] Wait Hours: Per Job","[12] Wait Hours: Per Job","[1] Wait Hours: Per Job","[21] Wait Hours: Per Job","[108] Wait Hours: Per Job","[27] Wait Hours: Per Job","[19] Wait Hours: Per Job","[25] Wait Hours: Per Job","[14] Wait Hours: Per Job","[72] Wait Hours: Per Job","[4] Wait Hours: Per Job","[2] Wait Hours: Per Job","[13] Wait Hours: Per Job","[40] Wait Hours: Per Job","[33] Wait Hours: Per Job","[11] Wait Hours: Per Job","[7] Wait Hours: Per Job","[48] Wait Hours: Per Job","[44] Wait Hours: Per Job","[26] Wait Hours: Per Job","[28] Wait Hours: Per Job","[8] Wait Hours: Per Job","[64] Wait Hours: Per Job","[15] Wait Hours: Per Job","[6] Wait Hours: Per Job","[22] Wait Hours: Per Job","[9] Wait Hours: Per Job","[32] Wait Hours: Per Job","[36] Wait Hours: Per Job","[34] Wait Hours: Per Job","[30] Wait Hours: Per Job","[17] Wait Hours: Per Job","[56] Wait Hours: Per Job","[31] Wait Hours: Per Job","[23] Wait Hours: Per Job","[128] Wait Hours: Per Job","[29] Wait Hours: Per Job","[38] Wait Hours: Per Job","[42] Wait Hours: Per Job","[5] Wait Hours: Per Job","[60] Wait Hours: Per Job","[55] Wait Hours: Per Job","[90] Wait Hours: Per Job","[50] Wait Hours: Per Job","[46] Wait Hours: Per Job","[63] Wait Hours: Per Job","[43] Wait Hours: Per Job","[86] Wait Hours: Per Job","[100] Wait Hours: Per Job","[35] Wait Hours: Per Job","[52] Wait Hours: Per Job"
2016-02-01,0,0,2.62916842,1.29403750,0,0.19944286,0.00000000,0.96558842,0,0,0,0,0,0,0,10.35710455,0.09045385,0,0,0,0,0,0,0,0,0,0.12175333,1.28546667,0,0.10866000,0,0,0,0,0,0,0.12080000,0.00560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,0,0,6.43510000,2.56617500,0,0.00310000,0,0.53666475,0,0,0,0,0,0,0,3.00093438,0.37693256,0,0,0,0,0.00470000,0,0,0,0.00780000,1.09706842,0.23698571,0,0.24180000,0,0,0,0,0,0,0.00330000,0,0,0.00472500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,0,0,11.00019412,0.00445000,0,0.01585000,0.00640000,0.53345571,0,0,0,0,0,0,0,8.66842131,0.00787179,0,0,0,0,0,0,0,0,0,1.19386923,0.27453333,0,0.01118125,0,0.00592000,0.00570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,0,0,3.64204063,0.00000000,0,0.61030000,0.00810000,0.91873210,0,0,0,0,0,0,0,0.04786500,0.05534706,0,0,0,0,0,0,0,0,0,0.08361724,0.00580000,0,0.12911818,0,0.00000000,0,0,0,0,0.00776667,0,0,0.00527143,0,0,0,0,0.00530000,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,0,0,7.00408000,0.00695000,0.00530000,0.01263636,0.00830000,1.01280504,0,0,0,0,0,0,0,5.69392941,0.01557059,0,0,0,0,0,0,0,0,0,0.37839000,0.00720000,0,0.01610000,0,0.00000000,0.01030000,0,0,0,0.00833333,0,0,0,0,0,0,0,0.01000000,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,0,0,10.71588333,0.01390000,0.00560000,0.00000000,0.00000000,0.95162278,0,0,0,0,0,0,0,0.00707857,0.00838333,0,0,0,0,0,0,0,0,0.00680000,0.00766923,0.01110000,0,0.00766000,0,0,0.00730000,0,0,0,0,0,0,0,0,0,0,0,0.00750000,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,0.01830000,0,6.38013684,0.00000000,0.00000000,0.00000000,0,0.01898957,0,0,0,0,0,0,0,0.01447778,0.01232857,0,0,0,0,0,0,0,0,0,0.01377692,0.01390000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00860000,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,0.00000000,0,4.28782727,0,0,0,0,0.02309262,0,0,0,0,0,0,0,0.02004286,0.02205000,0,0,0,0,0,0,0,0,0,0.01975000,0,0,0,0,0,0,0,0,0,0,0,0,0.02485000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,59.45500000,0,25.10264000,61.97937500,44.69775000,23.51965909,69.40220000,33.76454080,0,0,0,0,0,0,0,59.97330952,23.83368571,0,0,0,0,0,0,0,0,51.36310000,43.94109333,56.98470000,0,38.91323125,0,0,0,0,0,0,0,0,0,6.59738000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,67.56280000,0,15.82210000,2.66722500,0.07522000,1.73852000,0.00000000,7.12551996,0,0,0,0,0,0,0,0.79294615,2.49935000,0,0,0,0,0,0,0,0,0.00000000,2.14306000,8.61845000,0,2.12555000,0,2.62335000,0,0,0,0,0,0,0,1.03640000,0,0,0,0,1.29860000,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,96.56860000,0,24.03628571,4.01985000,6.74670000,3.45085000,25.71940000,2.29338767,15.72280000,0,0,0,0,0,0,6.72537857,4.27198387,0,0,0,0,0,0,0,1.05540000,0,12.35193750,21.03060000,0,13.69414000,0,25.02610000,0,0,0,0,0,0,0,2.17166667,0,0,0,0,11.43780000,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,121.04580000,6.05140000,5.74585000,0.91684706,0,0.00790000,0.00000000,1.66273818,0,0,0,0,0,0,0,3.78078824,0.03016164,0,0,0,0,0,0,0,0,1.14250000,0.08959231,8.83912857,0,1.91440000,0,0.00000000,0,0,0,0.31430000,0,0,0,0.15113333,0,0,0,0,0.41451509,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,0.00000000,0.00000000,50.02438000,30.28581000,0,13.43010000,0,17.01921060,0,0,0,0,0,0,0,39.32463750,10.19987391,0,0,0,0,0,0,0,0.75580000,2.05670000,9.11544000,2.03832500,0,30.54109375,0,31.73440000,0,0,0,0,0,0,0,0,0,0,0,0,0.73560000,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,0,0,2.73506000,30.97752308,7.71940000,0.00000000,0,2.21429081,0,0,0,0,0,0,0,1.79915000,0.16307619,0,0,0,0,0,0,0,0.00000000,0,6.49578000,5.59720000,0,0.00000000,0,0.00640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
