title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2014-02-01,2014-07-31
---------
Day,"[49] Wait Hours: Per Job","[35] Wait Hours: Per Job","[100] Wait Hours: Per Job","[192] Wait Hours: Per Job","[40] Wait Hours: Per Job","[232] Wait Hours: Per Job","[20] Wait Hours: Per Job","[31] Wait Hours: Per Job","[240] Wait Hours: Per Job","[36] Wait Hours: Per Job","[14] Wait Hours: Per Job","[30] Wait Hours: Per Job","[53] Wait Hours: Per Job","[39] Wait Hours: Per Job","[11] Wait Hours: Per Job","[135] Wait Hours: Per Job","[47] Wait Hours: Per Job","[15] Wait Hours: Per Job","[46] Wait Hours: Per Job","[25] Wait Hours: Per Job","[29] Wait Hours: Per Job","[99] Wait Hours: Per Job","[164] Wait Hours: Per Job","[827] Wait Hours: Per Job","[422] Wait Hours: Per Job","[84] Wait Hours: Per Job","[212] Wait Hours: Per Job","[127] Wait Hours: Per Job","[166] Wait Hours: Per Job","[12] Wait Hours: Per Job","[143] Wait Hours: Per Job","[34] Wait Hours: Per Job","[59] Wait Hours: Per Job","[10] Wait Hours: Per Job","[485] Wait Hours: Per Job","[28] Wait Hours: Per Job","[125] Wait Hours: Per Job","[17] Wait Hours: Per Job","[252] Wait Hours: Per Job","[245] Wait Hours: Per Job","[38] Wait Hours: Per Job","[66] Wait Hours: Per Job","[63] Wait Hours: Per Job","[220] Wait Hours: Per Job","[33] Wait Hours: Per Job","[6] Wait Hours: Per Job","[32] Wait Hours: Per Job","[114] Wait Hours: Per Job","[168] Wait Hours: Per Job","[2048] Wait Hours: Per Job","[119] Wait Hours: Per Job","[3] Wait Hours: Per Job","[126] Wait Hours: Per Job","[140] Wait Hours: Per Job","[19] Wait Hours: Per Job","[44] Wait Hours: Per Job","[60] Wait Hours: Per Job","[64] Wait Hours: Per Job","[21] Wait Hours: Per Job","[50] Wait Hours: Per Job","[55] Wait Hours: Per Job","[51] Wait Hours: Per Job","[43] Wait Hours: Per Job","[156] Wait Hours: Per Job","[96] Wait Hours: Per Job","[8] Wait Hours: Per Job","[45] Wait Hours: Per Job","[102] Wait Hours: Per Job","[4] Wait Hours: Per Job","[180] Wait Hours: Per Job","[7] Wait Hours: Per Job","[160] Wait Hours: Per Job","[26] Wait Hours: Per Job","[54] Wait Hours: Per Job","[57] Wait Hours: Per Job","[255] Wait Hours: Per Job","[13] Wait Hours: Per Job","[9] Wait Hours: Per Job","[147] Wait Hours: Per Job","[62] Wait Hours: Per Job","[2] Wait Hours: Per Job","[224] Wait Hours: Per Job","[157] Wait Hours: Per Job","[121] Wait Hours: Per Job","[216] Wait Hours: Per Job","[115] Wait Hours: Per Job","[95] Wait Hours: Per Job","[391] Wait Hours: Per Job","[120] Wait Hours: Per Job","[41] Wait Hours: Per Job","[129] Wait Hours: Per Job","[16] Wait Hours: Per Job","[18] Wait Hours: Per Job","[410] Wait Hours: Per Job","[72] Wait Hours: Per Job","[42] Wait Hours: Per Job","[250] Wait Hours: Per Job","[73] Wait Hours: Per Job","[61] Wait Hours: Per Job","[864] Wait Hours: Per Job","[128] Wait Hours: Per Job","[155] Wait Hours: Per Job","[576] Wait Hours: Per Job","[162] Wait Hours: Per Job","[80] Wait Hours: Per Job","[101] Wait Hours: Per Job","[242] Wait Hours: Per Job","[217] Wait Hours: Per Job","[78] Wait Hours: Per Job","[24] Wait Hours: Per Job","[361] Wait Hours: Per Job","[23] Wait Hours: Per Job","[108] Wait Hours: Per Job","[144] Wait Hours: Per Job","[56] Wait Hours: Per Job","[1] Wait Hours: Per Job","[259] Wait Hours: Per Job","[340] Wait Hours: Per Job","[1024] Wait Hours: Per Job","[22] Wait Hours: Per Job","[98] Wait Hours: Per Job","[68] Wait Hours: Per Job","[75] Wait Hours: Per Job","[500] Wait Hours: Per Job","[37] Wait Hours: Per Job","[256] Wait Hours: Per Job","[249] Wait Hours: Per Job","[148] Wait Hours: Per Job","[132] Wait Hours: Per Job","[200] Wait Hours: Per Job","[638] Wait Hours: Per Job","[641] Wait Hours: Per Job","[440] Wait Hours: Per Job","[768] Wait Hours: Per Job","[625] Wait Hours: Per Job","[729] Wait Hours: Per Job","[146] Wait Hours: Per Job","[900] Wait Hours: Per Job","[5] Wait Hours: Per Job","[181] Wait Hours: Per Job","[201] Wait Hours: Per Job","[85] Wait Hours: Per Job","[90] Wait Hours: Per Job","[1000] Wait Hours: Per Job","[70] Wait Hours: Per Job","[282] Wait Hours: Per Job","[226] Wait Hours: Per Job","[219] Wait Hours: Per Job","[130] Wait Hours: Per Job","[187] Wait Hours: Per Job","[480] Wait Hours: Per Job","[420] Wait Hours: Per Job","[512] Wait Hours: Per Job","[506] Wait Hours: Per Job","[1001] Wait Hours: Per Job","[470] Wait Hours: Per Job","[490] Wait Hours: Per Job","[77] Wait Hours: Per Job","[400] Wait Hours: Per Job","[375] Wait Hours: Per Job","[122] Wait Hours: Per Job","[194] Wait Hours: Per Job","[52] Wait Hours: Per Job","[104] Wait Hours: Per Job","[481] Wait Hours: Per Job","[244] Wait Hours: Per Job","[288] Wait Hours: Per Job","[300] Wait Hours: Per Job","[185] Wait Hours: Per Job","[110] Wait Hours: Per Job","[82] Wait Hours: Per Job","[407] Wait Hours: Per Job","[210] Wait Hours: Per Job","[48] Wait Hours: Per Job","[109] Wait Hours: Per Job","[74] Wait Hours: Per Job","[161] Wait Hours: Per Job","[81] Wait Hours: Per Job","[218] Wait Hours: Per Job","[76] Wait Hours: Per Job","[320] Wait Hours: Per Job","[176] Wait Hours: Per Job","[330] Wait Hours: Per Job","[196] Wait Hours: Per Job","[183] Wait Hours: Per Job","[124] Wait Hours: Per Job","[112] Wait Hours: Per Job","[154] Wait Hours: Per Job","[437] Wait Hours: Per Job","[182] Wait Hours: Per Job","[225] Wait Hours: Per Job","[450] Wait Hours: Per Job","[241] Wait Hours: Per Job","[640] Wait Hours: Per Job","[310] Wait Hours: Per Job","[484] Wait Hours: Per Job","[92] Wait Hours: Per Job","[113] Wait Hours: Per Job","[27] Wait Hours: Per Job","[248] Wait Hours: Per Job","[280] Wait Hours: Per Job","[188] Wait Hours: Per Job","[321] Wait Hours: Per Job","[88] Wait Hours: Per Job","[386] Wait Hours: Per Job","[150] Wait Hours: Per Job","[208] Wait Hours: Per Job","[222] Wait Hours: Per Job","[243] Wait Hours: Per Job","[430] Wait Hours: Per Job","[211] Wait Hours: Per Job","[350] Wait Hours: Per Job","[519] Wait Hours: Per Job","[138] Wait Hours: Per Job","[290] Wait Hours: Per Job","[169] Wait Hours: Per Job","[111] Wait Hours: Per Job","[435] Wait Hours: Per Job","[133] Wait Hours: Per Job","[172] Wait Hours: Per Job","[170] Wait Hours: Per Job","[165] Wait Hours: Per Job","[251] Wait Hours: Per Job","[67] Wait Hours: Per Job","[107] Wait Hours: Per Job","[136] Wait Hours: Per Job","[370] Wait Hours: Per Job","[65] Wait Hours: Per Job","[86] Wait Hours: Per Job","[460] Wait Hours: Per Job","[345] Wait Hours: Per Job","[360] Wait Hours: Per Job","[83] Wait Hours: Per Job","[237] Wait Hours: Per Job","[513] Wait Hours: Per Job","[167] Wait Hours: Per Job","[151] Wait Hours: Per Job","[190] Wait Hours: Per Job","[384] Wait Hours: Per Job","[123] Wait Hours: Per Job","[105] Wait Hours: Per Job"
2014-02-01,0,0,45.72567500,0,0.00472000,0,0.00046667,0,0,0,0,0.00000000,0,0,0,0.00000000,0,0.00000000,0.00000000,0.75477500,0,0,0,0,0,0,0,0,0,0.09249167,0,0.00003750,0,12.36575000,0,0,0,0,0,0,0,0,0,0,0,1.51846842,0.99817059,0,0,0,0,0.00010167,0.00000000,0,0.00000000,0.00000000,0,0.93026410,0.00000000,0.00028333,0,0,0,0,0,0.71329266,0,0,0.00780062,0,0.00606492,0,0,0,0,0,0.00000000,0.00000000,0,0,0.96321512,0,0,0,0,0,0,0,0.06480000,0,0,0.43050038,0.00000000,0,0,0.00000000,0,0,0,0,0.00402414,0,0,0,0,0,0,0,0,0.08020000,0,0,0,0,0,0.02638874,0,0,0,0.00000000,0,0,0,0,0,0.02114444,0,0,0,0,0,0,0,0,0,0,0,0,0.06749873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103333,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,0,0.63223333,26.15604000,0,0.00036667,0,0.48346667,0,0,0.00000000,0,3.76972500,0,0,0,0.00000000,0,14.02780000,0,1.74125000,0,0,0,0,0,0,0,0,0,0.00016923,0,0,0,6.61952500,0,0,0,0.00000000,0,0,0,0,0,0,0,1.04540659,0.00149615,0,0,0,0,0.00550217,0,0,0,0.00000000,0,3.47080482,0,0.00000000,0,0,0,0,0.00000000,0.37275143,0,0,0.00012752,0.00000000,0.00000000,0,0,0,0.00000000,0,0.00053636,26.74437143,0,0,0.00019163,0,0,0,0,0,0,0,0.00000000,0,0,0.27043694,0.00106000,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0.00000000,0.00031000,0,0,0,0,0.00000000,0.00167725,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00041538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,0,0,27.60744286,0,0.79093333,0,2.61732000,0,0,0,0,4.06362500,0,0,0.00490000,0.00000000,0,38.42070000,1.19470000,0.79738571,0,0,0,0,0,0,0,0,0,1.84953333,0,0,0,7.52129437,0,0,0,2.39445000,0,0,2.63570000,0,0,0,0,0.72211233,1.53056889,0,0,0,0,1.31161475,0,0,2.78110000,1.86940000,0,4.12345588,0,0.44566000,0,0,0,0,0.19860000,3.32939516,0,0,1.36236061,0.34310000,2.65820571,0,0,0.00000000,0.41145000,0,0.00651111,2.30164000,0,0,1.87600698,0,0,0,0,0,0,0,0.10104286,0,0,0.76165673,2.76900000,0,0,0,0,0,0,0,0.42871538,0,0,0,0,0.84060000,0,0,0,1.59211667,0,1.28280000,0.00000000,0,0,0.75308840,0,0,1.13776667,2.73560000,0,0,0,0.30405000,0,0.75861579,0,0,0,0,0,0,0,0,0,0,0,0,1.06245000,0,0,0,0,0.97843333,0,0,0,0,0,0,0,0,0.35930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,1.30810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,0,3.06560000,51.09250000,1.30140000,2.84726667,0,2.57555455,0,0,0,0,6.77750000,0,0,0.68280000,0.00000000,0,30.89812500,0.56876364,2.05213333,0,0,0,0,0,0.19260000,0,0,0,2.20640000,0,0,0,10.19175581,0,0,0.06210000,0,0,0,5.48330000,0,0,0,5.32406667,5.86291000,2.32023333,0,0,0,0,1.41344811,0,0,0.00000000,0.00000000,3.78265000,9.52775938,2.86500000,1.99347500,0,0,0,0,0.04125000,2.11364432,0,0,2.08826573,1.45030000,4.54527467,0.70580000,0,0,0,0,0.59845600,2.44304167,0,0,1.95155470,0,0,0,0.05970000,0,0,0,0.20480000,0,0,1.94188156,2.80025000,0,0,0.08860000,0,0,0,0,3.40063750,0,0,0,0.20500000,0,0,0,0,3.52027500,0,0,0.09130000,0,0,1.89407569,0,0,0,5.59500000,0,0,0,0,0,0.88532222,0,0,0,0,0,0,0,0,0,0,0,0,3.74584000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06610000,0,0,0,0,0,0.10460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01665000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,0,0,64.44102857,0.27460000,0.06810000,0,1.16609333,0,0,0,0,9.95074000,0,0,0.00000000,0,0,74.45162000,0,2.18090000,0,0,0,0,0,0.00006000,0,0,0,0.71854769,0,1.03280000,0,27.24662553,0,0,0,0,0,0,0.11080000,0,0,0,1.29065455,3.30442500,1.27407568,0,0,0,0,0.28675596,0,0,0.00000000,25.43085000,0.04680000,5.66722692,0.00000000,0.48806000,0,0,0,0,0,1.17880336,0,0,0.83713558,0.21890000,2.72182143,0.53140000,0,0,0,0,0.28257500,1.37000000,0,0,0.88581738,0,0,0,0,0,0,0,0,0,0,1.56015172,2.30064000,0,0,0.00000000,0,0,0,0,0.13060000,0,0,0,1.37828000,0,0,0,0,0.02210000,0,0,0.00000000,0,0,0.81949574,0,0,0,1.92640000,0,0,0,0,0.00000000,0.16699444,0,0,0,0,0,0,0,0,0,0,0,0,2.08785455,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,1.79250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,0,0,19.32424286,0,16.17600000,0,1.95212143,0,0,0,0.00000000,0.00000000,0,0,0.00710000,0.00000000,0,54.30090000,0,4.35283000,0,0,0,0,0,0,0,0,0,0.91634324,0,0.00000000,0,7.08109286,0,0,0,0.00110000,0,0,0.80194000,0,0,0,0.00000000,1.07613659,0.89590000,0,0,0,0,1.18740114,0,0,0.65150000,0.00000000,0.18220000,6.26920000,0.18555000,1.14757500,0,0,0,0,0,2.26789414,0,0,1.29778079,0.13823333,0.00020000,0,0,0,0.46125000,0,0.08007500,1.64057778,0,0,0.40576743,0,0,0,0,0,0,0,0,0,0,0.75275769,1.57075714,0,0,0,0,0,0,0,0.52508571,0,0,0,2.22305000,0,0,0,0,2.95110000,0,0.31530000,4.02640000,0,0,0.37680082,0,0,0,0.34110000,0,0,0.14940000,0,0,0.59072941,0,0,0,0,0,0,0,0,0,0,0,0,2.96235172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,0,0,37.23157333,0.61440000,1.93255000,0,6.25077500,0,0,0,0,2.30190000,0,0,0,0.00000000,0,24.60534400,0,7.72682692,0,0,0,0,0,0.07280000,0,0,0,4.60891563,0,6.07875000,0,3.83246429,0,0,0,3.07555000,0,0,2.68496000,0,0,0,0,1.09888793,2.36198400,0,0,0,0,1.77070272,0,0,0,0.00000000,4.46500000,3.50883143,3.84970000,1.73777500,0,0,0,0,0,3.82318471,0,0,1.70058892,0,1.34485000,0,0,0,0.50805000,0,6.45680000,2.65191667,0,0,3.21988386,0,0,0,0,0,0,0,0,0,0,2.15380692,1.37800000,0,0,0,0,0,0,0,2.05608333,0,0,0,0,0,0,0,0,5.08280000,0,0,0.00000000,0,0,2.26491153,0,0,0,0.00000000,0,0,0,0,0,0.59911000,0,0,0,0,0,0,0,0,0,0,0,0,2.48880816,0.30360000,0,0,0,0,0,0,0,0,0,2.12665000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,0,0,21.24270667,0.00000000,6.92750000,0,17.61257273,0,0,0,0,0.00000000,0,0,0.00220000,0.00060000,0,0.08838923,0,3.02978333,0,0,0,0,0,0,0,0,0,1.29933188,0,2.56390000,0,1.84601634,0,0.00140000,0,0,0,0,0.00030000,0,0,0,0,0.21817143,0.20618462,0,0,0,0,0.11378462,0,0,0,0,0,1.24111818,0.01580000,0.18226667,0,0,0,0,0,1.05848182,0,0,0.29817351,0,0.00210000,0,0,0,0,0,0.00120000,0.72666250,0,0,0.61081515,0,0,0,0,0,0,0,0,0,0,0.56923617,0.00194000,0,0,0,0,0,0,0,0.07820000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27691519,0,0,0,0,0,0,0,0,0,0.08285000,0,0,0,0,0,0,0,0,0,0,0,0,1.37797931,0.38780000,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,0,0,20.73526316,0,0.00000000,0,15.79099167,0,0,0.00110000,0.00000000,0.00000000,0,0,0.11470000,0.00000000,0,0.00000000,0,2.23104583,0,0,0,0,0,0,0,0,0,1.38043333,0,0.00000000,0,0.26775041,0,0.33303333,0,0,0,0,0.00080000,0,0,0,0,0.00214444,0.19808857,0,0,0,0,0.00478929,0,0,0,0,0,0.77158621,5.27710000,0.00006000,0,0,0,0,0,1.54193557,0,0,0.36381739,0,0.00042857,0,0,0,0,0,0.00026667,12.07580000,0,0,0.33920617,0,0,0,0,0,0,0,0,0,0,0.12132044,0.00332500,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00070000,0,0,0,0,0.00000000,0.05623979,0,0,0,0.01244000,0,0,0,0,0,0.02060000,0,0,0,0,0,0,0,0,0,0,0,0,0.31712500,0.00000000,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,0,6.43830000,45.23681538,0,2.79922778,0,3.96747143,0,0.09250000,0.00000000,0.00000000,0.00080000,0,0,0.00000000,0.00000000,0.07125000,1.28272000,0,6.76058889,0,0,0,0,0,0,0,0,0,6.29718750,0,0,0,0.35051500,0,0.92420000,0,0,0,0,2.85905000,0,0,0,0,0.19994400,1.27405660,0,0,0,0,1.34899063,0,0,0.00000000,0,0,1.03884231,0,1.47972500,0,0,0,0,0,1.22017500,0,0,1.67746667,0,0.87417000,0,0,0,0,0,0.00055000,0.49238333,0,0,1.12297583,0,0,0,0,0,0,0,0,0,0,1.11881097,3.11135000,0,0,0,0,0,0,0,0.37428000,0,0,0,0,0,0,0,0,0.02110000,0,0,0,0,0.00000000,0.64422078,0,0,0,0.00000000,0,0,0,0,0,0.34736667,0,0,0,0,0,0,0,0,0,0,0,0,0.55021600,0.13302857,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
