title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2011-08-01,2012-01-31
---------
Day,"[6] Wait Hours: Per Job","[1] Wait Hours: Per Job","[4] Wait Hours: Per Job","[8] Wait Hours: Per Job","[7] Wait Hours: Per Job","[24] Wait Hours: Per Job","[5] Wait Hours: Per Job","[16] Wait Hours: Per Job","[13] Wait Hours: Per Job","[30] Wait Hours: Per Job","[32] Wait Hours: Per Job","[20] Wait Hours: Per Job","[10] Wait Hours: Per Job","[2] Wait Hours: Per Job","[26] Wait Hours: Per Job","[28] Wait Hours: Per Job","[27] Wait Hours: Per Job","[22] Wait Hours: Per Job","[11] Wait Hours: Per Job","[19] Wait Hours: Per Job","[21] Wait Hours: Per Job","[3] Wait Hours: Per Job","[12] Wait Hours: Per Job","[14] Wait Hours: Per Job","[23] Wait Hours: Per Job","[15] Wait Hours: Per Job","[18] Wait Hours: Per Job","[17] Wait Hours: Per Job","[9] Wait Hours: Per Job","[25] Wait Hours: Per Job","[31] Wait Hours: Per Job","[29] Wait Hours: Per Job"
2011-08-01,0,0.10862560,0.00630513,0.00187778,0,0,0.00000000,0,0,0,0.00902778,0,0,0.00620392,0,0,0,0,0,0,0,0,0.00250000,0,0,0,0,0,0.00235000,0,0,0
2011-08-02,0,0.00363099,0.00661935,0.00313125,0,0,0.06050000,0.02383636,0,0,0,0,0,0.00840000,0,0,0,0,0,0,0,0.00330000,0.05860000,0,0,0,0,0,0,0,0,0
2011-08-03,0,0.53956695,0.01113750,0.01427143,0,0,0.00000000,0,0,0,0.02594000,0,0,0.00692381,0,0,0,0,0,0,0,0.00420000,0,0,0,0,0,0,0,0,0,0
2011-08-04,0.03678571,0.99034687,0.08280000,0.03919429,0,0,0.00455000,0.02681250,0,0,0.03856000,0,0,0.19167562,0,0,0,0,0,0,0,0.01145000,0.09585000,0,0,0,0,0,0,0,0,0
2011-08-05,0.00310000,0.79752846,0.06170000,0.00885000,0,0,0.00000000,0.00390000,0,0,0.02072500,0,0,0.03445385,0,0,0,0,0,0,0,0.03140000,0.00720000,0,0,0,0,0,0,0,0,0
2011-08-06,0.06022500,4.39950081,0,0.19037778,0,0.00440000,0.00720000,0.00765714,0,0,2.74531667,0,0.01560000,1.50000909,0,0,0,0,0,0,0,0.00412000,0.00640000,0,0,0,0,0,0,0,0,0
2011-08-07,0.00000000,0.81568263,0,0.00125000,0,0.00230000,0.00000000,0.00480000,0,0,0.00140000,0,0,0.00943636,0,0,0,0,0,0,0,0.00170000,0.00000000,0,0,0,0,0,0,0,0,0
2011-08-08,0.00000000,0.10774762,0.42088000,0.08861111,0,0.00150000,0.00000000,0,0,0,0.31981667,0,0.00780000,0.02084021,0,0,0,0,0,0,0,0.00180000,0,0,0,0,0,0,0,0,0,0
2011-08-09,0,0.44492745,0.02194286,0.01015714,0,0.00000000,0,0.00440000,0,0,0.00485000,0,0.00000000,0.49046295,0,0,0,0,0,0,0,0.00310000,0.00396667,0,0,0,0,0,0,0,0,0
2011-08-10,0.00250000,0.40792320,0.05282400,0.00420000,0,0,0,0,0,0,0.00190000,0,0.00170000,0.56335451,0,0,0,0,0,0,0,0.00332500,0,0,0,0,0,0,0,0,0,0
2011-08-11,0.00000000,4.57868908,0.06702381,0.00000000,0,0,0,0.02530000,0,0,0,0,0.00000000,7.39079337,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-08-12,0.00000000,0.88116425,0.00125000,0,0,0,0,0.00130000,0,0,0,0,0.00140000,0.00256238,0,0,0,0,0,0,0,0.00192500,0,0,0,0,0,0,0,0,0,0
2011-08-13,0.00000000,6.17960458,0.00000000,0,0,0,0,0.00100000,0,0,0.00090000,0,0.00000000,0.00262222,0,0,0,0,0,0,0,0.00176667,0,0,0,0,0,0,0,0,0,0
2011-08-14,0.00000000,2.03470994,0.02835000,0.01162000,0,0,0,0,0,0,0.00116000,0,0.00080000,0.00123636,0,0,0,0,0,0,0,0.00080000,0,0,0,0,0.05310000,0,0,0,0,0
2011-08-15,0.00080000,2.36645960,0.06888966,6.21000769,0,0,0,2.50585294,0,0,0.81540526,0,0.00000000,0.08123158,0,0,0,0,0,0,0,0.04267778,0,0,0,0,0,0,0,0,0,0
2011-08-16,0,0.53062964,0.00092000,0.00000000,0,0,0,0.00134000,0,0,0.81384286,0,0,0.00180141,0,0,0,0,0,0,0,0.09267778,0,0,0,0,0,0,0,0,0,0
2011-08-17,0,1.03125562,0.17819796,0.04225600,0,0,0,1.15510000,0,0,5.84060000,0,0.00110000,0.16313254,0,0,0,0,0,0,0,0.00080000,0,0,0,0,0,0,0,0,0,0
2011-08-18,0,0.56352664,0.00080000,1.35147500,0,0.00080000,0,0.02280000,0,0,1.63356000,0,0,0.12945268,0,0,0,0,0,0,0,0.00146667,0,0,0,0,0,0,0,0,0,0
2011-08-19,0,3.28518954,0.48511111,4.03866000,0.26810000,0.97180000,0,0,0,0,1.82280909,0,2.21228000,1.58340638,0,0,0,0,0,0,0,4.24695000,0,0,0,0,0,0,0,0,0,0
2011-08-20,0,14.77707009,0.11322000,0.00280000,0,3.30140000,0,0.00190000,0,0,1.96184000,6.43640000,2.08830000,0.47691136,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-08-21,0,3.06525769,0.00167143,0.01200000,0,0,0,0.53405000,0,0,1.09528571,0,0.11870000,0.07169643,0,0,0,0,0,0,0,0.05610000,0,0,0,0,0,0,0,0,0,0
2011-08-22,0,6.25488330,7.15812353,13.72756111,0,0,0,8.65563667,0,0,4.01813500,0,0.42720000,0.47500380,0,0,0,0,0,0,0,0.60460000,0.93500000,0,0,0,0,0,0,0,0,0
2011-08-23,0,9.79376079,5.10993784,1.16235000,0,0,0,2.72233333,0,0,2.50015714,0,0.00000000,2.86829483,0,0,0,0,0,0,0,0.00000000,1.33060000,0,0,0,0,0,0,0,0,0
2011-08-24,0,4.97723901,0.30916190,0.78722500,0,0,0.05032500,0.49304091,0,0,0.43602500,0.98155000,3.19560000,0.14347544,0,0,0,0,0,0,0,0.00130000,0.26400000,0,0,0,0,0,0,0,0,0
2011-08-25,0,3.41617246,1.36390000,1.36925625,0,0,0.00000000,2.90094000,0,0,3.80551667,0.54666667,0.00220000,0.19555962,0,0,0,0,0,0,0,0.00000000,0.00961000,0,0,0,0,0,0,0,0,0
2011-08-26,0,4.24315560,0.03685484,0.04878182,0,0,0.00165000,0.00765000,0,0,0.28280000,0,0,0.03831509,0,0,0,0,0,0,0,0.00000000,0.00772222,0,0,0,0,0,0,0,0,0
2011-08-27,0,7.93777903,0.01318095,0.32508491,0,0,0.00000000,0.00173750,0,0,2.08445000,0,0,1.38975273,0,0,0,0,0,0,0,0.00438000,0.00220000,0,0,0,0,0,0,0,0,0
2011-08-28,0.00110000,7.26872537,0,0.00097500,0,0,0.08920000,0,0,0,0.09818000,0,0.02710000,0.00635333,0,0,0,0,0,0,0,0.01509310,0.00000000,0,0,0,0,0,0,0,0,0
2011-08-29,0.00000000,3.56020726,0.04108630,0.17363636,0,0,0.00000000,0.47187500,0,0,0.10353333,0,0.01963333,0.01511622,0,0,0,0,0,0,0,0.01848205,0.02805000,0,0,0,0,0,0,0,0,0
2011-08-30,0.00000000,2.34890770,0.00145882,0.00760000,0,0,0,0,0,0,0.00178000,0,0.00110000,0.00402597,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-08-31,0.00000000,2.66956575,0.00110000,0.00740000,0.00170000,0,0,0,0,0,0.03547500,0,0,0.01211765,0,0.46872143,0,0,0,0,0,0.00195000,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,3.69329607,0.16292081,0,0.00000000,0.00060000,0,0,0,0,0.24853333,0,0,0.02406319,0,0.00083333,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-09-02,0,3.10674111,0.03796500,0.03400000,0.00000000,0,0.00210000,0,0,0,0.02033333,0,0,0.03508736,0,0,0,0,0,0,0,0.00080000,0,0,0,0,0,0,0,0,0,0
2011-09-03,0,1.49466649,0.14076667,0.00000000,0.00000000,0,0.00220000,0,0,0,0.00000000,0,0,0.03361333,0,0,0,0,0,0,0,0.00170000,0,0,0,0,0,0,0,0,0,0
2011-09-04,0.00170000,2.52433415,0.04406000,0.02820000,0.00000000,0,0.00000000,0.00140000,0,0,0.01687500,0,0,0.00655000,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-09-05,0.00000000,4.88157196,0.01733333,0.00000000,0.00000000,0,0,0.00000000,0,0,0.05560000,0,0,0.00225429,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-09-06,0,0.01299487,0.00740000,0.02945000,0,0,0.00060000,0,0,0,0.02335833,0,0,0.00228396,0,0,0,0,0,0,0,0.00250000,0,0,0,0,0,0,0,0,0,0
2011-09-07,0,0.11255024,0.00190000,0.00667500,0,0,0,0,0,0,0.12987083,0,0,0.00446900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-08,0,0.00205000,0.00000000,0,0,0,0,0,0,0,0.00345000,0,0,0.00000000,0,0,0,0,0,0,0,0.00250000,0,0,0,0,0,0,0,0,0,0
2011-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-09-10,0,5.86982212,1.83533077,0.70250000,0,0,0,13.50065000,0,0,0.00595000,0,0,3.38147949,0,4.66523158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-11,0,0.07624964,0.28720714,0.00000000,0,0,0,0.05995714,0,0,0.12470000,0.06420000,0,0.03799048,0,0.80846061,0,0,0,0,0,0.00810000,0,0,0,0,0,0,0,0,0,0
2011-09-12,0.02375000,0.05821315,0.01957292,0.00140000,0,0,0,0,0,0,0.00220000,1.00675000,0,0.01104638,0,0.23143654,0,0,0,0,0,0.00140000,0,0,0,0,0,0,0,0,0,0
2011-09-13,0.00208333,0.00620665,0.00552381,0.00246667,0,0,0,0.00207500,0,0,0.00280000,0.00000000,0,0.00711583,0,0.27550725,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-09-14,0.39631429,0.06335785,0.00993846,0.00220000,0,0,0.00470000,0.43426667,0,0,0,0,0,0.05227222,0,0.81698571,0,0,0,0,0,0.00320000,0,0,0,0,0,0,0,0,0,0
2011-09-15,0.00726250,0.00888636,0.00431923,0.00242500,0,0,0.00280000,0,0,0,0,0,0,0.00295234,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-09-16,0.00916667,0.01911787,0.00809444,0.00475000,0,0,0.00560000,0,0,0,0,0,0,0.00415909,0,0,0,0,0,0,0,0.00530000,0,0,0,0,0,0,0,0,0,0
2011-09-17,0.00360000,0.00472000,0.01456000,0.00000000,0,0,0,0,0,0,0,0,0,0.00736429,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
2011-09-18,0.00335000,0.00634500,0.02150000,0.00000000,0,0,0,0,0,0,0,0,0,0.00360909,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0
