title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-02-01,2012-07-31
---------
Day,"[14] Wait Hours: Per Job","[32] Wait Hours: Per Job","[11] Wait Hours: Per Job","[17] Wait Hours: Per Job","[8] Wait Hours: Per Job","[1] Wait Hours: Per Job","[10] Wait Hours: Per Job","[6] Wait Hours: Per Job","[15] Wait Hours: Per Job","[9] Wait Hours: Per Job","[19] Wait Hours: Per Job","[16] Wait Hours: Per Job","[2] Wait Hours: Per Job","[7] Wait Hours: Per Job","[13] Wait Hours: Per Job","[4] Wait Hours: Per Job","[20] Wait Hours: Per Job","[30] Wait Hours: Per Job","[64] Wait Hours: Per Job","[3] Wait Hours: Per Job","[18] Wait Hours: Per Job","[24] Wait Hours: Per Job","[12] Wait Hours: Per Job","[5] Wait Hours: Per Job","[48] Wait Hours: Per Job"
2012-02-01,0,0,0,0,0.59795556,0.67110916,0.01905000,0,0,0,0,0,0.01469346,0,0,0.03712500,0,0,0,0.02221667,0,0,0,0.01170000,0
2012-02-02,0,0.04640000,0,0,0.49036748,0.22879554,0.33780000,0,0,0,0,0.05004000,0.01415862,0,0,0.03072400,0,0.01530000,0,0.01282857,0,0,0,0,0
2012-02-03,0,0.04536667,0,0,0.03007333,1.21499947,0.14420000,0.01585000,0,0,0,0.01000000,0.01659506,0,0,0.01778000,0.01360000,0.00000000,0,0.06843333,0,0,0.01470000,0,0
2012-02-04,0,0.09330000,0,0,0.09725556,0.81602274,0.08720000,0,0,0,0,0,0.02984000,0,0,0.01470000,0,0,0,0.00000000,0,0,0,0,0
2012-02-05,0,0.00000000,0,0,0.01330000,0.30599145,0,0,0,0,0,0,0.02516667,0,0,0.01290000,0,0,0,0.00000000,0,0,0,0,0
2012-02-06,0,0.00000000,0,0,0.00000000,0.01519375,0,0,0,0,0,0,0.02956000,0,0,0.01770000,0,0,0,0,0,0,0,0,0
2012-02-07,0,0.01015000,0,0,4.37706000,4.26895793,0,0,0,0,0,0,3.59968500,0,0,1.38425556,0,0,0,0.00431250,0,0,0,0,0
2012-02-08,0,0.02982000,0,0,0.02306000,6.79888991,0,0,0,0,0,0,0.03361579,0,0,0.01489063,0,0,0,0.00522000,0,0,0,0,0
2012-02-09,0,0.08922000,0,0,0.01438000,0.23535460,0,0.00945000,0,0.01030000,0,0.12158000,0.04104681,0,0,0.02235294,0,0,0,0.00843333,0,0,0,0,0
2012-02-10,0,0.00000000,0,0,0.60548750,0.32633970,0,0.00000000,0,0,0,1.46360000,0.03048362,0,0,1.45848333,0,0,0,0.26952857,0,0,0,0,0
2012-02-11,0,5.59757500,0,0,1.37732353,0.13364188,0,0.06936667,0,0,0,0.26050000,0.06034298,0,0,3.29772857,0,0,0,3.21857143,0,0,0,0.00530000,0
2012-02-12,0,0.63845714,0,0,0.20306667,0.10238961,0,0.00000000,0,0,0,1.55750000,0.01473538,0,0,9.33068889,0,0,0,0.24971250,0,0,0,0,0
2012-02-13,0,1.82854000,0,0,0.23466667,0.40821201,0,1.75970000,0,0,0,0.97711429,0.12615000,0,0,1.24697917,0,0,0,0.59400000,0,0,0,0,0
2012-02-14,0,3.81546667,0,0,1.31120000,1.40948591,0,9.46720000,0,0,0,2.71820000,0.49224661,0,0,1.15463514,0,0,0,0.00000000,0,0,0,0,0
2012-02-15,0,5.05778000,0,0,1.84733636,1.00355732,0,0.00000000,0,0,0,3.71530000,1.12074421,0,0,4.57992598,0,0,0,24.08000000,0,0,0,0,0
2012-02-16,0,0.00000000,0,0,3.42971250,3.62225606,0,7.36150000,0,0,0,6.07170000,2.43839615,0,0,5.20040000,0,0,0,14.59785000,0,0,0,0,0
2012-02-17,0,4.58635455,0,0,6.32612000,3.13749005,0,0,0,0,0,12.58812222,0.97762237,0,0,2.42954286,0,0,0,5.54775000,0,0,0,0,0
2012-02-18,0,1.58325000,0,0,4.82308750,5.17488220,0,0.23720000,0,0,0,31.49188438,2.00223191,0,0,0.39985000,0,0,0,3.47680000,0,0,0,0,0
2012-02-19,0,0.58993750,0,0,0.67386154,0.74307942,0,0.00000000,0,0,0,4.37749333,0.12544865,0,0,0.14695000,0,0,0,0.03406364,0,0,0,0,0
