title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[15] Wait Hours: Per Job","[1] Wait Hours: Per Job","[16] Wait Hours: Per Job","[3] Wait Hours: Per Job","[32] Wait Hours: Per Job","[12] Wait Hours: Per Job","[8] Wait Hours: Per Job","[28] Wait Hours: Per Job","[24] Wait Hours: Per Job","[17] Wait Hours: Per Job","[4] Wait Hours: Per Job","[6] Wait Hours: Per Job","[7] Wait Hours: Per Job","[2] Wait Hours: Per Job","[5] Wait Hours: Per Job","[31] Wait Hours: Per Job","[14] Wait Hours: Per Job","[20] Wait Hours: Per Job","[9] Wait Hours: Per Job","[10] Wait Hours: Per Job","[22] Wait Hours: Per Job","[18] Wait Hours: Per Job","[11] Wait Hours: Per Job","[13] Wait Hours: Per Job","[26] Wait Hours: Per Job","[30] Wait Hours: Per Job","[25] Wait Hours: Per Job"
2014-08-01,0,36.97087349,4.57490000,0,9.05220000,0,2.83890000,0,0,0,15.42196154,0,0,0.77926746,1.18000000,0,0,0,0,0.00000000,0,0,0,0,0,0,0
2014-08-02,0,35.67098432,11.37080000,0,7.42305000,0,0.00000000,0,0,0,0.72405000,0,0,1.77719600,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,0,28.25290710,2.78500000,0,5.24296667,0,0.17216667,0,0,0,0.46500000,0,0,0.17687333,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-04,0,2.83420529,0.03046667,0.14030000,0.00000000,0,0.00735217,0,0,0,0.03192059,0,0,0.01228170,0.02625000,0,0,0,0,0.05555000,0,0,0,0,0,0,0
2014-08-05,0,1.85727175,0.00780000,0.33823333,0.00000000,0,0.52711250,0,0,0,0.22468800,0,0,0.03690730,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-06,0,0.75545943,0.00933333,0.02216000,0,0,0.08472500,0,0,0,0.04793333,0,0,0.01329952,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,0,0.71475822,8.80095000,3.65705000,7.99170000,0,2.19211667,0,0,0,1.05340000,0,0,1.05103043,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-08,0,0.26106253,9.47060000,2.13550000,0.00000000,0,1.49262222,0,0,0,0.31467826,0,0,0.20413789,0,0,0,2.63470000,0,0,0,0,0,0,0,0,0
2014-08-09,0,0.68578422,18.00711429,0.08710000,0.00000000,0,5.03636667,0,0,0,0.70873333,1.82440000,0,0.47145802,0.37140000,0,0,4.45026667,0,0,0,0,0,0,0,0,0
2014-08-10,0,0.01744220,67.06000000,0.47266000,0,0,0.00000000,0,0,0,8.00833333,0.00000000,0,0.21846195,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-11,0,0.11434406,21.20855000,0.00929375,0,0,0,0,0.00320000,0,0.00695238,0,0,0.00615096,0.00310000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-12,0,0.03271304,14.39351250,0.01088182,0,0,0.00539474,0,0.00205000,0,0.04924082,0,0,0.00407399,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-13,0,0.00793079,4.51177500,0.00235000,0.00870000,0,0.00000000,0,0.00220000,0,0.00250000,0,0,0.00379830,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-14,0,0.01823784,0.00845000,0.07156000,0.00890000,0,0.01841667,0,0,0,0.01604667,0,0,0.00801546,0.00170000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-15,0,0.01407827,0.01050000,0.00000000,0,0,0.04494000,0,0.00231667,0,0.00210000,0,0,0.00379444,0,0,0,0.05744545,0,0,0,0,0,0,0,0,0
2014-08-16,0,0.00666025,0.87925000,0,0,0,0.00000000,0,0.01409091,0,0.00199167,0,0,0.00604783,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,0,0.01352254,0.00420000,0,0,0,0.00256000,0,0.00235000,0,0.00195833,0,0,0.00691045,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-18,0,0.01256017,0.00566667,0,0.18862500,0,0.00208125,0,0.00215000,0,0.01131250,0,0,0.00525901,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-19,0,0.03463906,0.00305000,0.00305000,0.18267143,0,0.10540000,0,0.00250000,0,0.02555769,0,0,0.03948594,0,0,0,0.11095000,0,0,0,0,0,0,0,0,0
2014-08-20,0,0.05543677,0.03620000,0.00810000,0.00570000,0,0.51757500,0,0.00000000,0,0.04457931,0,1.10830000,0.03271781,0,0,0,0.04532000,0.13484000,0,0,0,0,0,0,0,0
2014-08-21,0,0.05426161,0.05430000,0.51708333,1.62073333,0.92745000,0.80711250,0,0,0,0.38172692,0,6.89000000,0.02882102,0.07640000,0,0,0,0.00265000,0,0,0,0,0,0,0,0
2014-08-22,0,0.00714659,0.00780625,0,0.00000000,7.69830000,2.04080000,0,0,0,0.00303846,0,9.56470000,0.00960645,0.00000000,0,0,0,0.00464737,0,0,0,0,0,0,0,0
2014-08-23,0,0.00602470,0.00835000,0,0.00000000,0.00000000,5.90235000,0,0,0,0.00218333,0,0.00000000,0.00511776,0.00000000,0,0,0,0.00000000,0,0,0,0,0,0,0,0
2014-08-24,3.30920000,0.64189802,1.03953333,0,5.68292500,0,0.86536667,0,0,0,0.50140000,0,0,0.02879032,3.43943333,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,20.94560000,2.74819811,1.06656667,0,23.41940000,6.14030000,4.79046000,0,16.26600000,0,3.52515000,0,0,0.12610468,10.57045000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-26,22.66560000,8.08597347,0.17465000,4.24871250,1.90440000,0.14235000,0.04340000,0,0.00000000,0,0.64975714,0.01170000,0,0.24109673,0.08810000,0,0.01190000,0,0,0.01082500,0,0,0,0,0,0,0
2014-08-27,2.07280000,0.01939655,0.01145000,0.01041250,0.01310000,26.55790000,0.00465000,0,0,0,0.00790377,0,0,1.57889350,0,0,0,0,0.02296667,0,0,0,0,0,0,0,0
2014-08-28,0.00000000,1.00813241,0.44182857,2.01788000,1.19860000,0.00000000,0.27222500,0,0,0,0.35400000,0,0,0.17321126,0,0,0,0,0.12536667,0,0,0,0,0,0,0,0
2014-08-29,49.00720000,2.98129377,0.00000000,19.45483333,13.62076667,65.76280000,4.69033333,0,23.92940000,0,8.14394167,0,0,1.55649412,0.23450000,0,0,0,0.37766000,0.00750000,0,0,0,0,0,0,0
2014-08-30,1.86560000,3.81112397,0.01333333,0.19906667,1.21593889,0.00000000,1.80146667,0,0.00000000,0,2.40205455,0,0,4.03764792,0,0,0,0,0.15680000,0,0,0,0.01530000,0,0,0,0
2014-08-31,0.00000000,0.11872199,0.60890000,0.00000000,3.90222500,0.00000000,0.00000000,0,0,0,0.55795000,0,0,0.08270000,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,8.92890000,0.47295697,0.00000000,6.16110000,7.78830000,0,0.52400000,7.32920000,2.93170000,0,1.96266154,0,0,0.35873908,0,0,0,7.02060000,0,0,0,0,0,0,0,0,0
2014-09-02,21.15940000,1.91178893,17.66140000,14.99351667,0.02080000,0,3.87617500,0.01860000,13.08850000,0,3.21461333,1.66140000,0,1.00226225,0,0,0,6.74220000,0,0,0.01980000,0.02420000,0,0,0.02140000,0.01960000,0
2014-09-03,0,4.29101610,2.14040000,1.82216667,0,2.80521250,2.40585000,0,9.88875000,0,1.25874516,0.00000000,0,10.84296106,3.38462000,0,0,0,0.12890625,0,1.95235000,0,0,0,0,0,0
2014-09-04,0,2.00759445,2.58220000,6.20417143,11.37396667,7.30580000,1.00397500,0,4.13170000,0,7.54777500,0.00000000,0,0.29543103,6.96360000,0,0,0,0.16620000,0,0,0,0,0,0,0,0
2014-09-05,0,11.78279809,10.03250000,0.00000000,0.00000000,19.11117500,4.82416667,0,15.87335000,0,6.50521667,0,0,1.99162971,13.80030000,0,0,0,0.48763750,0,0,0,0,0,0,0,0
2014-09-06,0,14.93108804,22.02310000,0.00000000,0.00000000,0,15.96140000,0,0,0,18.80315263,25.81920000,0,3.23987191,9.71940000,0,0,0,0.45515000,0,0,0,0,0,0,0,0
2014-09-07,0,17.95309663,0.01030000,0.00458750,0,0,0.00000000,0,0,0,0.21817692,0.00390000,0,0.02350526,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,0,0.02772389,0.14540000,0.11597500,3.55670000,0,0.12850000,0,3.34062500,0,0.05803924,0,0,0.02782381,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,0,0.02173154,0.00000000,0.05890000,0.00750000,0.58539000,0.08204000,0,0.44666667,0,0.13043000,0,0,0.01672844,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,0,0.13619675,0,0,0,3.18036667,1.82278000,0,1.76078333,0,1.72938333,0,0,0.18815691,0,0,0,5.71750000,0.00845000,0.54505000,0,0,0.01225000,0,0,0,0
2014-09-11,0,0.44048945,0,0.00640000,0,11.98040000,0.66235556,0,6.16390000,0,2.78351250,0,0,0.59849220,0,0,0,6.11080000,0,0,0,0,0,0,0,0,0
2014-09-12,0,0.23523840,1.08830000,0.03196667,0,8.74105500,0.00441250,0,0.88325000,0,0.80450455,0,0,0.01917482,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,0,4.17886875,0,0.01148333,0,0,0.77910000,0,0.05155000,0,0.59289167,0,0,1.19410168,0,0,0,0,0,0,0,0,0.69390000,0,0,0,0
2014-09-14,0,0.99166866,0,0,0,0,1.35466000,0,1.62211667,0,0.00000000,0,0,0.29224583,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,0,0.01911607,0,0.08810000,0,0.35012000,0.01400000,0,0,0,0.00912000,0,0,0.02482867,0,0,0,0,0.00965000,0,0,0,0,0,0,0,0
2014-09-16,0,20.05873491,0,7.12957500,0,23.94964286,33.23805000,0,0.05046667,0,23.87690667,0,0,14.97214563,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-17,0,2.34980909,0,2.08176667,0,7.54990000,8.11780000,0,2.30750000,0,1.42110000,0.49030000,0,1.34555616,0,0,0,0,0.05777500,0,0,0,0,0,0,0,0
2014-09-18,0,7.18635219,0,0.00000000,0,14.19582500,2.78913333,0,6.60875000,0,3.05921667,4.33172500,0,0.66884072,0,0,0,0,0.24901538,0,0,0,0,0,0,0,0
2014-09-19,0,6.78463574,2.38970000,4.07433333,0,11.62984000,0.66857857,0,3.07381429,0,5.03770556,0.00000000,0,1.56652784,0,0,0,0,0.10574444,0,0,0,0,0,0,0,0
2014-09-20,0,11.82757399,4.34060000,1.59302000,0,19.62536667,5.55475000,0,2.86390000,0,0.00000000,0,0,0.90571266,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,0,27.48524963,0,2.65450000,0,34.68530000,0.58965000,0,2.60416667,0,2.92550000,0,0,0.17453615,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,0,13.51116340,4.73710000,9.22862000,0,8.50870000,2.11940000,0,4.52462000,0,3.53876000,1.70390000,0,0.25761786,0,0,0,0,0.99090000,0,0,0,0,0,0,0,0
2014-09-23,0,16.97582638,4.66155000,0.92916667,0,8.28255000,3.83970000,0,7.90225000,0,2.44896571,7.69985000,0,0.48047591,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-24,0,6.63318353,7.56956000,6.60170000,0,8.84280000,4.31923750,0,12.40097143,0,2.52832941,0,0,0.34152095,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-25,0,19.76498702,15.28754286,17.54670000,0,13.22540000,3.86683333,0,1.90238333,0,4.80410833,0.50968571,0,1.08114149,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-26,0,33.34553939,5.07570000,2.54882500,0,0.00000000,1.63251111,0,0.07330000,0,1.21956667,0,0,0.63129204,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-27,0,25.85672893,1.05203333,0,2.89640000,25.54490000,13.61442500,0,17.69485000,0,7.24335000,20.14500000,0,10.47179013,0,0,0,0,0,0,0,0,0,0,0,0,0
