title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2015-02-01,2015-07-31
---------
Day,"[18] Wait Hours: Per Job","[31] Wait Hours: Per Job","[4] Wait Hours: Per Job","[15] Wait Hours: Per Job","[24] Wait Hours: Per Job","[1] Wait Hours: Per Job","[20] Wait Hours: Per Job","[13] Wait Hours: Per Job","[3] Wait Hours: Per Job","[9] Wait Hours: Per Job","[32] Wait Hours: Per Job","[11] Wait Hours: Per Job","[14] Wait Hours: Per Job","[22] Wait Hours: Per Job","[8] Wait Hours: Per Job","[5] Wait Hours: Per Job","[16] Wait Hours: Per Job","[12] Wait Hours: Per Job","[2] Wait Hours: Per Job","[6] Wait Hours: Per Job","[10] Wait Hours: Per Job","[7] Wait Hours: Per Job","[28] Wait Hours: Per Job","[25] Wait Hours: Per Job"
2015-02-01,0,0,0.10960000,0,0,2.10226617,0.00000000,0,0.00460000,0,0.00000000,0,0,0,7.63080000,0,0.00000000,0,0.39817300,0,0,0,0,0
2015-02-02,0,0,0.00195000,0,0,0.67278780,8.09440000,0,2.27890000,0,3.03220000,0,0,0,1.60982500,0,0.00170000,0,0.16060204,0,0,0,0,0
2015-02-03,0,18.79500000,4.32286667,0,8.94170000,12.20567837,0,0,7.27610000,0,0.00000000,0,17.50420000,0,9.89430000,0,9.35610000,0,0.52162875,0.39835000,0,0,0,0
2015-02-04,0,0,5.10477500,0,7.97530000,16.69295055,0,0,7.70875000,0,4.72720000,5.68970000,0.00000000,0,5.77630000,0,0.00000000,4.07030000,0.22190052,0,0,0,0,0
2015-02-05,0,0,8.80335000,0,0.00000000,5.76023525,0,0,17.46875000,0,15.54680000,0,0,0,12.81776667,0,0,0.00000000,1.27832273,0.41530000,0,0,0,0
2015-02-06,0,25.92970000,7.67223333,0,0,7.58955267,0,0,20.70165000,0,22.45280000,0,0,0,5.86539167,24.11360000,0,0,0.25172368,0,5.09940000,0,0,0
2015-02-07,0,0,1.77506667,0,0,4.76630369,0.33690000,0,0.46117500,0,4.82905000,0,0,0,1.49115000,0.00000000,0,0,0.30048529,0,0.31330000,0,0,0
2015-02-08,0,0,0.45803333,0,0,0.41524706,14.38267778,0,1.10772500,0,0.00000000,0.91475000,0,0,0.30430476,0,0,0,0.64379735,0.00720000,0,0,0.69690000,0
2015-02-09,0,6.75080000,2.77872000,0,0,2.10478765,0,0,1.69513333,0,0.01530000,0.00000000,0,0,0.79461875,0,0,2.69220000,0.14040044,4.58080000,0.00220000,0,0.00000000,0
2015-02-10,0,10.47750000,6.38297500,0,0,17.11904615,0,0,4.13347500,4.02036000,7.16036667,0,0,0,2.74666667,4.32780000,11.70500000,0.18250000,0.35796615,3.34720000,0,0,0,0
2015-02-11,0,0.00000000,5.00680000,0,0,25.63048432,1.12140000,0,3.96920000,0,6.21110000,0,0,0,3.32584000,0,0,0,1.05543299,0.00000000,0,0,0,0
2015-02-12,0,14.94580000,2.14835000,0,0,26.12227758,10.88287778,0,3.33818000,0,0.00000000,0,0,0,4.91892000,0,0,0,1.61824808,0,0,0,0,0
2015-02-13,0,0,4.98884000,0,0,33.56931706,0.00000000,0,12.85658571,0,10.54830000,0,0,0,6.98168000,9.30690000,12.57970000,0,0.43942038,0,0,0,0,0
2015-02-14,0,0,2.44220000,0,0,49.13568631,0,0,1.18360000,0,0.00000000,0,0,0,5.30570000,0.00000000,0,0,0.36447800,0,4.94530000,0,0,0
2015-02-15,18.44780000,0,2.26026667,18.23720000,0,6.16223744,0,0,6.22292500,0,0.00000000,0,0,0,2.30991429,0.00000000,0,0,1.37293009,0,0.00000000,0,0,0
2015-02-16,0,0,3.86251667,0.00000000,0,10.20090824,0,0,5.89443333,0,3.85960000,0,0,0,6.46290000,7.94750000,0,0,1.61679780,0,0.00000000,0,0,0
2015-02-17,0,14.80190000,4.87150000,0,0,24.17371353,0,0,3.28580000,0,0.00000000,0,0,0,3.24140000,0.00000000,0,0,0.39328790,0,0,0,0,0
2015-02-18,0,0.00000000,6.31166667,0,0,9.87251561,0,0,11.59121667,0,0.00000000,0,0,0,4.36728182,0.00000000,0,0,0.22430306,0,0,0,0,0
2015-02-19,0,11.09250000,2.88674286,0,0,12.80049265,0,0,2.14666667,0,0,0,0,0,3.00464000,6.75110000,0,0,0.21538436,0,0,0,0,0
2015-02-20,0,0,0.00795000,0,0,4.33473923,0,0,0.09470000,0,0,0,0,0,0.00000000,0.00564444,0,0,0.18410348,0,0.00750000,0,0,0
2015-02-21,0,0,0.06723333,0,0,0.14248415,0,0,1.43570000,0,0,0,0,0,0.08905000,0.00000000,0,0,0.21362564,0,0,0,0.04072000,0
2015-02-22,0,0,0.03510000,0,0,5.20326819,0,0,0.08665000,0,0,0,0,0,0.01880000,0.06335000,0,0,0.02572963,0,0,0,0,0
2015-02-23,0,0,0.02448750,0,0,7.60205410,0,0,0.02520000,0,0,0,0,0,0.04500000,0.01985000,0.02101667,0.01956000,0.02659958,0,0,0,0,0
2015-02-24,0,0,0.02157778,0,0,6.19720866,0,0,0.07685000,0,0,0,0,0,0.01735000,0.00000000,0.13323333,0,0.02795306,0,0,0,0.01665000,0
2015-02-25,0,0,8.22166667,0,0,0.49994816,0,0,3.09384000,0,0.00977273,0,0,0,0.19220000,0.00500000,0.01847500,0.18770000,0.09727143,0.00920000,0,0,0,0
2015-02-26,0,0,49.48190000,0,0,3.70590226,0,0,28.12555000,0,1.46220000,0,0,0,0.01170000,0.00000000,0,0.00000000,0.11941373,0.00000000,0,0,0,0
2015-02-27,0,0,0.00000000,0,0,2.96904910,0,0,17.79340000,0,0.00945000,0,0,0,0.00676667,0.00920000,0,0,0.01332372,0,0,0.01140000,0,0
2015-02-28,0,0,0.00000000,0,0,0.10421026,0,0,0.00610000,0,0,0,0,0,0.00490000,0.00000000,0,0.11640000,0.00943939,0,0,0,0,0
2015-03-01,0,0,0,0,0,0.07819381,0,0,26.78062500,0,0,0,0,0,0.00670000,0.00890000,0,0.00000000,0.00896923,0,0,0,0,0
2015-03-02,0,0,0.00860000,0,0,0.48016664,0,0,0.00860000,0,0,0,0.00758571,0,0.00710000,0.00000000,0,0,0.01164413,0,0.00650000,0,0,0
2015-03-03,0,0,0.02478000,0,0,0.88259390,0,0,0.00935714,0,0,0,0,0,0.58795798,0.00900000,0.01500000,0,6.21432171,0.01000000,0.00000000,0,0,0
2015-03-04,0,0,0.00182000,0,1.50875000,0.00736745,0,0,9.15604444,0,0.00156667,0,0,0,0.06853750,0.00000000,0.00183333,0,0.00567513,0.00190000,0.03445000,0,0,0
2015-03-05,0,0,0.00160000,0,10.40617273,0.00724096,0,0,4.34007500,0,0.00000000,0,0,0,0.00856364,0.00906667,0.00000000,0,0.02302791,0.00000000,0.00930000,0,0,0
2015-03-06,0,0,0.00230370,0,0,0.00566943,0,0,51.19463333,0,0,0,0,0,0.00165000,0.00000000,0,0,0.00424068,0,0,0,0,0
2015-03-07,0,0,0.03830000,0,0,0.00854565,0,0,108.10330000,0,0,0,0,0,0,0.00000000,0,0,0.00394321,0,0.00485000,0,0,0
2015-03-08,0,0,0,0,0,0.00712917,0,0,0.00410000,0,0,0,0,0,0,0,0,0,0.02170000,0,0.00000000,0,0,0
2015-03-09,0,0,0.00140000,0,0,0.10839467,0,0,72.57100000,0,0,0,0,0,0.00166364,0.01218750,0,0.00140000,0.00764926,0.00182857,0.00000000,0,0,0
2015-03-10,0,0,0.00244000,0,0,0.04362543,0,0,30.22653333,0,0,0,0,0,0.00406429,0.00172000,0.00170000,0,0.00827459,0.00176667,0.00000000,0,0,0
2015-03-11,0,0,0.00166667,0,0,0.02029606,0,0,0.00250000,0,0.45000000,0,0,0,0.00231667,0.00220000,0.00000000,0,0.01254438,0.00275000,0,0,0,0
2015-03-12,0,0,0.00280000,0,0,0.63927372,0,4.14041667,13.32440000,0,9.02620000,0,0,0,3.61281667,11.43195000,0,0,0.71619503,0.00000000,0.00250000,0,0,0
2015-03-13,0,0,0.31060000,0,0,10.07211667,0,0,84.25166667,0,34.73335000,4.69690000,0,9.73810000,4.91762000,0.00000000,0,0,0.35563121,0.16430000,5.57080000,0,0,0
2015-03-14,0,0,0.11875000,0,0,3.24247910,0.00190000,0,0.00223333,0,0.00000000,0.00155000,0,0.00190000,0.00000000,0,0,0,0.01256533,1.56082500,0.00000000,0,0,0
2015-03-15,0,0,0.00940909,0,0,0.01763134,0.00000000,0,0.00280000,0,0,0.00000000,0,0,0.00000000,0.00250000,0,0,0.00946720,0.00000000,0.00000000,0,0,0
2015-03-16,0,0,0.00210000,0,0,0.03130333,0,0,0.05896667,0,0,0,0,0,0.00217000,0.01240000,0,0,0.00974855,0,0.00000000,0,0,0
2015-03-17,0,0,0.00294000,0,0,2.65658438,0,0,0.00220000,0,0,0,0,0.00360000,0.53332000,0.00165000,0,0,0.39444063,0,0,0,0,0
2015-03-18,0,0,2.03570000,0,0,3.00341553,0,0,5.02315714,0,0,0,0,1.23100000,3.25191111,0.00000000,0,0.45040000,0.54574976,0,0,0,0,0
2015-03-19,0,0,1.65240000,0,0,4.17310928,0.00195000,0,5.74605152,0,0,0,0,0.26812000,0.28860000,6.98130000,0,0.83250000,0.06072081,0.51702500,0.00220000,0,0,0
2015-03-20,0,0,2.53380000,0,0,2.30737112,1.72970000,0,0.71472222,0,0,0,0,0,0.44310000,0.31791250,0,0.37440000,0.41643230,0.96460000,0.56365000,0,0,0
2015-03-21,0,0,0.82483000,0,0,2.88490887,0.64670000,0,1.58788333,0,0,0,0,0,2.58000000,0.34097500,0,0,0.48119565,0,0.13433333,0,0,0
2015-03-22,0,0,1.66068824,0,0,3.32791731,0.00250000,0,9.02393077,0,0,0,0,0,0.00000000,0.10262500,0,0,0.04108308,0,0.63066667,0,0,0
2015-03-23,0,0,1.31735882,0,0,0.66545864,0,0,5.72603077,0,0,0,0,0,2.12445000,0.67465000,0,0,0.29726260,3.05670000,0.00130000,0,0,0
2015-03-24,0,0,1.07262500,0,0,2.50281396,0.34296667,0,10.06516471,0,0,0.00165000,0,0,0.00190000,0.07423333,0,0,0.62149427,0.32631429,0.15387500,0,0,0
2015-03-25,0,0,1.16003750,0,0,1.99999981,0.00205000,0,15.58221818,0,0,0,0,0,0.70770000,0.75662000,0.61830000,0,0.07053320,0.19860000,0.23083333,0,0,0
2015-03-26,0,0,0.01147778,0,0,0.50680853,2.80722000,0,0.39475625,0,0,0,0,0,4.08590000,0.00195000,0,0,0.10198191,0.00000000,0.00333750,0,0,0
2015-03-27,0,0,0.19590000,0,0,2.48890500,4.30361250,0,1.44149000,0,0,0,0,0,5.12873333,0.00235000,0,0,0.34261358,0.02083333,0.26168000,0,0,0
2015-03-28,0,0,0.00186667,0,0,0.22962889,0.00286667,0,0.00857143,0,0,0,0,0,0.00186154,0.00176667,0,0,0.00831098,0,0.00180000,0,0,0
2015-03-29,0,0,0.00296667,0,0,6.23222628,0,0,0.00487931,0,0,0,0,0,0.01895417,0,0,0,0.00355882,0.02776667,0,0,0,0
2015-03-30,0,0,0.00234000,0,0,0.06731108,0.03880000,0,0.00233478,0,0,0,0,0,0.00200000,0.00221667,0,0,0.00350693,0.00230625,0.00182000,0,0,0
2015-03-31,0,0,0.00195000,0,0,0.01702527,0.00286667,0,0.00222857,0,0,0,0,0,0.00222500,0.00280000,0,0,0.00800000,0.00278182,0.01183333,0,0,0
2015-04-01,0,0,0.18588750,0,0,0.09710195,0.00330000,0,0.00170000,0,0,0,0,0,0.00220000,0.00250000,0,0,0.09407194,0.00235000,0.00227500,0,0,0
2015-04-02,0,0,0.12018889,0,0,0.19205385,0,0,0.00216875,0,0,0,0,0,0.00305000,1.91195000,0,0,0.50399243,0.00000000,0,0,0,0
2015-04-03,0,0,0.00248571,0,0,0.00770135,0,0,0.20020000,0.00235000,0,7.37250000,0,0,0.00226250,0.00228889,0.00280000,0.00265000,0.05391083,0.00290000,0.00293333,0,0,0
2015-04-04,0,0,4.61639000,0,0,0.01198159,0,0,0.06095000,0,0.00380000,0,0,0,0.00331429,0.00000000,0.00190000,0.00000000,1.05405294,0,0.00220000,0,0,0
2015-04-05,0,0,19.97270000,0,0,0.02916392,0,0,0.05834444,0,4.90015000,0,0,0,0.70707500,0,0.00080000,0,0.11253882,0,0.00000000,0,0,0
2015-04-06,0,0,18.18951667,0,0,0.06218128,0,0,0.00866250,0,0.00330000,0,0,0,0.00210000,0,1.45306667,0,0.01030728,0.00220000,0,0,0,0
2015-04-07,0,0,25.01237500,0,0,0.00382542,0,0,0.00271923,0,0.00347692,0,0,0,0.00150000,0,0.00320000,0,0.00487624,0,0,0,0,0
2015-04-08,0,0,61.69805000,0.00250000,0,0.11170639,0.04276667,0,0.13667818,0,0.25765000,0,0,0,0.00390000,0,0.00000000,0,0.12106289,0.10920000,0.03250000,0,0,0
2015-04-09,0,0,56.92434000,0,0.00110000,0.22149854,0.08940000,0,1.21151818,0,0.00220000,0,0.36330000,0,5.32686667,0,0.01330000,0,0.07702767,0,0.00000000,0,0,0
2015-04-10,0,0,84.06103750,0,0,1.03970617,0.00000000,0,0.25141389,0,0.01190000,0,0,0,1.07913125,0,0.00200000,0,0.07820628,0,0,0,0,0
2015-04-11,0,0,55.74872857,0,0,0.29197635,0,0,0.81228750,0,6.39193333,0,0,0,2.22750000,0,0.44085000,0,0.02337614,0,0,0,0,0
2015-04-12,0,0,16.56462308,0,0.00170000,0.04213059,0.00220000,0,0.00160000,0,0.02122500,0,0,0,0.00176667,0,0.01593636,0,0.07439677,0,0,0,0,0.00810000
2015-04-13,0,0,88.77365000,0,0,0.83720300,0,0,0.63513571,0,0.00640000,0,0,0,0.91713333,0,0.52266000,0,0.16916071,0,0,0.64327500,0,0
2015-04-14,0,0,16.60060625,0,0,0.02677031,0,0,0.00194348,0,0.00250000,0,0,0,0.00175455,0,0.02207500,0,0.04116236,0,0.00140000,0.00190000,0,0
2015-04-15,0,0,56.49338000,0,0,0.00317662,0,0,0.00163750,0,0.00140000,0,0,0,0.00674286,0.00125000,0,0,0.00598244,0,0,0,0,0
2015-04-16,0,0,88.39237143,0,0,0.00252967,0,0,0.00332000,0,0.00000000,0,0,0,0.00163750,0.00000000,0,0,0.00299157,0,0.00186667,0,0,0
2015-04-17,0,0,0.00190000,0,0,0.23701239,0,0,0.00176667,0,0.02985000,0,0,0,0.00229286,0.00000000,0,0,0.01534753,0,0.00180000,0,0,0
2015-04-18,0,0,0.00231667,0,0,0.00596754,0,0,0.00000000,0,0.00000000,0,0,0,0.00230000,0,0,0,0.00748152,0,0.00500000,0,0,0
2015-04-19,0,0,0.00182000,0,0,0.00728696,0,0,0,0,0,0,0,0,0.01558571,0.04470000,0,0,0.01635556,0,0,0,0,0
2015-04-20,0,0,0.00265000,0,0,0.00377250,0,0,0.00193333,0,0.00195000,0,0,0,0.00229091,0.00000000,0.00222500,0,0.00802932,0.00250000,0,0.00345000,0,0
2015-04-21,0,0,0.00230000,0,0,0.01230352,0,0,0.00000000,0,0.00155000,0,0,0,0.01393529,0.00000000,0.00000000,0,0.01041472,0,0.00180000,0,0,0
2015-04-22,0,0,0.00190000,0,0,0.03927931,0,0,0.00220000,0,0.00000000,0,0,0,0.00240000,1.46780000,0,0,0.10602974,0,0,0,0,0
2015-04-23,0,0,0.00190000,0,0,1.59672117,0,0,0.00430000,0,0.04695000,0,0,0,0.00220000,0.00000000,0,0,0.00661445,0,0.00430000,0,0,0
2015-04-24,0,0,0.00810000,0,0,6.85833503,0,0,0.00000000,0,0.06091667,0,0,0,0,0.00530000,0,0,0.00765578,0,0,0,0,0
2015-04-25,0,0,0.00690000,0,0,1.63952508,0,0,0,0,0,0,0,0,0.02493333,0.00000000,0,0,0.12410402,0,0,0,0,0
2015-04-26,0,0,0.00440000,0,0,0.29466572,0,0,0,0,0.00440000,0,0,0,0.04407500,0.00000000,0,0,0.01194793,0,0,0,0,0
2015-04-27,0,0,0.00530000,0,0,0.00541065,0,0,0,0,0.00000000,0,0,0,0.00470000,0.00452500,0,0,0.00963106,0,0,0,0,0
2015-04-28,0,0,0.00530000,0,0,0.00624000,0,0,0,0,0.00000000,0,0,0,0.00590000,0,0,0,0.01265228,0,0,0,0,0
2015-04-29,0,0,0.00610000,0,0,0.00587532,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0.00951748,0,0,0,0,0
2015-04-30,0,0,0.00390000,0,0,0.04590000,0,0,0,0,0,0,0,0,0,0,0,0,0.01602958,0,0.00860000,0,0.00670000,0
---------
