Day,[1728] Wait Hours: Per Job,[112] Wait Hours: Per Job,[320] Wait Hours: Per Job,[224] Wait Hours: Per Job,[1440] Wait Hours: Per Job,[336] Wait Hours: Per Job,[384] Wait Hours: Per Job,[496] Wait Hours: Per Job,[448] Wait Hours: Per Job,[272] Wait Hours: Per Job,[720] Wait Hours: Per Job,[624] Wait Hours: Per Job,[1024] Wait Hours: Per Job,[304] Wait Hours: Per Job,[256] Wait Hours: Per Job,[96] Wait Hours: Per Job,[768] Wait Hours: Per Job,[240] Wait Hours: Per Job,[32] Wait Hours: Per Job,[528] Wait Hours: Per Job,[512] Wait Hours: Per Job,[48] Wait Hours: Per Job,[64] Wait Hours: Per Job,[128] Wait Hours: Per Job,[16] Wait Hours: Per Job,[672] Wait Hours: Per Job,[576] Wait Hours: Per Job,[992] Wait Hours: Per Job,[144] Wait Hours: Per Job,[160] Wait Hours: Per Job,[736] Wait Hours: Per Job,[80] Wait Hours: Per Job,[640] Wait Hours: Per Job,[368] Wait Hours: Per Job,[480] Wait Hours: Per Job,[192] Wait Hours: Per Job,[208] Wait Hours: Per Job,[400] Wait Hours: Per Job,[288] Wait Hours: Per Job,[176] Wait Hours: Per Job,[8] Wait Hours: Per Job,[704] Wait Hours: Per Job
2011-08-01,0,2.78442424,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19910000,0,0,1.90890795,0,0,0.00030000,0.61080000,0.99500000,0.91232386,0,0,0,5.65411667,0.00140000,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-02,0,0.00118571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075714,0,0,0.01325000,0,0,0.00000000,0.00520000,0,0.00310875,0,0,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0,3.03521818,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-04,0,0,0,0,0,0,7.54670000,0,0,0,0,0,0,0,0,42.49762000,11.04390000,0,43.57020000,0,38.04780000,15.08025000,31.65466216,40.90235000,35.97081829,0,0,0,8.17890000,0,0,0,0,0,0,6.85220000,0,0,0,0,0,0
2011-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03583333,0,0,26.41662500,0,0.00000000,0,8.17623750,4.22010000,4.22388769,0,0,0,0.00000000,0,0,1.76580000,0,0,0,0,0,0,0,0,0,0
2011-08-06,0,0,0,0,0,0,0,0,0,0,0,0,43.27170000,0,0,13.36805000,0,0,10.76849706,0,0,0.00080000,31.85710000,2.38695000,2.31775185,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-07,0,0,0,208.26000000,0,0,0,0,0,0,0,0,43.81890000,0,0,18.93744000,0,0,19.70654255,0,0,0.06435000,8.27747273,0.92646667,1.25420202,0,0,0,7.30943333,0,0,0.01915000,0,0,0,0,0,0,0,0,0,0
2011-08-08,0,0,0,171.08798750,0,0,0,0,0,0,0,0,0,0,0,4.41090000,0,0,9.43448654,0,0,0.10610000,5.10440714,7.53110000,0.54728066,0,0,0,0.00000000,0,0,1.83897500,0,0,0,0,0,0,0,0,0,0
2011-08-09,0,119.46690000,0,157.08658750,0,0,0,0,0,0,0,0,0,0,0,3.32357500,0,0,4.00713800,0,0,0.00060000,8.39104792,0,0.72739754,0,0,0,0.19080000,0,0,4.98790000,0,0,0,0,0,0,0,0,0,0
2011-08-10,0,129.88280000,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86456667,0,0,0.82552857,0,19.89970000,0.00000000,3.20333571,0.91530000,0.56122039,0,0,0,0.00000000,0,0,3.64407500,0,0,0,0,0,0,0,0,0,0
