Day,[208] Wait Hours: Per Job,[176] Wait Hours: Per Job,[1024] Wait Hours: Per Job,[800] Wait Hours: Per Job,[96] Wait Hours: Per Job,[160] Wait Hours: Per Job,[480] Wait Hours: Per Job,[112] Wait Hours: Per Job,[48] Wait Hours: Per Job,[256] Wait Hours: Per Job,[80] Wait Hours: Per Job,[512] Wait Hours: Per Job,[768] Wait Hours: Per Job,[960] Wait Hours: Per Job,[384] Wait Hours: Per Job,[128] Wait Hours: Per Job,[64] Wait Hours: Per Job,[16] Wait Hours: Per Job,[320] Wait Hours: Per Job,[32] Wait Hours: Per Job,[144] Wait Hours: Per Job,[192] Wait Hours: Per Job,[752] Wait Hours: Per Job,[1104] Wait Hours: Per Job,[240] Wait Hours: Per Job,[224] Wait Hours: Per Job,[368] Wait Hours: Per Job,[976] Wait Hours: Per Job
2014-08-01,0,0,0,0,0.00000000,0,0,0.00000000,1.00095000,0,0,0,0,0,0,0.00000000,0,1.00167778,0,0,0,0,0,0,0,0,0,0
2014-08-02,0,0,0,0,0.00000000,0,0,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-03,0,0,0,0,0.00000000,0,0,0.00000000,0.00000000,0,0,0,0,0,0,52.79720000,0,4.55190000,0,0,0,1.00080000,0,0,0,0,0,0
2014-08-04,634.82920000,0,0,0,0,0,0,0,1.00080000,526.42140000,0,0,0,0,0,1.02030000,500.76640000,29.82068877,0,454.65993810,0,0.00000000,3.22890000,2.57156667,0,0,0,0
2014-08-05,0.00000000,0,0,0,423.86760000,0,0,20.83690000,267.05897500,504.35640000,0,0,0,0,0,130.38168000,262.07272857,308.09278019,0,242.74930909,0,0.00000000,0.00000000,0,0,0,0,0
2014-08-06,675.00310000,0,0,0,12.61580000,0,0,12.28110000,206.77250000,314.86265000,0,0,0,0,0,309.32890000,0.00000000,249.49474783,0,0.00000000,0,0.00000000,0,0,0,0,0,0
2014-08-07,0.00000000,0,0,0,475.30928889,0,0,0.00000000,392.84430000,171.21777500,0,0,0,0,0,0.00000000,118.70152500,261.82606111,0,83.58329474,0,0.00000000,0,0,0,0,0,0
2014-08-08,0,0,0,0,28.07690000,0,0,0.00000000,141.37315000,124.77925000,0,0,0,0,0,271.14220000,216.08221429,184.19286809,0,169.95100625,0,4.86070000,0,0,0,0,0,0
2014-08-09,0,0,0,0,0.00000000,0,0,0.00000000,0.00000000,224.33360000,0,0,0,0,0,0.00000000,0.00000000,1.00059091,0,1.00060000,0,0.00000000,0,0,0,0,0,0
2014-08-10,0,0,654.24180000,0,560.58390000,224.86440000,0,0.00000000,242.08706000,34.77323333,0,0,0,0,0,65.24230000,208.00037778,43.70475723,0,68.78516296,50.97330000,0.00000000,0,0,0,0,0,0
2014-08-11,0,1055.44280000,0,0,4.25530000,0,0,0.00000000,5.33250000,2.49129286,0,0,0,0,0,1.06632340,1.66583333,8.76653962,0,2.30794074,0,0.00000000,0,0,0,1.00220000,0,0
2014-08-12,0,0.00000000,0,0,0.00000000,0,0,0.00000000,11.62835000,3.65917273,0,0,0,0,0,1.94155000,1.15930000,2.16592621,0,1.12632857,0,0.00000000,0,0,0,0.00000000,0,0
2014-08-13,0,0.00000000,0,0,0.00000000,0,0,140.30713333,17.95440000,1.38950000,0,0,0,0,0,4.76465714,1.13880000,2.11829630,0,2.09398696,0,0.00000000,0,0,0,0,0,0
2014-08-14,0,0.00000000,27.84030000,0,7.03127143,0,0,0.00000000,26.61250000,2.76627143,0,0,0,0,0,1.22321111,2.20677222,2.15553106,0,3.41082273,0,1.29920000,0,0,0,0,0,0
2014-08-15,0,22.74080000,0,0,1.03160455,0,0,0,1.00312000,1.00390000,0,0,0,0,0,4.12156667,1.70708750,1.90600091,0,1.75017895,0,0.00000000,0,0,0,0,0,0
2014-08-16,0,0.00000000,0,0,6.42000000,0,0,0,1.02780000,1.02250000,0,0,0,0,0,1.00187500,1.43305833,1.06471099,0,2.78862857,0,0.00000000,0,0,0,0,0,0
2014-08-17,0,0.00000000,0,0,14.67170000,0,0,0,1.62914667,5.70827500,0,0,0,0,0,1.00060000,1.48047143,1.70938378,0,2.59012667,0,0.00000000,0,0,0,0,0,0
2014-08-18,0,0.00000000,0,0,1.16695000,0,0,0,9.66858000,2.07170000,0,0,0,0,0,0.00000000,7.84845714,3.38216757,0,1.04709000,0,0.00000000,0,0,0,0,0,0
2014-08-19,0,0,0,0,0.00000000,0,0,0,8.53040000,1.50745000,0,0,0,0,0,0.00000000,12.79440000,11.81710159,0,2.44178462,0,0.00000000,0,0,0,0,0,0
2014-08-20,0,0,48.14580000,0,0.00000000,0,0,0,28.80010000,0.00000000,0,0,0,0,0,0.00000000,22.85926667,3.97414630,0,4.82723333,0,0.00000000,0,0,0,0,0,0
