Day,[768] Wait Hours: Per Job,[256] Wait Hours: Per Job,[1024] Wait Hours: Per Job,[512] Wait Hours: Per Job,[576] Wait Hours: Per Job,[320] Wait Hours: Per Job,[96] Wait Hours: Per Job,[48] Wait Hours: Per Job,[112] Wait Hours: Per Job,[128] Wait Hours: Per Job,[16] Wait Hours: Per Job,[64] Wait Hours: Per Job,[80] Wait Hours: Per Job,[32] Wait Hours: Per Job,[160] Wait Hours: Per Job,[384] Wait Hours: Per Job,[192] Wait Hours: Per Job,[480] Wait Hours: Per Job,[144] Wait Hours: Per Job,[288] Wait Hours: Per Job,[272] Wait Hours: Per Job,[240] Wait Hours: Per Job,[208] Wait Hours: Per Job,[224] Wait Hours: Per Job,[176] Wait Hours: Per Job
2015-02-01,0,0.00000000,0,0,0,0.00000000,0.00000000,0,0,0.00000000,1.92413333,12.04776667,0,2.58360000,0,0,0.00000000,0,0,0,0,0,0,0,0
2015-02-02,0,24.28920000,0,0,0,0.00000000,2.01157778,0,0,2.60984000,2.45978058,8.50921111,0,9.53756800,0,0,0.00000000,0,0,0,0,0,0,0,0
2015-02-03,0,0.00080000,0,0,0,0,3.50275000,0,0,0.64110000,2.57421765,2.59670833,0,1.78848571,0,0,0.00000000,0,0,0,0,0,0,0,0
2015-02-04,0,0.00000000,0,0,0,0,0.00000000,18.10265000,0,26.06915000,5.18815200,27.94730000,0,2.51451875,0,0.00030000,0.00000000,0,0,0,0,0,0,0,0
2015-02-05,0,0.00000000,0,0,0,0,0.46683333,25.95018333,0,1.19580000,15.84352609,21.19687500,2.84110000,6.19672500,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
2015-02-06,0,0.49110000,0,0,0,0,0.98305000,0.00000000,0,0.00000000,7.47686000,0.30155556,0.00060000,0.45937857,0,0.00000000,0.00060000,0,0,0,0,0,0,0,0
2015-02-07,0,0.00000000,0,0,0,0,0.00000000,0,0,0,0.00060000,0.00000000,0.00000000,0.00000000,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
2015-02-08,0,48.36030000,0,0,0,0,0,0,0,7.13470000,27.99988333,24.72860000,39.56250000,17.99346364,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
2015-02-09,5.03250000,0.00055000,0,1.82655000,0,0,0.80430000,0,0,0.17326000,11.32301400,28.49072000,0.00000000,6.70000000,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
2015-02-10,0,0.00000000,0,0.00060000,0,0,10.04310000,0,0,0.00090000,0.38573281,1.19403750,0,0.00050769,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
2015-02-11,0,0.42820000,19.84720000,0,0,0,0,0,0,0.82836667,0.98383137,7.49893333,17.38670000,1.71692143,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
2015-02-12,0,7.85810000,0,0,0,0,1.23315000,0,0,0.00056667,0.46575698,0.00162000,0.00060000,0.62800667,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
2015-02-13,0,0.00000000,0,0,0,0,0,0.00103333,0,0.14280000,0.02398810,1.93452500,0.00000000,0.02301053,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0
