Day,[60] Wait Hours: Per Job,[43] Wait Hours: Per Job,[35] Wait Hours: Per Job,[20] Wait Hours: Per Job,[30] Wait Hours: Per Job,[50] Wait Hours: Per Job,[8] Wait Hours: Per Job,[10] Wait Hours: Per Job,[64] Wait Hours: Per Job,[27] Wait Hours: Per Job,[41] Wait Hours: Per Job,[14] Wait Hours: Per Job,[39] Wait Hours: Per Job,[38] Wait Hours: Per Job,[15] Wait Hours: Per Job,[17] Wait Hours: Per Job,[46] Wait Hours: Per Job,[47] Wait Hours: Per Job,[29] Wait Hours: Per Job,[12] Wait Hours: Per Job,[4] Wait Hours: Per Job,[25] Wait Hours: Per Job,[42] Wait Hours: Per Job,[51] Wait Hours: Per Job,[19] Wait Hours: Per Job,[18] Wait Hours: Per Job,[61] Wait Hours: Per Job,[26] Wait Hours: Per Job,[57] Wait Hours: Per Job,[16] Wait Hours: Per Job,[21] Wait Hours: Per Job,[72] Wait Hours: Per Job,[1] Wait Hours: Per Job,[49] Wait Hours: Per Job,[24] Wait Hours: Per Job,[6] Wait Hours: Per Job,[65] Wait Hours: Per Job,[2] Wait Hours: Per Job,[33] Wait Hours: Per Job,[22] Wait Hours: Per Job,[37] Wait Hours: Per Job,[34] Wait Hours: Per Job,[32] Wait Hours: Per Job,[45] Wait Hours: Per Job,[44] Wait Hours: Per Job,[53] Wait Hours: Per Job,[48] Wait Hours: Per Job,[3] Wait Hours: Per Job,[69] Wait Hours: Per Job,[63] Wait Hours: Per Job,[11] Wait Hours: Per Job,[23] Wait Hours: Per Job,[58] Wait Hours: Per Job,[7] Wait Hours: Per Job,[59] Wait Hours: Per Job,[36] Wait Hours: Per Job,[55] Wait Hours: Per Job,[52] Wait Hours: Per Job,[66] Wait Hours: Per Job,[56] Wait Hours: Per Job,[5] Wait Hours: Per Job,[31] Wait Hours: Per Job,[54] Wait Hours: Per Job,[9] Wait Hours: Per Job,[67] Wait Hours: Per Job,[68] Wait Hours: Per Job,[28] Wait Hours: Per Job,[71] Wait Hours: Per Job,[13] Wait Hours: Per Job,[70] Wait Hours: Per Job,[40] Wait Hours: Per Job,[62] Wait Hours: Per Job
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,0,0,0,16.61463333,0,0,89.37863333,99.42015000,0,0,0,52.66470000,0,0,0,0,0,0,0,0,82.98644500,0,0,0,0,0,0,0,0,0.00235000,0,0,10.54371134,0,0,0,0,47.46822222,0,0,0,0,41.17000000,0,0,0,0,0.00610000,0,0,0,0,0,0,0,0,0,0,0,0,0.00223333,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,0.00380000,0.00170000,0,5.88470000,21.75295000,0.00362500,0.00365000,0.00240000,6.89970000,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00293673,9.11720000,0,0,0,0,0,0,0,0.00291591,0,0.00000000,0.25354857,0,0.00250000,25.35583333,0,5.04753166,0,0.00310000,0,0,0.00060000,0,0,0,0,0.00275000,0,0,0,0,0,0,0,0,0,0,0,0,0.00612500,0,0,0,0,0,0,0,0,0.00320000,0,0
2015-05-15,0.28036000,0.53110000,0,4.42327692,13.91088333,0.00000000,17.44641538,28.51463158,0,0,0,0,0,0,0,0,0,0,0,0.17706667,9.98442782,0.00306667,0,0,0,0,0,0,0,0.07134615,0,0.73140000,0.52449714,0,0.00785000,0.00437500,0,1.02760942,0,0.00000000,0,0,0.00588182,0,0,0,0,0.02933684,0,0,0,0,0,0,0,0,0,0,0,0,0.29195000,0,0.00212000,0.00140000,0.00055000,0,0.00294000,0,0,0.00000000,0.00350000,0
2015-05-16,0.00420000,0.00000000,0,1.48437500,17.00490000,0.00000000,8.83293871,0.12796667,0,0,0,0,0,0,0,0,0,0,0.00280000,0.18765000,2.24638846,0.00080000,0,0,0,0,0,0,0,0.00190000,0,8.49663750,0.21711132,0,0,0.00184524,0,5.11717400,0,0,0,0,0.00095000,0,0,0,0,0.00188980,0,0,0,0,0,0,0,0,0,0,0,0,0.10957692,0,0,0.00240000,0.00042500,0,0.00170000,0,0,0,0,0
2015-05-17,8.83250000,0,0,4.23593750,8.71470000,0,5.89588929,0.00393478,0,0,0,0,0,0,0,0,0,0,0.00110000,0.00345000,3.02752105,3.31775000,0,0,0,0,0,0,0,0.00557000,0,0.00000000,10.16126079,0,0,0.00477778,0,0.17050160,0,0.00310000,0,0,0,0,0,0,0,0.00285455,0,0,0,0.00360000,0,0,0,0,0,0,0,0,0.00000000,0,0,0.00000000,0.00000000,0,0.00310000,0,0,0,0,0
2015-05-18,19.48340000,0.15810000,0,3.97038056,0,0.80860000,2.94403878,0.17477381,0,0.13795000,0,0,0,0,0,0,0,0,0.07860000,0.00500000,7.11452482,0.53053333,0,0,0,0,0,0,0,0.02574444,0,0.94153000,2.39889417,0,0.00670000,0.48897391,0,1.83632037,0,0.00000000,0,0,0.02060000,0,0,0,0,0.09850000,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00220000,0,0,0,0,0,0.80170000,0,0,0,0,0
2015-05-19,0.54622000,1.94948750,0,3.04747857,0,0.58628889,0.07088000,36.14813043,0,0.00000000,0,0,0,0,0.01030000,0,0,0,0.00000000,0.57250000,0.15666471,0.00000000,0,0,0,0,0,0,0,0.04557500,0,0.00920000,5.53258983,0,0.13890000,2.59075714,0,4.26008291,0,0.00000000,0,0,0,0,0,0,0,0.14631951,0,0,0,0.00000000,0,0,0,0.27670000,0,0,0,0,0.07671667,0,0,0,0,0,0.00000000,0,0,0,0,0
2015-05-20,0.00690000,0.01640000,0,1.24194167,0.28960000,5.72788125,0.41272105,5.40370000,0.21610000,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0.37015000,2.75244679,0,0,0,0,0,0,0,0,0.10267778,0,0.10093750,8.60904268,0,1.58637500,0.10925714,0.02276667,0.34059828,0,0,0,0,0,0,0,0,0,0.07627838,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0.29970000,0,0
2015-05-21,2.02875000,0.02420000,0,4.17941250,0.39992000,27.42786000,0.00147059,100.20401538,0.22750000,1.19890000,0,0,0,0,0,0,0,0,1.95140000,0.71967857,1.93359552,0,0,0,0,0,0,0,0,2.78330000,0,0,0.07732239,0,3.23216667,0.00256667,0.00000000,2.02277987,0,0,0,0,0,0,0,0,0,0.13160333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.11780000,0,0,0.25500000,0.63088333,0
2015-05-22,18.31156667,0.18750000,0,0.15120000,0.61085000,19.16180000,3.77861905,24.72786316,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0.14710000,10.45970694,0,0,0,0,0,0,0,0,7.51600909,0,0,1.40149381,0,11.23516667,9.90390000,0,0.98565900,0,0,0,0,0,0,0,0,0,7.65106000,0,0,0,0,0,0,0,0,0,0,0,0,0.00110000,0,0,0,0,0,0.00000000,0,0,1.79750000,2.64390000,0
2015-05-23,51.68458333,0.00000000,0,0,0.00182500,0.00512000,9.78722069,33.87433636,0.00000000,0.00250000,0,0.00060000,0,0,0.00070000,0,0,0,0.00000000,0.00174545,1.27586136,0,0,0,0,0.00420000,0,0,0,0.00010000,0,0,3.01863011,0,12.10332857,0.00095000,0,0.00719390,0,0,0,0,0,0,0,0,0,0.00319348,0,0,0,0,0,0.00330000,0,0.00110000,0,0,0,0,0.00140000,0,0.00170000,0,0,0,0.00000000,0,0,0.00000000,0.00000000,0
2015-05-24,77.28338000,0.00130000,0,0,0.00062500,0.00030000,28.54169623,1.92250267,0,0.00000000,0,0,0,0,0.00000000,0,0,0,0,0.00051250,8.93580357,0,0,0,0,0,0,0,0,0.00360000,0,0,0.00119405,0,0.00570000,0,0,0.24428750,0,0,0,0,0,0,0,0,0,0.00122500,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00015000,0,0,0,0,0,0,0,0,0,0.00000000,0
2015-05-25,39.03692308,0.00080000,0,0,0.00218333,0.00940000,43.14365500,39.13954884,0,0.00000000,0,0,0,0,0.00220000,0,0,0,0,0.00240000,0.85946863,0,0,0,0,0,0,0,0,0.00000000,0,0.00030000,0.00214094,0,0.00000000,0,0,0.00216667,0,0,0,0,0,0,0,0,0,0.00254783,0,0,0,0,0,0.00000000,0,0.00280000,0,0,0,0,0.00410000,0,0,0,0,0,0,0,0,0,0.00000000,0
2015-05-26,49.94310833,0.00030000,0,0.68403077,9.90711667,0,3.19362500,3.76787059,0,0,0,0,0,0,0,0,0,0,0,0.00201176,4.91068971,0.00140000,0,0,0,0,0,0,0,0.00161667,0,0.00000000,0.33664357,0,0.00000000,0,0,0.13480431,0,0,0,0,0,0,0,0,0,0.00207500,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0.00097500,0,0,0,0,0,0.00470000,0,0,0.00235000,0.00140000,0
2015-05-27,0.65556000,0.00000000,0,5.67286667,16.85800833,0,0.00198750,20.82450417,0.00165000,0.00610000,0,0,0,0,0.00085000,0,0,0,0,0.00000000,2.55977333,1.92460000,0,0,0,0,0,0,0,0.00288095,0,0.01576471,0.77351858,0,0.00375000,0.00030000,0,0.16826193,0,0.00030000,0,0,0,0,0,0,0,0.00217674,0,0,0,0,0,0,0,0.00125000,0,0,0,0,0.00140000,0,0,0,0,0,0.00000000,0,0,0.00000000,0.00500000,0
2015-05-28,6.83046667,0,0,3.40965000,23.25038000,0,21.55958333,7.27627576,0.00110000,0.00097500,0,0,0,0,0,0,0,0,0,0.00130000,13.18354894,0.00000000,0,0,0,0,0,0,0,0.00261667,0,0.00463913,1.60946296,0,0.00000000,0.00290000,0,0.00176746,0,0,0,0,0,0,0,0,0,0.00152041,0,0,0,0,0,0,0,0.00045000,0,0,0,0,0.00172500,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,7.99010000,0.00203333,0,5.89860000,36.61410000,0.00060000,3.42153077,11.32752857,0,0.00000000,0,0,0,0,0,0,0,0,0,0.00030000,3.29414464,0.00330000,0,0,0,0,0,0,0,0.00198333,0,0.00227000,0.87998318,0,0.00000000,0.00090000,0,0.10859679,0,0,0,0,0.00170000,0,0,0,0,0.00265476,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00136667,0,0.03170000,0,0,0,0.00140000,0,0,0,0,0
2015-05-30,0.00000000,0,0,0.00000000,24.32527500,0.00000000,18.43175000,24.00516667,0,0.00000000,0,0,0,0,0,0,0,0,0,0.00332000,7.13901351,0.00000000,0,0,0,0,0,0,0,0.00036667,0,0.00030000,0.48733903,0,0.00250000,0.00000000,0,0.00249706,0,0,0,0,0,0,0,0,0,0.00204286,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0,0,0.00000000,0,0,0,0,0
2015-05-31,0,0,0,0.00000000,19.59405000,0,2.27766500,3.09881613,0,0,0,0,0,0,0,0,0,0,0,0.00255714,6.76680263,0.00330000,0,0,0,0,0,0,0,0.00460000,0,0.00340000,5.65397505,0,0,0.00000000,0,0.00252297,0,0,0,0,0.00155714,0,0,0,0,0.00316250,0,0,0,0,0,0,0,0,0,0,0,0,0.00147500,0,0.00000000,0.00000000,0,0,0.00000000,0.00500000,0,0,0.00060000,0
2015-06-01,0,0,0,5.48326667,0,0,3.89341304,13.44378800,0,0,0,0,0,0,0,0,0,0,0,0.00155000,3.09314368,0.00000000,0,0,0,0,0,0,0,0.00195000,0,0,0.24266601,0,0,0.00000000,0,0.00217130,0,0,0,0,0.00140000,0,0,0,0,0.00253182,0,0,0,0,0,0.00125000,0,0,0,0,0,0,0.00330000,0,0,0,0,0,0,0,0,0,0.00530000,0
2015-06-02,0,0,0,3.61364444,0,0,4.14254545,6.85968571,0,0,0,0,0,0,0.00296667,0,0,0,0,1.43584154,2.42004667,0.00000000,0,0,0,0,0,0,0,0.00271429,0,0,0.63307449,0,0.00156667,0.00050000,0,0.00251625,0,0,0,0,0.00147500,0,0,0,0,0.00367123,0,0,0,0,0,0.00160000,0,0,0,0,0,0,0.00077500,0,0,0,0,0,0.00155000,0,0,0,0.00332500,0
2015-06-03,0,0,0,5.23050833,0,0,2.41782679,8.11167778,0.00615000,0,0,0,0,0,0.00080000,0,0,0,0,1.15664264,8.49838491,0,0,0,0,0,0,0,0,0.00260357,0,0,1.05949171,0,0.00000000,0.00235625,0,0.00297844,0,0,0,0,0.00208333,0,0,0,0,0.00264444,0,0,0.00220000,0,0,0.00277500,0,0,0,0,0,0,0.00175714,0,0,0.00610000,0,0,0.00000000,0,0,0,0.00122000,0
2015-06-04,0,0,0,2.44665833,0,0,3.41729500,5.64954118,0,0,0,0,0,0,0.00030000,0,0,0,0,0.00192963,1.45876581,0.00080000,0,0,0,0,0,0,0,0.00047692,0,0,3.54387470,0,0.00042500,0.00090000,0,0.00189245,0,0,0,0,0.00000000,0,0,0,0,0.00183548,0,0,0,0,0,0,0,0.00436667,0,0,0,0,0.00103333,0,0,0,0,0,0,0,0,0,0.01895000,0
2015-06-05,0,0,0,5.27767778,0,0.16610000,0.00099615,5.14487679,0.00284000,0.00170000,0,0,0,0,0,0,0,0,0,0.00085000,1.52289537,0.00000000,0,0,0,0,0,0,0,0.00156000,0,0,0.87181732,0,0,0.00200714,0,0.00212141,0,0,0,0,0.00207500,0,0,0,0,0.00233200,0,0,0,0,0,0.00110000,0,0,0,0,0,0,0.13915385,0,0,0,0,0,0.00265000,0,0,0,0.00000000,0
2015-06-06,0,0,0,0.00063333,0,0.02490000,3.04963947,11.43058571,0.00000000,0.00030000,0,0,0,0,0,0,0,0,0,0.00146000,1.96020726,0,0,0,0,0,0,0,0,0.00258571,0,0,6.71074375,0,0,0.78482258,0,0.00333556,0.00426667,0,0,0.00222500,0.00146667,0,0,0,0,0.00166154,0,0,0,0,0,0.00540000,0,0,0,0,0,0,0.38474444,0,0,0,0,0,0.00000000,0,0,0,0.00000000,0
2015-06-07,0,0,0,0,0,0,0.20178148,16.61782308,48.00780000,0.00000000,0,0,0,0,0,0,0,0,0,0.00315000,3.18274868,0,0,0,0,0,0,0,0,0.00232500,0,0.00405000,1.84635578,0,0,3.80153846,0,0.32059514,0,0,0,0,0.00000000,0.00030000,0,0,0,0.00269231,0,0,0,0,0.02060000,0.00345000,0,0,0,0,0,0,0.11726098,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,0,0,0,0,0,0,4.32397708,7.79150811,0,0.00000000,0,0,0,0,0,0,0,0,0,0.00233000,2.05117759,0,0,0,0,0,0,0,0,0.00226190,0,0.00265000,3.80467240,0,0.00134000,0.00341282,0,0.20498547,0,0,0,0,0.00254286,0,0,0,0,0.00235682,0,0,0,0,0.01310000,0.00250000,0,0.00260000,0,0,0,0,0.22823474,0,0,0.00258636,0,0,0,0,0.00280000,0,0.00125000,0
2015-06-09,0,0,0,0.88650000,5.94963333,0,0.72822889,13.63528125,0,0,0,0,0,0,0,0,0,0,0,0.18044545,3.47829938,0,0,0,0,0,0,0,0,1.54020588,0,3.95171667,2.96580193,0,0.02666667,1.19040000,0,1.19671467,0,0,0,0,0.19430000,0,0,0,0,1.10870000,0,0,0,0,0.00000000,3.97076250,0,0.00890000,0,0,0,0,0.93505556,0,0,0,0,0,0.02195000,0,0,0,0.40855000,0
2015-06-10,0,0,0,3.23563333,26.86985000,0,2.68100804,12.00287857,0.00500000,0,0,0.00145000,0,0,0.00270000,0,0,0,0,0.00322857,4.64503676,0,0,0,0,0,0,0,0,7.58857750,0,0.00628125,4.08265950,0,0.00390000,0.95461129,0,1.93139888,0,0,0,0,0.00153750,0,0,0,0,0.00405000,0,0,9.65440000,0,0.00000000,5.66858000,0,0.00030000,0,0,0,0,0.05576667,0,0,0,0,0,0,0,0.48799524,0,0.00140000,0
2015-06-11,0,0,0,13.27536667,50.77445000,0,0.00390000,9.68608000,0,0,0,0.00110000,0,0,0.00080000,0,0,0,0,0.00500000,0.83413497,0,0,0,0,0,0,0,0,0.00166667,0,0.00670000,1.41833393,0,0.00485000,0.01998182,0,0.00287698,0,0.00395000,0,0,0.00353333,0,0,0,0.00165000,0.13646176,0,0,0.00110000,0,0,0.01544500,0,0.00000000,0,0,0,0,0.35211957,0,0,0.00250000,0,0,0,0,0.00110000,0,0.00453333,0
2015-06-12,0,0,0,2.30229167,29.35220000,0,0.00412308,0.12135800,1.91865000,0,0,0.00640000,0,0,0,0,0,0,0,0.00224545,0.05965650,0,0,0,0,0,0,0,0,3.41668500,0,3.55040000,6.67328720,0,0,0.00350909,0,0.00371613,0,0.00322000,0,0,0.00330000,0,0,0,0.00040000,0.59172500,0,0,0.00080000,0,0,0.00230000,0,0,0,0,0,0,0.00202500,0,0,0.00207500,0,0,0,0,0.01464872,0,0.00483000,0
2015-06-13,0,0,0,10.90526667,10.98881429,0,3.28363333,0.00319355,10.49042000,0,0,0.00000000,0,0,0,0,0,0,0,0.00323333,0.00896335,0,0,0,0,0,0,0,0,0.00085000,0,0,1.79177155,0,0.00280000,0.00310000,0,0.00120000,0,0,0,0,0.00080000,0,0,0,0,49.88080000,0,0,0.00000000,0,0,0,0,0,0,0,0,0,18.54530000,0,0,0,0,0,0,0,0.01785600,0,0.00000000,0
2015-06-14,0,0.00000000,0,0,33.53797500,0,0.00241111,0.00349474,29.71470000,0,0,0,0,0,0,0,0,0,0,0.00555556,1.24686522,0,0,0,0,0,0,0,0,0.00170000,0,0.00220000,5.00837111,0,0.00310000,0.00336667,0,0.00188676,0,0,0,0,0.00305000,0,0,0,0.00000000,0.00351667,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0.00556800,0,0,0,0,0,0,0,0.00373636,0,0.00203333,0
2015-06-15,0,0.05803333,0,2.54988000,46.35460000,0,5.96085000,0.00575970,0.00000000,0,0,0.00060000,0,0,0,0,0,0,0,0.00406000,0.13309231,0,0,0,0,0,0,0,0,0.28444615,0,0.00411000,1.46868273,0,0,0.00313846,0,0.00345647,0,0,0,0,0.00220000,0.00030000,0,0,0,0.25844615,0,0,0.00390000,0,0,0.00910000,0,0,0,0,0,0,0.00428049,0,0,0,0,0,0,0,0.00171111,0,0,0
2015-06-16,0,0.00500000,0,1.12687500,0,0,0.00257097,0.00771205,51.81416667,0,0,0.00070000,0,0,0,0,0,0,0,0.00338333,1.41763742,0.09910000,0,0,0,0,0,0,0,0.00334615,0,7.45416667,4.55067421,0,0,0.00410769,0,0.00280833,0.10576250,0,0,0.11017500,0.00000000,0.00000000,0,0,0,0.79116667,0,0,0.00000000,0.05197500,0.04003750,0.00140000,0.09044286,0,0.08861429,0,0,0,0.62481429,0,0,0,0,0,0,0,0.00445000,0.02336250,0,0.01007500
2015-06-17,0.98706000,2.01970000,2.33625000,0.44470000,1.56797500,2.04040000,7.96662703,0.21270500,1.55907647,1.33985000,2.36110000,1.77510000,0,1.85190000,0.00140000,2.50415000,2.15470000,2.23943333,2.58920000,0.81947778,0.67699240,1.25801667,2.29812000,1.98710000,1.52804000,1.67855000,1.07760000,1.71597500,1.55111429,1.31054118,2.62460000,0.34400000,4.35653028,2.13056667,1.11728000,0.01640357,0.45095000,3.14569091,1.51025455,1.75790000,1.82333333,1.44035000,0.51284000,0.89384000,2.28530000,1.83718750,2.15985000,0.03440000,0.47230000,0.81426667,0.56367500,0.78397778,0.93380909,0.13928000,0.71218750,2.43473333,0.30305000,1.81280000,0.70375000,0,0.00000000,2.58026667,1.72540000,0.46536667,0.61430000,0,0,0.32335000,0.05695714,0.18960000,1.97610000,0.14242500
2015-06-18,1.05406667,2.40884286,2.29500000,0.24916667,3.05202500,1.53912000,0.56763478,0.65288431,3.63567619,0.67500000,2.40101667,2.75772000,2.58744000,2.80040000,1.18004286,2.60030000,2.25606000,2.19145000,3.10372000,10.28304400,2.72940660,0.76662000,2.36730000,1.84035000,1.95901667,2.20843333,1.10693333,1.32165000,0.09735000,2.99212000,2.60500000,0.18083750,6.22543333,1.70516000,1.43375000,0.68870811,0.68765000,0.10280851,2.31375000,1.38940000,2.52645000,2.93616000,1.65953333,1.27850000,1.91055000,1.30125000,3.49613750,0.78336829,0.29207500,0.74878000,1.80332500,1.80712000,1.30453333,2.26466000,1.26250000,2.86077500,1.55750000,1.78140000,0.49202500,1.52296667,1.06550000,0,1.72560000,3.03841429,0.38625000,0.36280000,1.27915000,0.23060000,2.77250000,0.15320000,2.67396667,0.89335000
2015-06-19,0,0,0,3.04007500,0.21610000,0.15445000,0.66356667,1.57511892,0.24025000,0,0,0,0,0,0.00000000,0,0,0,0,5.74163529,0.45688911,0.00390000,0,0,0.00000000,0,0,0,0,3.20564286,0,0.17070000,5.68191376,0,1.63730714,0.52921071,0,1.69191565,0,0.00000000,0,0,0.00972000,0.05140000,0,0,1.33886000,0.10812500,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0.28870000,0,0,0,0,0,0.32780000,0,0.00886757,0.18493333,0,0
2015-06-20,0,0,23.78093333,34.97060000,0,0.00000000,0.57991250,3.55314706,0,0,0,0,0,0,0,0,0,0,0,13.42310000,0.37917895,0,0,0,0,0,0,0,0,10.24648333,0,0.00030000,2.03073857,0,0.00000000,0.00297500,0,1.45844583,0,0,0,0,0.00296667,23.42330000,0,0,0,0.00580000,0,0,0,0,0,0,0,0,0,0,0,0,0.00170000,0,0,0,0,0,0.00000000,0,0,0.00030000,0,0
2015-06-21,0,0,0.00000000,3.51562000,0,0.00146667,1.04485870,0.08190345,0,0,0,0,0,0,0,0,0,0,0,0.00030000,0.11018684,0,0,0,0,0,0,0,0,11.59802857,0,0,4.26026521,0,0.00360000,0.23188421,0,0.00200000,0,0,0,0,0,0.00186667,0,0,0,0.00070000,0,0,0,0,0,0,0,0,0,0,0,0,0.00231429,0,0,0,0,0,0.00000000,0,0.00168235,0.00000000,0,0
2015-06-22,0,0,0,0.68425714,0.00110000,0.00000000,1.48533913,0.17401867,0.00250000,0,0,0,0,0,0.00145556,0,0,0,0,0.00170625,1.61612424,23.91007500,0,0,0,0,0,0,0,7.53192222,0,5.25205000,1.61370046,0,0.00640000,0.00186364,0,0.00155333,0,0,0,0,0.00140000,0.00000000,0,0,0,0.00234444,0,0,0,0,0,0,0,0,0,0,0,0,0.00202857,0,0,0,0,0,0.00015000,0,0.00077500,0,0.00270000,0
2015-06-23,0.00187500,0,0,0.05102500,0.00580000,0.10650000,6.21585667,1.09055185,0.00280000,0,0,2.68810000,0,0,3.10250000,0.67360000,0,0,0,3.37317059,2.46778981,0.00000000,0,0,0,0.00750000,0,0,0,7.85490909,0,13.32240000,1.13167453,0,0.00000000,0.03237500,0,0.09507857,0,0.18110000,0,0,0.07610000,2.44556667,0,0,0,0.17630000,0,0,1.99720000,0,0,0,0,0,0,0,0,0,0.06713158,0,0,0,0,0,0.00000000,0,2.46780000,0.09857778,0.19640000,0
