Day,[40] Wait Hours: Per Job,[67] Wait Hours: Per Job,[64] Wait Hours: Per Job,[22] Wait Hours: Per Job,[52] Wait Hours: Per Job,[48] Wait Hours: Per Job,[12] Wait Hours: Per Job,[58] Wait Hours: Per Job,[53] Wait Hours: Per Job,[7] Wait Hours: Per Job,[39] Wait Hours: Per Job,[24] Wait Hours: Per Job,[55] Wait Hours: Per Job,[26] Wait Hours: Per Job,[3] Wait Hours: Per Job,[15] Wait Hours: Per Job,[56] Wait Hours: Per Job,[31] Wait Hours: Per Job,[35] Wait Hours: Per Job,[4] Wait Hours: Per Job,[5] Wait Hours: Per Job,[8] Wait Hours: Per Job,[42] Wait Hours: Per Job,[16] Wait Hours: Per Job,[20] Wait Hours: Per Job,[50] Wait Hours: Per Job,[6] Wait Hours: Per Job,[32] Wait Hours: Per Job,[18] Wait Hours: Per Job,[28] Wait Hours: Per Job,[60] Wait Hours: Per Job,[21] Wait Hours: Per Job,[30] Wait Hours: Per Job,[13] Wait Hours: Per Job,[14] Wait Hours: Per Job,[38] Wait Hours: Per Job,[19] Wait Hours: Per Job,[43] Wait Hours: Per Job,[49] Wait Hours: Per Job,[9] Wait Hours: Per Job,[11] Wait Hours: Per Job,[17] Wait Hours: Per Job,[46] Wait Hours: Per Job,[25] Wait Hours: Per Job,[54] Wait Hours: Per Job,[2] Wait Hours: Per Job,[70] Wait Hours: Per Job,[72] Wait Hours: Per Job,[45] Wait Hours: Per Job,[41] Wait Hours: Per Job,[1] Wait Hours: Per Job,[36] Wait Hours: Per Job,[27] Wait Hours: Per Job,[62] Wait Hours: Per Job,[34] Wait Hours: Per Job,[57] Wait Hours: Per Job,[44] Wait Hours: Per Job,[65] Wait Hours: Per Job,[29] Wait Hours: Per Job,[23] Wait Hours: Per Job,[63] Wait Hours: Per Job,[59] Wait Hours: Per Job,[10] Wait Hours: Per Job,[61] Wait Hours: Per Job,[47] Wait Hours: Per Job,[68] Wait Hours: Per Job,[37] Wait Hours: Per Job,[33] Wait Hours: Per Job,[66] Wait Hours: Per Job
2016-02-01,100.26527000,0,0,0.00000000,0,0,0.35671786,0,0,0,0,0.00242500,0.00000000,0,4.11719444,0.00000000,0,0,0,0.21035045,1.04195000,5.38847119,0.02070000,1.97650000,10.65352667,0,7.90323333,0,0.14750000,0,0,0,0,0,3.93015000,0,0,0,0,4.67280000,1.31045000,0.00000000,0,0.03535000,0,0.57107615,5.15625000,0.38150000,0,0,2.98962010,0,0,0,0,0,0,0,0,0,0,0,0.87602857,0,0,0,0,0,0
2016-02-02,223.83313333,40.87625000,0.29060000,5.85970000,0,0,7.05198462,0,0,0,0,0.01222500,12.36265000,0,6.71685556,0.00000000,0,0,0,3.69640000,2.24902500,9.61332927,25.55165000,11.42355625,14.02172500,5.57420000,11.89942500,0.00000000,0,6.97390000,0,0,0,0,0.00000000,0,0,0,0,4.83223333,0.00000000,0,0,2.99979000,0,0.87899847,3.81005556,2.98230000,0,0,1.43020594,0,0,0,0,0,0,0,0,0,0,0,7.02653810,0,0,0,0,0,0
2016-02-03,62.76993333,0,0,7.97110000,0,0,59.50150000,0,0,1.74621429,0,0.27097500,0.00000000,0,6.76035789,6.65843333,0,3.74080000,0,1.50445070,0.93751667,12.62112609,3.90330000,10.05313333,0.06535000,1.75530000,4.53471875,0,0.12070000,2.93110000,0,0,0.09140000,0,0.00000000,0,0,0,0,0.69376522,0.00000000,0,0,5.14930000,0,0.70965427,1.75970000,3.03630000,0,0,3.64855867,0.78390000,0,0,0,0,0,0,0,0,0,0,3.09752459,0,0,0,0,0,0
2016-02-04,9.93990000,0,0.64960000,0.00000000,0,0,7.98824658,0,0,0.00000000,0,2.28546667,0.00000000,0,5.63298750,14.96620000,0,1.67310000,0,5.28354583,0.68589355,3.12729216,0.52580000,0.43272667,1.14016000,3.70610000,4.16260000,0,0,0.00000000,0,0,0,0,0,0,2.93440000,0,0,0.17646857,5.86310000,0,0,0,0,1.03596731,0,3.05155000,0,0,1.11805810,0,0,0,0,0,0,0,0,0,0,0,7.31774203,0,0,0,0,0,0
2016-02-05,339.49676667,0,0,0.00297143,0,0,12.59231364,0,0,0.00198333,0,11.37170000,0,0,5.52212222,28.80371333,0,8.01360000,0,2.26528421,1.04862000,7.45961875,0,2.84960833,0.00366000,0.00260000,0.00351000,0.00000000,0.00070000,0.00000000,0,0,0,0,11.26420000,0,0.09220000,0.09743333,0,0.02132500,0.00170000,11.41110000,0,0,0,0.55072929,0,0.22021667,0,0,8.25802752,0,0,0,0,0,0,0,0,0,0,0,1.44773425,0,0,0,0,0,0
2016-02-06,0.00000000,0,0,0.00295455,0,0,3.00778462,0,0,0.00353750,0,0.00000000,0,0,0.00332500,9.72840000,0,0.00610000,0,1.86708387,0.00228000,0.00282800,0.24650000,0.13500000,0.00270000,0.00750000,7.99517143,0,0.00000000,0,0,0,0,0,0,0,0.00080000,0.01842941,0,0.00341000,0.00000000,0.00000000,0,0,0,0.00336697,0.00210000,0.00291667,0,0,8.63988925,0,0,0,0,0,0,0,0,0,0,0,0.00361304,0,0,0,0,0,0
2016-02-07,0.00000000,0,0,0.00000000,0,0.00220000,0.00187500,0,0,0.00353333,0,0.00030000,0,0,0.00268333,10.80972000,0,0.00000000,0,1.87681333,0.00000000,0.00325000,12.99470000,0.12463333,0.00341667,0.00000000,0.00284500,0,0,0,0,0,0,0,0,0,0,0.38117500,0,0.00330000,0.00220000,0.00000000,0,0,0,0.00291860,0.00000000,0.00285714,0,0,15.55821816,0,0,0,0,0,0,0,0,0,0,0,0.00248333,0,0,0,0,0,0
2016-02-08,0,0,0,0,0,0,0.00360000,0,0,0,0,0,0,0,88.81875000,0,0,0,0,6.16896486,0.00000000,0.00282308,0,0.10045000,0.00276667,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0,0,0,0,1.83664882,0,0.00332500,0,0,33.71135669,0,0,0,0,0,0,0,0,0,0,0,0.00473636,0,0,0,0,0,0
2016-02-09,490.24900000,0,0,81.77235000,0,0,58.14503333,0,0,49.47875000,0,0,0,0,46.10654286,0,0,0,0,67.34668667,74.41310000,47.66260000,83.63420000,0,51.87305000,0,52.56827778,0,0,49.08220000,0,0,0,0,0,0,0,46.40330000,0,0,55.59190000,0,0,0,0,86.00794222,0,35.37320000,0,0,82.79989785,0,0,0,0,0,0,0,0,0,0,0,49.79776667,0,0,0,0,0,0
2016-02-10,67.95118000,0,0,0.00920000,0,0.76890000,0.68414000,0,0,0.00235000,0,0.05933333,0,0,0.00343448,1.85976667,0,0,0,1.92883269,0.00328276,2.00795625,0.83735000,6.26880000,0.82536667,0.31030000,3.88602857,1.62316667,0.09687500,1.27672500,0,0,0.14305000,0.00193333,0.00140000,0,0,0.02872000,0,0.00305000,0.00332727,7.05690000,0,0.37445769,0,1.46653180,0,0.68607692,0,0,0.89499532,0.00415000,0,0,0,0,0,0,0,0,0,0,0.69431579,0,0,0,0,0,0
2016-02-11,273.73805000,0,0,11.26835000,0,0,10.17798351,0,0,0.00000000,0,1.21634000,0,0,2.48823333,6.28762500,0,9.33280000,0,9.63131250,1.74255000,7.84671905,9.87140000,0.18270000,3.03965000,5.89580000,8.73717273,0.00000000,1.38745000,0,0,0,0,0.00000000,12.17440000,0,0,0.32280000,0,0.00720000,0.00000000,11.10190000,0,0.00000000,0,6.74075128,0,8.60955000,0,0,1.24608352,0,0,0,0,0,0,0,0,0,0,0,13.42172500,0,0,0,0,0,0
2016-02-12,1.98376667,0,2.20530000,0,0,0,4.73211538,0,0,0,0,0.35960000,0,0,7.80756458,27.07504286,0,6.27655000,0,5.21368049,1.72496667,24.11360714,2.57945000,0.22245000,3.57645000,0.53830000,0.00000000,0.00000000,0.00257500,0,0,0,6.38080000,3.69984444,0.37360000,0,0,0,0,3.33078333,0,0.05250000,0,7.20330000,0,4.99035582,0,0.95203333,0,0,2.30847290,0,0,0,0,0,0,0,0,0,0,0,10.83890556,0,0,0,0,0,0
2016-02-13,341.19606667,0,2.44670000,0,0,16.30250000,16.28378125,0,0,0,0,26.85830000,0,0,15.62640000,79.79390000,0,16.91110000,0,18.50377586,11.66420000,37.88976667,22.14845000,30.37426667,26.90960000,0,13.33316000,17.92012500,28.55036667,0,12.21830000,0,60.15220000,12.99353333,25.64853333,0,0,0.12390000,0,0,0,0,0,0,0,11.27720741,7.81235000,2.99470000,0,0,14.52369976,0,0,0,0,0,0,0,0,0,0,0,41.35191111,0,0,0,0,0,0
2016-02-14,4.33820000,0,1.23470000,0,0,0.00000000,37.97402500,0,0,0,0,0,0,0,9.95504839,53.70375000,0,16.61750000,0,10.04696154,18.89723333,0.00000000,4.91655000,23.48860000,20.38820000,0,18.57675000,5.41220000,22.71610000,0,2.83640000,0,0.00000000,19.49140000,0.00000000,0,0,0,0,0,0,0,0,0,0,11.80413591,12.67310000,7.61534000,0,0,2.83693892,0,0,0,0,0,0,0,0,0,0,0,26.03144000,0,0,0,0,0,0
2016-02-15,442.62375000,0,1.67330000,0.08396667,0,1.41813333,3.53178000,0,0,0,0,2.71600323,0,0,3.70765417,37.69461250,0,0,0,7.01242364,0.20307500,1.08795263,1.46320000,6.73788000,1.66590000,0,4.11580000,7.18300000,2.84870000,0,7.15468750,0,0.00000000,0.00000000,2.53000000,0,0,0,0,0,0,0,0,0,0,0.82675270,0.60500000,2.02619524,0,0,1.64185198,0,0,0,0,0,0,0,0,0,0,0,4.42082222,0,0,0,0,0,0
2016-02-16,3.91125000,0,0.00000000,6.68220000,0,7.98470000,9.05462857,0,0,0,0,5.25451892,0,0,6.77156471,10.84542500,0,4.69820000,0,2.74275532,2.41180000,22.97290000,23.97720000,6.81208000,22.70083333,0,4.28048000,0.13725000,14.66650000,0,0.00000000,0.09795000,0,7.47806667,0,0,0,0,0,0.01190000,0,0,0,1.08555000,0,0.84294249,0.00000000,1.72107333,0,0,5.37969632,0,0,0,0,0,0,0,0,0,0,0,15.96656190,0,0,0,0,0,0
2016-02-17,510.54262500,0,3.19875000,2.49190000,0,6.68643590,5.35178571,0,0,0,0,0.00000000,0,0,3.65081818,11.17117500,0,0,0,2.29581750,1.14124400,4.62308571,17.53420000,13.92322000,7.83402000,0,3.84716000,27.80400000,29.75370000,0,0,0.22015000,1.01310000,0.00000000,0,0,0,0,0,0.00000000,0,9.36170000,0,3.81166667,0,0.29174690,0,2.70497000,0,0,13.41644850,0,0.30485000,0,0,0,0,0,0,0,0,0,2.40040303,0,0,0,0,0,0
2016-02-18,695.27467500,0,0.00000000,0,0,12.96277879,15.94462667,0,0,0,0,19.72080000,0,0,6.28646667,37.60220000,0,0,0,10.70587397,1.07194286,3.66711053,9.79190000,4.05277778,25.44043333,0,15.82640769,0,37.44038000,0,0,0.00000000,0.00000000,0,0.04830000,0,0,5.88796667,0,4.03140000,0,20.10440000,0,0,0,2.78632959,0,13.37440000,0,0,11.72293554,0,0.00000000,0,0,0,0,0,0,0,0,0,6.24006364,0,0,0,0,0,0
2016-02-19,15.47330000,0,13.10610000,11.32637500,0,10.54063061,16.68722396,0,0,0.07725000,0,0.00000000,0,0,5.31111905,20.51551667,0,0,0,17.19920019,0.01375000,3.37022667,4.30310000,9.52213333,1.51705455,0,6.37593333,0,7.84892500,0,0,14.90650000,14.64500000,0,14.92220000,0,0,8.06280000,0,16.13280000,0,0.00000000,0,15.76772105,0,2.25308767,0,8.84305000,0,0,6.28414555,0,0.00000000,0,0,0,0,0,0,0,0,0,12.50435625,0,0,0,0,0,0
2016-02-20,4.51280000,0,2.22170000,0.67155000,0,9.30237692,5.35086875,0,0,0.00000000,0,0.00690000,0,0,1.15600000,23.22720000,0,0,0,6.71086711,0.46500000,0.69437222,0.00000000,16.52851667,19.00938000,0,9.51125000,4.18890000,5.75030000,0,0,3.72063333,0.00000000,0,3.98166667,0,0,0,0,0.00000000,0,0,0,0.00000000,0,0.62575938,0,3.03296667,0,0,5.97628164,0,0,0,0,0,0,0,0,0,0,0,9.64100000,0,0,0,0,0,0
2016-02-21,1.33712000,0,1.24640000,0.94472500,0,0.03345000,1.65447778,0,0,0,0,0.11777500,0,0,1.48385000,43.93540000,0,0,0,5.41237156,0.32133636,2.44470000,0,1.98911458,0.64460000,0,3.69313333,0.00000000,0,0,0,5.42390000,0.00000000,0,0,0,0,0,0,0,2.49750000,0,0,0,0,0.37466987,0,2.32345000,0,0,6.15807851,0,0,0,0,0,0,0,0,0,0,0,1.76078182,0,0,0,0,0,0
