Day,[48] Wait Hours: Per Job,[17] Wait Hours: Per Job,[25] Wait Hours: Per Job,[22] Wait Hours: Per Job,[75] Wait Hours: Per Job,[34] Wait Hours: Per Job,[20] Wait Hours: Per Job,[113] Wait Hours: Per Job,[80] Wait Hours: Per Job,[8] Wait Hours: Per Job,[9] Wait Hours: Per Job,[5] Wait Hours: Per Job,[39] Wait Hours: Per Job,[6] Wait Hours: Per Job,[14] Wait Hours: Per Job,[64] Wait Hours: Per Job,[7] Wait Hours: Per Job,[12] Wait Hours: Per Job,[45] Wait Hours: Per Job,[250] Wait Hours: Per Job,[136] Wait Hours: Per Job,[3] Wait Hours: Per Job,[4] Wait Hours: Per Job,[15] Wait Hours: Per Job,[32] Wait Hours: Per Job,[192] Wait Hours: Per Job,[13] Wait Hours: Per Job,[224] Wait Hours: Per Job,[50] Wait Hours: Per Job,[160] Wait Hours: Per Job,[152] Wait Hours: Per Job,[36] Wait Hours: Per Job,[120] Wait Hours: Per Job,[10] Wait Hours: Per Job,[35] Wait Hours: Per Job,[100] Wait Hours: Per Job,[11] Wait Hours: Per Job,[200] Wait Hours: Per Job,[2] Wait Hours: Per Job,[24] Wait Hours: Per Job,[19] Wait Hours: Per Job,[16] Wait Hours: Per Job,[132] Wait Hours: Per Job,[208] Wait Hours: Per Job,[216] Wait Hours: Per Job,[40] Wait Hours: Per Job,[18] Wait Hours: Per Job,[168] Wait Hours: Per Job,[21] Wait Hours: Per Job,[256] Wait Hours: Per Job,[30] Wait Hours: Per Job,[512] Wait Hours: Per Job,[1024] Wait Hours: Per Job,[54] Wait Hours: Per Job,[150] Wait Hours: Per Job,[60] Wait Hours: Per Job,[1] Wait Hours: Per Job,[23] Wait Hours: Per Job,[128] Wait Hours: Per Job,[68] Wait Hours: Per Job,[31] Wait Hours: Per Job,[28] Wait Hours: Per Job,[106] Wait Hours: Per Job,[66] Wait Hours: Per Job,[71] Wait Hours: Per Job,[96] Wait Hours: Per Job,[181] Wait Hours: Per Job,[51] Wait Hours: Per Job,[46] Wait Hours: Per Job,[85] Wait Hours: Per Job,[210] Wait Hours: Per Job,[27] Wait Hours: Per Job,[49] Wait Hours: Per Job,[63] Wait Hours: Per Job,[65] Wait Hours: Per Job,[67] Wait Hours: Per Job,[70] Wait Hours: Per Job,[72] Wait Hours: Per Job,[84] Wait Hours: Per Job,[86] Wait Hours: Per Job,[90] Wait Hours: Per Job,[110] Wait Hours: Per Job,[129] Wait Hours: Per Job,[140] Wait Hours: Per Job,[165] Wait Hours: Per Job,[175] Wait Hours: Per Job,[183] Wait Hours: Per Job,[194] Wait Hours: Per Job,[213] Wait Hours: Per Job,[225] Wait Hours: Per Job,[230] Wait Hours: Per Job,[232] Wait Hours: Per Job
2013-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94860000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03957500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,0,0,0,0,0.00000000,0,0,0,0.01080833,0.00000000,0,0,0,0.00000000,0,0.00000000,0,0.00856000,0,0,0,0.00000000,0.00016154,0,0.00000000,0,0,0,0.00000000,0,0,0,0.00000000,0,0,0.00000000,0,0,0.00000000,0,0,0.00000000,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00000000,0.00000000,0.00002408,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0,0,0,0.00000000,0.00000000,0,0.00000000,0,0.00000000,0,0,0,0,0,0
2013-01-09,0,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00761600,0.00738125,0.00699412,0,1.06968077,0.00730625,0.00000000,0.00739375,0.00436296,0,0,0,1.92655333,1.08500357,0.00486250,0.01845000,0,0.00732500,0,0,0,0,0.00232000,0,0.00692941,0,0.00000000,0.00734375,0,0.00035652,0,0.00000000,0.00570625,0,0,0,0,0.00000000,0,0,0.01842933,0,0,0.01316154,0,0.00000000,0,0.00269586,0,0.00000000,0,0,0.25890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,0.00000000,0.00000000,0.00000000,0,0.00000000,2.39320000,0.04903529,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,0.01530000,0.00000000,0.00000000,0,0,0,1.18025882,1.16253797,0.29703333,0.00000000,0,0,0,0,0.14332500,0,0.00981667,0,0.00000000,0,0.00000000,0,0,0.00017160,0.00000000,0,0.01074722,0,0,0,0.00000000,0,0,0,0.00509655,0.00000000,0,0.00000000,0,0.00000000,0,0.00109831,0,0.00000000,0,0,0.28625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0
2013-01-11,0,0,0,0,15.51343333,3.84030000,0.00000000,0,0,0.00000000,14.02915000,0.00000000,0,0.14495405,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0.00185000,0.00081593,0.00000000,0.00002143,0,0,0,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,0,0,0.00000202,0,0,0.00000000,0.00000000,0,0,9.56360000,0,0,0,0.00000000,0,0,0,0,0,0,0.00000030,0,0.00000000,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00000000,0,0,0,0
2013-01-12,0,0,0,0,0.00000000,6.53310000,0.00587143,0,0,0.00000000,37.53405000,0,0,0.00007500,0,0.00000000,0.00000000,0.00000000,0.48933333,0,0,0.00000000,0.16504832,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,2.34894390,0,0,0.00000000,0.00000000,0,0,0.00000000,0,0,0,0.02553889,0.00000000,0,0,0,0,0,0.01481397,0,0.00000000,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0
2013-01-13,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,10.17291667,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00002500,0.00000000,0.14922500,0,0,0.00000000,0.54882314,0.00000000,0.85660714,0,0.00000000,0,0,0,0,0,0,0.00000000,0,0,0.00000000,0.00000000,4.25608056,0,0,0.72678485,0,0,0,0,0,0,0,0.03472308,0,0,0.00000000,0,0,0,0.00032461,0.00000000,0.00000000,0,0,0.03073333,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,0,0,0.03117500,0,0.00000000,0,0.00835000,0,0,2.38555000,0.00000000,0,0,0.00652500,0,0.00780000,0.02775000,0.00000000,0,0,0,0.01015000,0.01193939,0,0.00595000,0,0,0,0,0,0,0.01000000,0,0.01553333,0.00528571,0,0,0,0.01066395,0,0,0.00383333,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0,0,0,0.00397607,0.00000000,0.01750000,0,0,0,0,0,0,0,0,0,0.01575455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,0,0,32.50710000,0,47.91530000,25.66860000,22.86168182,0,0,23.07811000,11.89920000,21.36030000,0,0,0,2.40033000,0,21.59146364,0.00010000,0,0,3.23324444,13.62030000,0,0.89250000,0,0,0,0,0,0,0.00000000,0,1.87600667,0.00000000,0,0,0,18.79412069,0,0,0.00000000,0,0,0,0.00034444,0,0,0,0.00756875,0,0,0,0,0,0.79170000,0.28519865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,0,0,2.94201111,0,73.00080000,0.00000000,12.30388333,0,0,2.84939630,2.06053333,0,0,0.15992000,0.33030000,1.46063333,4.31555455,1.18680588,1.96603333,0,1.45780000,5.34845000,1.00160761,0,0.08821970,0,0,0,1.76820000,0.00000000,0,2.44783333,0,5.08885000,0.53610833,0,0,0,2.30182844,0,0,0.12065814,0,0,0,0.00000000,0,0,0,1.10309412,0,0,0,0,0,0,0.06121101,0,0.49500000,0,0.16710000,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
