Day,[106] Wait Hours: Per Job,[91] Wait Hours: Per Job,[188] Wait Hours: Per Job,[125] Wait Hours: Per Job,[250] Wait Hours: Per Job,[26] Wait Hours: Per Job,[35] Wait Hours: Per Job,[40] Wait Hours: Per Job,[150] Wait Hours: Per Job,[30] Wait Hours: Per Job,[80] Wait Hours: Per Job,[76] Wait Hours: Per Job,[66] Wait Hours: Per Job,[24] Wait Hours: Per Job,[19] Wait Hours: Per Job,[7] Wait Hours: Per Job,[21] Wait Hours: Per Job,[4096] Wait Hours: Per Job,[84] Wait Hours: Per Job,[32] Wait Hours: Per Job,[53] Wait Hours: Per Job,[11] Wait Hours: Per Job,[42] Wait Hours: Per Job,[49] Wait Hours: Per Job,[156] Wait Hours: Per Job,[65] Wait Hours: Per Job,[58] Wait Hours: Per Job,[224] Wait Hours: Per Job,[161] Wait Hours: Per Job,[18] Wait Hours: Per Job,[100] Wait Hours: Per Job,[50] Wait Hours: Per Job,[140] Wait Hours: Per Job,[51] Wait Hours: Per Job,[252] Wait Hours: Per Job,[39] Wait Hours: Per Job,[41] Wait Hours: Per Job,[128] Wait Hours: Per Job,[20] Wait Hours: Per Job,[44] Wait Hours: Per Job,[204] Wait Hours: Per Job,[196] Wait Hours: Per Job,[12] Wait Hours: Per Job,[15] Wait Hours: Per Job,[52] Wait Hours: Per Job,[61] Wait Hours: Per Job,[256] Wait Hours: Per Job,[75] Wait Hours: Per Job,[2048] Wait Hours: Per Job,[48] Wait Hours: Per Job,[1024] Wait Hours: Per Job,[25] Wait Hours: Per Job,[121] Wait Hours: Per Job,[200] Wait Hours: Per Job,[90] Wait Hours: Per Job,[512] Wait Hours: Per Job,[22] Wait Hours: Per Job,[183] Wait Hours: Per Job,[27] Wait Hours: Per Job,[36] Wait Hours: Per Job,[17] Wait Hours: Per Job,[135] Wait Hours: Per Job,[63] Wait Hours: Per Job,[375] Wait Hours: Per Job,[54] Wait Hours: Per Job,[139] Wait Hours: Per Job,[13] Wait Hours: Per Job,[14] Wait Hours: Per Job,[160] Wait Hours: Per Job,[10] Wait Hours: Per Job,[120] Wait Hours: Per Job,[5] Wait Hours: Per Job,[123] Wait Hours: Per Job,[72] Wait Hours: Per Job,[94] Wait Hours: Per Job,[96] Wait Hours: Per Job,[60] Wait Hours: Per Job,[8] Wait Hours: Per Job,[4] Wait Hours: Per Job,[255] Wait Hours: Per Job,[95] Wait Hours: Per Job,[216] Wait Hours: Per Job,[2400] Wait Hours: Per Job,[132] Wait Hours: Per Job,[16] Wait Hours: Per Job,[2] Wait Hours: Per Job,[169] Wait Hours: Per Job,[9] Wait Hours: Per Job,[28] Wait Hours: Per Job,[105] Wait Hours: Per Job,[1000] Wait Hours: Per Job,[171] Wait Hours: Per Job,[208] Wait Hours: Per Job,[6] Wait Hours: Per Job,[195] Wait Hours: Per Job,[192] Wait Hours: Per Job,[187] Wait Hours: Per Job,[23] Wait Hours: Per Job,[31] Wait Hours: Per Job,[3] Wait Hours: Per Job,[56] Wait Hours: Per Job,[190] Wait Hours: Per Job,[45] Wait Hours: Per Job,[201] Wait Hours: Per Job,[64] Wait Hours: Per Job,[3000] Wait Hours: Per Job,[1] Wait Hours: Per Job,[768] Wait Hours: Per Job,[71] Wait Hours: Per Job,[62] Wait Hours: Per Job,[251] Wait Hours: Per Job,[104] Wait Hours: Per Job,[101] Wait Hours: Per Job,[102] Wait Hours: Per Job,[108] Wait Hours: Per Job,[81] Wait Hours: Per Job,[3500] Wait Hours: Per Job,[372] Wait Hours: Per Job,[112] Wait Hours: Per Job,[144] Wait Hours: Per Job,[34] Wait Hours: Per Job,[142] Wait Hours: Per Job,[110] Wait Hours: Per Job,[500] Wait Hours: Per Job,[5625] Wait Hours: Per Job,[117] Wait Hours: Per Job,[185] Wait Hours: Per Job,[162] Wait Hours: Per Job,[168] Wait Hours: Per Job,[384] Wait Hours: Per Job,[88] Wait Hours: Per Job,[29] Wait Hours: Per Job,[136] Wait Hours: Per Job,[240] Wait Hours: Per Job,[181] Wait Hours: Per Job,[130] Wait Hours: Per Job,[70] Wait Hours: Per Job,[170] Wait Hours: Per Job,[3200] Wait Hours: Per Job,[47] Wait Hours: Per Job,[211] Wait Hours: Per Job,[85] Wait Hours: Per Job,[180] Wait Hours: Per Job,[312] Wait Hours: Per Job,[153] Wait Hours: Per Job,[77] Wait Hours: Per Job,[37] Wait Hours: Per Job,[73] Wait Hours: Per Job,[518] Wait Hours: Per Job,[164] Wait Hours: Per Job,[151] Wait Hours: Per Job,[55] Wait Hours: Per Job,[38] Wait Hours: Per Job,[225] Wait Hours: Per Job,[345] Wait Hours: Per Job,[114] Wait Hours: Per Job,[400] Wait Hours: Per Job,[210] Wait Hours: Per Job,[133] Wait Hours: Per Job,[245] Wait Hours: Per Job,[111] Wait Hours: Per Job,[99] Wait Hours: Per Job,[113] Wait Hours: Per Job,[127] Wait Hours: Per Job,[93] Wait Hours: Per Job,[220] Wait Hours: Per Job,[33] Wait Hours: Per Job,[43] Wait Hours: Per Job,[46] Wait Hours: Per Job,[57] Wait Hours: Per Job,[67] Wait Hours: Per Job,[68] Wait Hours: Per Job,[69] Wait Hours: Per Job,[78] Wait Hours: Per Job,[116] Wait Hours: Per Job,[118] Wait Hours: Per Job,[124] Wait Hours: Per Job,[129] Wait Hours: Per Job,[138] Wait Hours: Per Job,[149] Wait Hours: Per Job,[155] Wait Hours: Per Job,[165] Wait Hours: Per Job,[197] Wait Hours: Per Job,[202] Wait Hours: Per Job,[203] Wait Hours: Per Job,[205] Wait Hours: Per Job,[213] Wait Hours: Per Job,[234] Wait Hours: Per Job,[236] Wait Hours: Per Job,[241] Wait Hours: Per Job,[243] Wait Hours: Per Job,[253] Wait Hours: Per Job,[274] Wait Hours: Per Job,[300] Wait Hours: Per Job,[341] Wait Hours: Per Job,[350] Wait Hours: Per Job,[450] Wait Hours: Per Job,[460] Wait Hours: Per Job,[689] Wait Hours: Per Job,[700] Wait Hours: Per Job,[720] Wait Hours: Per Job,[861] Wait Hours: Per Job
2013-02-01,0,0,0,0,0,0,0,0.00000000,0.01845000,0.13500000,32.48530000,0,0,0.26073333,0,0,0,0,0,0.84204762,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,1.72641429,0,0,0,0,0,0.03333571,0.17390833,0,0,0,0.93556818,0.00000000,0,0,0.00000000,0,0,0,0.02070000,0.30380000,0,3.89701250,0,0.02320000,0.01573333,0,0,0.00000000,0.00000000,0,0,0,0,0,0,0.13020000,0.00000000,0.08235476,0,0.00000000,0,0,0,0,0.00000000,0.44604065,0.10315759,0,0,0,0,0,0.05482000,0.00049271,0,0.00000000,0,0,0,0,0,0.00335778,0,0.00000000,0,0,0,0.03953158,0,0,0.00000000,0,0.60103565,0,0.03873793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,0.00000000,0,0,0,0,0.00000000,0,2.56103333,0,0.00000000,0.00000000,0,0,0.00000000,0,0,0,0,0,2.65634000,0,0,0,0,0,0,0,0.00000000,0,0.00000000,21.61750000,5.67652500,0,0,0,0.00000000,0,0.00000000,0.00000000,0,0,0,0.00000000,0.00000000,0,0,0,0,0,0,0,0.00000000,0,5.59083333,0,0,0.00000000,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0,0.00000000,0.00000000,0,0.00000000,0,0,0,0,0,3.62483636,0.00000000,0,0,0,0,0,0.00000000,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,0,0.00000000,0,0.67940283,0,0.01086602,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,0.00000000,0,0,0,0,0,0,6.07052000,0,0.00000000,0.00000000,0,0,0.00000000,0,0.00000000,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0.00000000,2.05190000,0,0,0,0,0,0,0.00000000,0,0,0,0.00000000,0,0,0,0.00000000,0,0,0.00000000,0,0,0,1.43293333,0,0,0.00006000,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0,3.18724231,0.05577003,0,0,0,0,0,0.01087500,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0.00000000,0,0,0,0,0.02063281,0,0.00521361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,0,0,0,0,0,0.00000000,0,0.00000000,0,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0,0,0,0,0.09840500,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0,0,0,0.00000000,0.00000000,0,0,0.00356923,0,0,0.00015000,0,0.00197500,0,0.00000000,0,0,0.00000000,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0.00000000,0,0.00000652,0,0.00007500,0,0,0,0,0,0.25693780,0.02772353,0,0,0,0,0,0.01879771,0.00016798,0,0.04280000,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0.00427843,0,0,0.00000000,0,1.11050667,0,0.00266697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,0,0,0,0,0,0.00005000,0,5.02555000,0,0.07110000,0.00000000,0,0,0.00000000,0,0.00000000,0,0,0,2.21998780,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0,0,0,0,0,0.00000000,0.00000000,0,0,0,0.00280930,2.62404444,0,0,0.00000000,0,0,0,0,0.00000000,0,0,0.00000000,0,0.00000000,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0.00005000,0,0.00000000,0,0.00036667,0,0,0,0,0,0.62852321,0.01478296,0,0,0,0,0,0.00234177,0.00107692,0,0.00000000,0,0,0,0,0,0.00034773,0,0.00000000,0,0,0,0.00069365,0,0,0.00000000,0,2.21884878,0,0.00405546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0.00523333,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0,0
2013-02-06,0,0,0,0,0,0.00000000,0,0.84694286,0,0.00000000,0.00000000,0,0,0.00000938,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0.00000000,0,0.00000000,0,0.00000000,0.00000000,0,0,0,0.00000000,3.96951739,0,0,0.00000000,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,0.00000000,0,0.80468571,0,0.00000000,0,0,0,0.00030000,0,1.20575690,0.00808627,0,0,0.00000000,0,0,0.00022857,0.00085254,0.00000000,0.00000000,0,0,0,0,0,0.00000667,0,0.00000000,0,0,0,0.01922172,0,0,0.00000000,0,1.09897778,0,0.00008923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0,0,0,0
2013-02-07,0,0,0,0,0,0.00000000,0,7.95260000,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0,0,0.00000000,0,0.00000000,0.00000000,0,0,0,0.03757500,5.12069286,0,0,0.00000000,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0.00000000,0.20000000,0,0.67996522,0,0.00000000,0,0,0,0.00000000,0,0.39556667,0.00079186,0,0,0,0,0,0.01856122,0.00001057,0.00000000,0.00000000,0.00000000,0,0,0,0,0.05764400,0,0.00000000,0,0,0,0.00000882,0,0,0.00000000,0,1.25314194,0,0.00305686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,0
2013-02-08,0,0,0,0,0,0,0,28.87827143,0,0.00000000,0.00000000,0,0,0.00000000,0,0.00000000,0,0,0.11970000,0.00000000,0,0.00000000,0,0.00000000,0,0.36580000,0.00000000,0,0,0.00000000,0,0.00000000,0,0.51720000,0,0.00000000,0,0.49390000,0.02192222,0,0,0,0.00723939,0.00000000,0,0,0.03971563,0,0,0.00000000,0,0.03480000,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0.50780000,0,0.00988571,0.00000000,0.00000000,0.00161429,0,0.00000000,0,0,0,0,0,0.49939386,0.01342922,0,0,0,0,0,0.02050725,0.00011142,0,0.00000000,0.00000000,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0.02060714,0,0,0.00000000,0,1.03730702,0,0.00485214,0,0.30890000,0,0,0,0,0.50360000,0.48062500,0.00000000,0,0,0,0,0,0.17875000,0,0,0,0,0,0.00000000,0.02992500,0,0,0.03560000,0,0,0.00000000,0.00257500,0,0.05382500,0,0,0,0.19310000,0,0,0,0,0.01560000,0.00000000,0,0,0,0,0,0,0.06443333,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0.00000000,0,0,0,0
2013-02-09,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,0,0,0.00000000,0,0.00000000,0,0,0,0.00000000,0,0.16083333,0,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0,0,0.00000000,0,0.00000000,0.00000000,0,0,0,0.00000000,0.00000000,0,0,0.00000000,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0,0.08298750,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,0,0,0,0,0,0.03127582,0.38351855,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0.00000000,0,0.43546832,0,0.00000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,0,0,0,0,0,0,0.00000000,4.84507500,0,0.00000000,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0,0.00000000,2.40462000,0,0,0,0.00000000,0.00000000,0,0,0.01325714,0,0,0.00000000,0,0.01235000,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0,0.00000000,0,0.00000000,0,0,0,0,0,0.03164615,0.07064635,0,0,0,0,0,0.00130303,0.18759771,0,0,1.48125000,0,0,0,0,0.00003000,0,0,0,0,0,0.01709841,0,0,0,0,0.31597283,0,0.00703547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03663333,0,0.00250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
