Day,[2] Wait Hours: Per Job,[1] Wait Hours: Per Job,[16] Wait Hours: Per Job,[6] Wait Hours: Per Job,[24] Wait Hours: Per Job,[4] Wait Hours: Per Job,[8] Wait Hours: Per Job,[3] Wait Hours: Per Job,[15] Wait Hours: Per Job
2011-01-05,0,0.01381188,0,0,0,0,0,0,0
2011-01-06,0,0.00000000,0,0,0,0,0,0,0
2011-01-07,0,0.00000000,0,0,0,0,0,0,0
2011-01-08,0,0.05304211,0,0,0,0,0,0,0
2011-01-09,0,0.00000000,0,0,0,0,0,0,0
2011-01-10,0,0.00000000,0,0,0,0,0,0,0
2011-01-11,0,0.00000000,0,0,0,0,0,0,0
2011-01-12,0.00050909,0.00000000,0,0,0,0,0,0,0
2011-01-13,0.00055000,0.00036667,0,0,0,0,0,0,0
2011-01-14,0.00057500,0.00000000,0,0,0,0,0,0,0
2011-01-15,0.00000000,0,0,0,0,0,0,0,0
2011-01-16,0.00035882,0,0,0,0,0,0,0,0
2011-01-17,0.00040909,0.00030000,0,0,0,0,0,0,0
2011-01-18,0.00026154,0.00024286,0,0,0,0,0,0,0
2011-01-19,0.00028077,0,0,0,0,0,0,0,0
2011-01-20,0.00063684,0.00024167,0,0.00060000,0,0.00047500,0.00030000,0.00060000,0
2011-01-21,0.00047895,0.00046667,0,0,0,0.00044444,0,0,0
2011-01-22,0.00136667,0.00030000,0,0,0,0.00052500,0,0,0
2011-01-23,1.98800000,0,0,0,0,0.00000000,0,0,0
2011-01-24,0.00032143,0.00010000,0,0,0,0,0,0,0
2011-01-25,0.00046250,0.00080000,0,0,0,0.00030000,0.00030000,0.00036667,0.00030000
2011-01-26,0.00043636,0.03908701,0.00110000,0,0.00060000,0.00045000,0.00080000,0.00000000,0
2011-01-27,0.00030000,0.00389783,0,0,0,0,0,0.00000000,0
2011-01-28,0.00095000,0.00398730,0,0,0,0.00040000,0.00080000,0.00000000,0
2011-01-29,0.00048889,0.00072000,0,0,0,0.00030000,0.00055000,0.00000000,0
2011-01-30,0.00082273,0.00000000,0,0,0,0,0,0.00000000,0
2011-01-31,0.00033250,0.00048333,0,0,0,0.00080000,0.00015000,0.00000000,0
