Day,[25] Wait Hours: Per Job,[10] Wait Hours: Per Job,[1] Wait Hours: Per Job,[20] Wait Hours: Per Job,[2] Wait Hours: Per Job,[16] Wait Hours: Per Job,[32] Wait Hours: Per Job,[4] Wait Hours: Per Job,[8] Wait Hours: Per Job,[6] Wait Hours: Per Job,[3] Wait Hours: Per Job,[5] Wait Hours: Per Job,[12] Wait Hours: Per Job,[7] Wait Hours: Per Job,[24] Wait Hours: Per Job,[26] Wait Hours: Per Job,[23] Wait Hours: Per Job,[18] Wait Hours: Per Job,[15] Wait Hours: Per Job,[9] Wait Hours: Per Job,[30] Wait Hours: Per Job,[11] Wait Hours: Per Job,[13] Wait Hours: Per Job,[14] Wait Hours: Per Job,[28] Wait Hours: Per Job,[22] Wait Hours: Per Job
2011-02-01,0,0,0.00051667,0,0.00846032,0,0,0.00046667,2.33560000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-02,0,0,0.00052857,0,0.00159348,0,0,0.00078000,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-03,0,0,0.00176957,0,0.00044000,0,0,0.00030000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-04,0,0,0.00046250,0,0.00349744,0.02720000,0.02680000,0.00000000,0.00080000,0,0.00015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-05,0,0,0.00095000,0,0.00582000,0.00000000,0.00030000,0.00000000,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,0,0,0,0,0.00077500,0.00063333,0.01843333,0,0.01156000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-07,0,0,0,0,0.00177609,0.06345000,0.00000000,0,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-08,0,0,0.00110000,0,0.20946727,0.00093333,0.00060000,0.00073333,0.00040000,0,0.00052222,0,0,0,0.00110000,0,0,0,0,0,0,0,0,0,0,0
2011-02-09,0,0,0.00111667,0,0.00101270,0,0,0.00000000,0.00000000,0,0.00070000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-10,0,0,0.00138723,0,0.08256634,0,0.00080000,0,0.02680000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-11,0,0,0.00381125,0,0.00216667,0,0.00000000,0.00074000,0.00030000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-12,0,0,0.02308913,0,0.20690351,0,0.00000000,0.00074167,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-13,0,0,0.00084762,0,0.00185625,0,0.00000000,0.00045000,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-14,0,0,0.00067143,0,0.00229286,0,0,0.00140000,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0.00060000,0,0,0,0,0,0,0
2011-02-15,0,0,0.00049231,0,0.00050500,0,0,0.00060000,0.00080000,0,0,0,0,0,0,0,0,0,0.00070000,0,0,0,0,0,0,0
2011-02-16,0,0,0.00309000,0,0.00202105,0.00040000,0,0,0.00190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-17,0,0,0.00119000,0,0.00000000,0.00070000,0,0.01362857,0.00030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-18,0,0,0.00073333,0,0.00063333,0.00097500,0,0.00375938,0.00085000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,0,0,0.00030000,0,0.00065000,0.00030000,0,0.00071579,0.00093333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-20,0,0,0.00000000,0,0.00170000,0.00085000,0,0.00041250,0.00073333,0,0.00060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-21,0,0,0.00052000,0,0.00030000,0.00056667,0,0.53916250,0.00080000,0,4.37890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-22,0,0,0.00047500,0,0.00076000,0.00060000,0,0.00086667,0.00000000,0,0.00110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-23,0,0,0.00182200,0,0.00165909,0.02680000,0,1.66160000,1.40745000,0.00080000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-24,0,0,0.00147949,0,0.00131690,0.00080000,0,0.00640000,0.07860000,0.00110000,0.00060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-25,0,0,0.19853636,0,0.14891250,3.94220000,0,0,0.69456000,0.00080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
