Day,[14] Wait Hours: Per Job,[7] Wait Hours: Per Job,[8] Wait Hours: Per Job,[25] Wait Hours: Per Job,[32] Wait Hours: Per Job,[1] Wait Hours: Per Job,[21] Wait Hours: Per Job,[19] Wait Hours: Per Job,[11] Wait Hours: Per Job,[24] Wait Hours: Per Job,[30] Wait Hours: Per Job,[16] Wait Hours: Per Job,[4] Wait Hours: Per Job,[5] Wait Hours: Per Job,[28] Wait Hours: Per Job,[15] Wait Hours: Per Job,[10] Wait Hours: Per Job,[12] Wait Hours: Per Job,[20] Wait Hours: Per Job,[18] Wait Hours: Per Job,[3] Wait Hours: Per Job,[2] Wait Hours: Per Job,[26] Wait Hours: Per Job,[6] Wait Hours: Per Job,[13] Wait Hours: Per Job,[22] Wait Hours: Per Job,[9] Wait Hours: Per Job,[17] Wait Hours: Per Job
2012-08-01,0.00000000,0,0.03435000,0,0.19609259,0.62242471,0,0,0,0,0,0.33695000,0.31818750,0,0,0,0,0.00970000,0,0,0.00000000,0.11047300,0,0.02306667,0,0,0,0
2012-08-02,24.32830000,0,1.28107500,0,0.00000000,0.59948193,0,0,0,0,0,2.55687143,1.09610000,1.66240000,0,0,0,0.00830000,0,0,0.02615000,0.25555797,0,0.04030000,0,0,0,0
2012-08-03,0.00000000,0,0.01070000,0,0.04719091,0.43670294,0,0,0,0,0,0.08760000,0.00555000,0.00000000,0,0,0,0.00706667,0,0,0.00775000,0.02228272,0,0.00618750,0,0,0,0
2012-08-04,72.09780000,0,0.03823333,0,0.03451250,0.04754585,0,0,0,0,0,0.03460000,0.06680000,0.00000000,0,0,0,0.00000000,0,0,0.00000000,0.01599444,0,0.00440000,0,0,0,0
2012-08-05,0.00640000,0,0.00000000,0,0.03841667,0.09688242,0,0,0,0,0,0.01584000,0.00583333,0.18366667,0,0,0,0.04235000,0,0,0,0.01638947,0,0.00000000,0,0,0,0
2012-08-06,0.00000000,0,0.00500000,0,0.42533333,0.11813327,0,0,0,0,0,0.42514286,0.06426000,5.00743750,0,0,0,0.10380000,0,0,0.23965000,0.08940625,0,0.00580000,0,0,0,0
2012-08-07,3.26750000,0,0.46697143,0,3.10695000,0.41874092,0,0,0,0,0,1.65364000,0.02906667,0.00000000,0,0,0,0.17905000,0,0,1.10318000,0.52023580,0,0.39062000,0,0,0,0
2012-08-08,0.00000000,4.40985000,3.82695000,0,5.62270000,12.78690928,0,0,0,0,0,5.60445000,0.58957500,0.00000000,0,0,0,0.00000000,0,0,2.50795000,5.34751786,0,5.14463333,0,0,0,0
2012-08-09,0.00000000,0.00000000,1.79060000,0,6.14422500,1.08912996,0,0,0,0,0,3.28056667,3.19896000,0.00000000,0,0,0,2.05560000,0,0,1.74561111,0.99373852,0,0.46310000,0,0,0,0
2012-08-10,55.43280000,0.00000000,0.36555000,0,3.53610000,0.93634178,0,0,0,0,0,12.87555000,0.48469167,0.00000000,0,0,0,2.38250000,0,0,1.70556667,0.22622100,0,0.14753000,0,0,0,0
